Direccion,Fecha,Hora_1,Hora_2,Tiempo,Carga_1,Carga_2,Delta,,Uso,Bluetooth,Airdroop,Wifi
Carga,Oct_29,17:20,20:40,3.333,0,97,97,,No_uso,Sí,Sí,Sí
Descarga,Oct_29,00:00,07:45,7.75,75,13,-62,,No_uso,Sí,Sí,Sí
Carga,Oct_30,07:45,10:00,2.25,13,100,87,,No_uso,Sí,Sí,Sí
Descarga,Oct_30,10:30,22:20,11.83333,100,11,-89,,No_uso,Sí,Sí,Sí
Carga,Oct_31,22:20,00:20,2,11,100,89,,No_uso,Sí,Sí,Sí
Descarga,Oct_31,00:20,13:00,12.66,100,13,-87,,No_uso,No,Sí,Sí
Carga,Oct_31,13:00,15:00,2,13,100,87,,No_uso,No,Sí,Sí
Descarga,Oct_31,15:10,22:20,7.1666,100,13,-87,,Spotify,No,Sí,Sí
Descarga,Nov_1,02:30,09:46,7.25,100,55,-45,,No_uso,No,Sí,Sí
Descarga,Nov_1,09:46,22:00,12.25,55,3,-52,,No_uso,No,Sí,Sí
Carga,Nov_1,22:00,00:20,2.33,3,100,97,,No_uso,No,Sí,Sí
Descarga,Nov_2,00:20,10:15,10,100,25,-75,,No_uso,No,Sí,Sí
Carga,Nov_2,10:15,12:15,2,25,92,67,,No_uso,No,Sí,Sí
Descarga,Nov_2,12:15,21:40,9.5,92,18,-74,,No_uso,No,Sí,Sí
Carga,Nov_2,21:40,00:00,2.33,18,100,82,,No_uso,No,Sí,Sí
Descarga,Nov_3,00:00,07:45,7.75,100,47,-53,,No_uso,No,Sí,Sí
Carga,Nov_3,07:45,08:55,1.1666,47,100,53,,No_uso,No,Sí,Sí
Descarga,Nov_3,08:55,02:10,17.25,100,6,-94,,No_uso,No,Sí,Sí
Descarga,Nov_4,07:00,21:40,14.66,100,11,-89,,No_uso,No,Sí,Sí
Carga,Nov_4,21:40,23:40,2,11,100,89,,No_uso,No,Sí,Sí
Descarga,Nov_5,23:40,01:40,2,100,53,-47,,Netflix,No,Sí,Sí
Descarga,Nov_5,01:40,11:20,9.66,53,6,-47,,No_uso,No,Sí,Sí
