Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, 
0,10,n,True,1,0,
1,10,n,True,2,0,
2,15,s,True,3,0,
3,10,n,True,4,0,
4,13,s,True,5,0,
5,7,n,True,6,0,
6,24,s,False,6,1,
7,24,n,True,7,1,
8,28,n,True,8,1,
9,25,n,True,9,1,
10,6,n,True,10,1,
11,7,n,True,11,1,
12,18,s,True,12,1,
13,21,n,True,13,1,
14,23,n,True,14,1,
15,18,n,False,14,2,
16,23,n,True,15,2,
17,2,n,True,16,2,
18,23,n,True,17,2,
19,5,n,True,18,2,
20,23,n,True,19,2,
21,13,n,False,19,3,
22,30,n,True,20,3,
23,4,n,True,21,3,
24,27,n,True,22,3,
25,1,n,True,23,3,
26,4,n,True,24,3,
27,12,n,True,25,3,
28,27,n,True,26,3,
29,24,n,True,27,3,
0,16,s,True,28,3,
1,6,n,True,29,3,
2,22,s,False,29,4,
3,4,n,True,30,4,
4,9,n,True,31,4,
5,24,s,False,31,5,
6,28,n,True,32,5,
7,3,n,True,33,5,
8,18,s,True,34,5,
9,10,n,True,35,5,
10,4,n,True,36,5,
11,17,s,True,37,5,
12,26,n,True,38,5,
13,29,n,True,39,5,
14,15,n,False,39,6,
15,16,n,False,39,7,
16,12,n,True,40,7,
17,30,n,True,41,7,
18,12,n,True,42,7,
19,25,s,False,42,8,
20,2,n,True,43,8,
21,5,n,True,44,8,
22,14,n,False,44,9,
23,2,n,True,45,9,
24,30,n,True,46,9,
25,11,n,True,47,9,
26,24,s,False,47,10,
27,22,s,False,47,11,
28,18,s,True,48,11,
29,14,n,False,48,12,
