Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,6,s,False,0,1,False,0,False,0,True,1,False,0,
1,46,s,False,0,2,False,0,False,0,True,2,False,0,
2,35,s,True,1,2,True,1,False,0,False,2,False,0,
3,28,s,True,2,2,True,2,False,0,False,2,False,0,
4,20,s,True,3,2,True,3,False,0,False,2,False,0,
5,16,s,True,4,2,True,4,False,0,False,2,False,0,
6,29,s,True,5,2,True,5,False,0,False,2,False,0,
7,41,s,False,5,3,False,5,False,0,True,3,False,0,
8,10,s,False,5,4,False,5,False,0,True,4,False,0,
9,19,s,True,6,4,True,6,False,0,False,4,False,0,
10,9,s,False,6,5,False,6,False,0,True,5,False,0,
11,48,s,False,6,6,False,6,False,0,True,6,False,0,
12,5,s,False,6,7,False,6,False,0,True,7,False,0,
13,47,s,False,6,8,False,6,False,0,True,8,False,0,
14,23,s,True,7,8,True,7,False,0,False,8,False,0,
15,45,s,False,7,9,False,7,False,0,True,9,False,0,
16,15,s,True,8,9,True,8,False,0,False,9,False,0,
17,21,s,True,9,9,True,9,False,0,False,9,False,0,
18,11,s,False,9,10,False,9,False,0,True,10,False,0,
19,1,s,False,9,11,False,9,False,0,True,11,False,0,
20,30,s,True,10,11,True,10,False,0,False,11,False,0,
21,18,s,True,11,11,True,11,False,0,False,11,False,0,
22,8,s,False,11,12,False,11,False,0,True,12,False,0,
23,13,s,True,12,12,True,12,False,0,False,12,False,0,
24,22,s,True,13,12,True,13,False,0,False,12,False,0,
25,17,s,True,14,12,True,14,False,0,False,12,False,0,
26,33,s,True,15,12,True,15,False,0,False,12,False,0,
27,3,s,False,15,13,False,15,False,0,True,13,False,0,
28,14,s,True,16,13,True,16,False,0,False,13,False,0,
29,27,s,True,17,13,True,17,False,0,False,13,False,0,
30,2,s,False,17,14,False,17,False,0,True,14,False,0,
31,44,s,False,17,15,False,17,False,0,True,15,False,0,
32,34,s,True,18,15,True,18,False,0,False,15,False,0,
33,12,s,False,18,16,False,18,False,0,True,16,False,0,
34,42,s,False,18,17,False,18,False,0,True,17,False,0,
35,36,s,True,19,17,True,19,False,0,False,17,False,0,
36,43,s,False,19,18,False,19,False,0,True,18,False,0,
37,25,s,True,20,18,True,20,False,0,False,18,False,0,
38,38,s,False,20,19,False,20,False,0,True,19,False,0,
39,32,s,True,21,19,True,21,False,0,False,19,False,0,
40,7,s,False,21,20,False,21,False,0,True,20,False,0,
41,26,s,True,22,20,True,22,False,0,False,20,False,0,
42,37,s,False,22,21,False,22,False,0,True,21,False,0,
43,4,s,False,22,22,False,22,False,0,True,22,False,0,
44,31,s,True,23,22,True,23,False,0,False,22,False,0,
45,40,s,False,23,23,False,23,False,0,True,23,False,0,
46,39,s,False,23,24,False,23,False,0,True,24,False,0,
47,24,s,True,24,24,True,24,False,0,False,24,False,0,
