Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,35,s,True,1,0,True,1,False,0,False,0,False,0,
1,29,s,True,2,0,True,2,False,0,False,0,False,0,
2,2,s,False,2,1,False,2,False,0,True,1,False,0,
3,13,s,True,3,1,True,3,False,0,False,1,False,0,
4,19,s,True,4,1,True,4,False,0,False,1,False,0,
5,1,s,False,4,2,False,4,False,0,True,2,False,0,
6,41,s,False,4,3,False,4,False,0,True,3,False,0,
7,15,s,True,5,3,True,5,False,0,False,3,False,0,
8,28,s,True,6,3,True,6,False,0,False,3,False,0,
9,38,s,False,6,4,False,6,False,0,True,4,False,0,
10,20,s,True,7,4,True,7,False,0,False,4,False,0,
11,11,s,False,7,5,False,7,False,0,True,5,False,0,
12,23,s,True,8,5,True,8,False,0,False,5,False,0,
13,34,s,True,9,5,True,9,False,0,False,5,False,0,
14,40,s,False,9,6,False,9,False,0,True,6,False,0,
15,46,s,False,9,7,False,9,False,0,True,7,False,0,
16,17,s,True,10,7,True,10,False,0,False,7,False,0,
17,43,s,False,10,8,False,10,False,0,True,8,False,0,
18,32,s,True,11,8,True,11,False,0,False,8,False,0,
19,16,s,True,12,8,True,12,False,0,False,8,False,0,
20,8,s,False,12,9,False,12,False,0,True,9,False,0,
21,3,s,False,12,10,False,12,False,0,True,10,False,0,
22,5,s,False,12,11,False,12,False,0,True,11,False,0,
23,4,s,False,12,12,False,12,False,0,True,12,False,0,
24,37,s,False,12,13,False,12,False,0,True,13,False,0,
25,6,s,False,12,14,False,12,False,0,True,14,False,0,
26,14,s,True,13,14,True,13,False,0,False,14,False,0,
27,25,s,True,14,14,True,14,False,0,False,14,False,0,
28,26,s,True,15,14,True,15,False,0,False,14,False,0,
29,45,s,False,15,15,False,15,False,0,True,15,False,0,
30,27,s,True,16,15,True,16,False,0,False,15,False,0,
31,10,s,False,16,16,False,16,False,0,True,16,False,0,
32,24,s,True,17,16,True,17,False,0,False,16,False,0,
33,31,s,True,18,16,True,18,False,0,False,16,False,0,
34,33,s,True,19,16,True,19,False,0,False,16,False,0,
35,12,s,False,19,17,False,19,False,0,True,17,False,0,
36,22,s,True,20,17,True,20,False,0,False,17,False,0,
37,36,s,True,21,17,True,21,False,0,False,17,False,0,
38,30,s,True,22,17,True,22,False,0,False,17,False,0,
39,42,s,False,22,18,False,22,False,0,True,18,False,0,
40,48,s,False,22,19,False,22,False,0,True,19,False,0,
41,47,s,False,22,20,False,22,False,0,True,20,False,0,
42,21,s,True,23,20,True,23,False,0,False,20,False,0,
43,39,s,False,23,21,False,23,False,0,True,21,False,0,
44,7,s,False,23,22,False,23,False,0,True,22,False,0,
45,9,s,False,23,23,False,23,False,0,True,23,False,0,
46,44,s,False,23,24,False,23,False,0,True,24,False,0,
47,18,s,True,24,24,True,24,False,0,False,24,False,0,
