Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,2,n,True,1,0,False,0,True,0,False,0,False,0,
1,5,n,True,2,0,False,0,True,0,False,0,False,0,
2,12,n,True,3,0,False,0,True,0,False,0,False,0,
3,42,n,True,4,0,False,0,True,0,False,0,False,0,
4,33,n,False,4,1,False,0,False,0,False,0,True,1,
5,34,n,False,4,2,False,0,False,0,False,0,True,2,
6,5,n,True,5,2,False,0,True,0,False,0,False,2,
7,29,n,False,5,3,False,0,False,0,False,0,True,3,
8,18,n,False,5,4,False,0,False,0,False,0,True,4,
9,10,n,True,6,4,False,0,True,0,False,0,False,4,
10,15,n,False,6,5,False,0,False,0,False,0,True,5,
11,7,n,True,7,5,False,0,True,0,False,0,False,5,
12,4,n,True,8,5,False,0,True,0,False,0,False,5,
13,3,n,True,9,5,False,0,True,0,False,0,False,5,
14,38,n,True,10,5,False,0,True,0,False,0,False,5,
15,4,n,True,11,5,False,0,True,0,False,0,False,5,
16,16,n,False,11,6,False,0,False,0,False,0,True,6,
17,33,n,False,11,7,False,0,False,0,False,0,True,7,
