Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,29,s,True,1,0,True,1,False,0,False,0,False,0,
1,19,s,True,2,0,True,2,False,0,False,0,False,0,
2,33,s,True,3,0,True,3,False,0,False,0,False,0,
3,14,n,False,3,1,False,3,False,0,False,0,True,1,
4,5,n,True,4,1,False,3,True,0,False,0,False,1,
5,30,s,True,5,1,True,4,False,0,False,0,False,1,
6,26,n,False,5,2,False,4,False,0,False,0,True,2,
7,41,n,True,6,2,False,4,True,0,False,0,False,2,
8,40,n,True,7,2,False,4,True,0,False,0,False,2,
9,44,n,True,8,2,False,4,True,0,False,0,False,2,
10,3,n,True,9,2,False,4,True,0,False,0,False,2,
11,1,n,True,10,2,False,4,True,0,False,0,False,2,
12,37,n,True,11,2,False,4,True,0,False,0,False,2,
13,42,n,True,12,2,False,4,True,0,False,0,False,2,
14,22,s,True,13,2,True,5,False,0,False,0,False,2,
15,20,s,True,14,2,True,6,False,0,False,0,False,2,
16,31,s,True,15,2,True,7,False,0,False,0,False,2,
17,23,s,True,16,2,True,8,False,0,False,0,False,2,
18,28,s,True,17,2,True,9,False,0,False,0,False,2,
19,30,s,True,18,2,True,10,False,0,False,0,False,2,
20,17,s,True,19,2,True,11,False,0,False,0,False,2,
21,4,n,True,20,2,False,11,True,0,False,0,False,2,
22,27,s,True,21,2,True,12,False,0,False,0,False,2,
23,23,s,True,22,2,True,13,False,0,False,0,False,2,
24,3,n,True,23,2,False,13,True,0,False,0,False,2,
25,24,s,True,24,2,True,14,False,0,False,0,False,2,
26,30,s,True,25,2,True,15,False,0,False,0,False,2,
27,40,n,True,26,2,False,15,True,0,False,0,False,2,
28,7,n,True,27,2,False,15,True,0,False,0,False,2,
29,24,n,False,27,3,False,15,False,0,False,0,True,3,
30,8,n,True,28,3,False,15,True,0,False,0,False,3,
31,34,s,True,29,3,True,16,False,0,False,0,False,3,
32,21,s,True,30,3,True,17,False,0,False,0,False,3,
33,32,s,True,31,3,True,18,False,0,False,0,False,3,
34,6,n,True,32,3,False,18,True,0,False,0,False,3,
35,11,n,True,33,3,False,18,True,0,False,0,False,3,
36,22,s,True,34,3,True,19,False,0,False,0,False,3,
37,4,n,True,35,3,False,19,True,0,False,0,False,3,
38,7,n,True,36,3,False,19,True,0,False,0,False,3,
39,15,s,True,37,3,True,20,False,0,False,0,False,3,
40,42,s,False,37,4,False,20,False,0,True,1,False,3,
41,5,n,True,38,4,False,20,True,0,False,1,False,3,
42,28,s,True,39,4,True,21,False,0,False,1,False,3,
43,32,s,True,40,4,True,22,False,0,False,1,False,3,
44,39,n,True,41,4,False,22,True,0,False,1,False,3,
45,39,n,True,42,4,False,22,True,0,False,1,False,3,
46,20,s,True,43,4,True,23,False,0,False,1,False,3,
47,13,s,True,44,4,True,24,False,0,False,1,False,3,
48,1,n,True,45,4,False,24,True,0,False,1,False,3,
49,21,s,True,46,4,True,25,False,0,False,1,False,3,
50,21,s,True,47,4,True,26,False,0,False,1,False,3,
51,5,n,True,48,4,False,26,True,0,False,1,False,3,
52,48,s,False,48,5,False,26,False,0,True,2,False,3,
53,16,s,True,49,5,True,27,False,0,False,2,False,3,
54,24,s,True,50,5,True,28,False,0,False,2,False,3,
55,48,s,False,50,6,False,28,False,0,True,3,False,3,
56,16,s,True,51,6,True,29,False,0,False,3,False,3,
57,40,s,False,51,7,False,29,False,0,True,4,False,3,
58,28,s,True,52,7,True,30,False,0,False,4,False,3,
59,20,s,True,53,7,True,31,False,0,False,4,False,3,
60,41,s,False,53,8,False,31,False,0,True,5,False,3,
61,26,n,False,53,9,False,31,False,0,False,5,True,4,
62,21,n,False,53,10,False,31,False,0,False,5,True,5,
63,9,n,True,54,10,False,31,True,0,False,5,False,5,
64,16,s,True,55,10,True,32,False,0,False,5,False,5,
65,20,n,False,55,11,False,32,False,0,False,5,True,6,
66,35,s,True,56,11,True,33,False,0,False,5,False,6,
67,41,s,False,56,12,False,33,False,0,True,6,False,6,
68,1,n,True,57,12,False,33,True,0,False,6,False,6,
69,33,s,True,58,12,True,34,False,0,False,6,False,6,
70,29,s,True,59,12,True,35,False,0,False,6,False,6,
71,14,s,True,60,12,True,36,False,0,False,6,False,6,
72,44,n,True,61,12,False,36,True,0,False,6,False,6,
73,39,s,False,61,13,False,36,False,0,True,7,False,6,
74,22,s,True,62,13,True,37,False,0,False,7,False,6,
75,19,s,True,63,13,True,38,False,0,False,7,False,6,
76,10,n,True,64,13,False,38,True,0,False,7,False,6,
77,10,n,True,65,13,False,38,True,0,False,7,False,6,
78,8,n,True,66,13,False,38,True,0,False,7,False,6,
79,15,s,True,67,13,True,39,False,0,False,7,False,6,
80,21,s,True,68,13,True,40,False,0,False,7,False,6,
81,6,n,True,69,13,False,40,True,0,False,7,False,6,
82,15,s,True,70,13,True,41,False,0,False,7,False,6,
83,5,n,True,71,13,False,41,True,0,False,7,False,6,
84,32,s,True,72,13,True,42,False,0,False,7,False,6,
85,5,n,True,73,13,False,42,True,0,False,7,False,6,
86,6,n,True,74,13,False,42,True,0,False,7,False,6,
87,41,s,False,74,14,False,42,False,0,True,8,False,6,
88,33,s,True,75,14,True,43,False,0,False,8,False,6,
89,9,n,True,76,14,False,43,True,0,False,8,False,6,
90,42,s,False,76,15,False,43,False,0,True,9,False,6,
91,1,n,True,77,15,False,43,True,0,False,9,False,6,
92,23,s,True,78,15,True,44,False,0,False,9,False,6,
93,9,n,True,79,15,False,44,True,0,False,9,False,6,
94,38,s,False,79,16,False,44,False,0,True,10,False,6,
95,36,s,True,80,16,True,45,False,0,False,10,False,6,
96,4,n,True,81,16,False,45,True,0,False,10,False,6,
97,27,s,True,82,16,True,46,False,0,False,10,False,6,
98,14,s,True,83,16,True,47,False,0,False,10,False,6,
99,23,s,True,84,16,True,48,False,0,False,10,False,6,
100,32,s,True,85,16,True,49,False,0,False,10,False,6,
101,2,n,True,86,16,False,49,True,0,False,10,False,6,
102,42,s,False,86,17,False,49,False,0,True,11,False,6,
103,26,s,True,87,17,True,50,False,0,False,11,False,6,
104,44,s,False,87,18,False,50,False,0,True,12,False,6,
105,43,s,False,87,19,False,50,False,0,True,13,False,6,
106,37,s,False,87,20,False,50,False,0,True,14,False,6,
107,23,s,True,88,20,True,51,False,0,False,14,False,6,
108,3,n,True,89,20,False,51,True,0,False,14,False,6,
109,34,s,True,90,20,True,52,False,0,False,14,False,6,
110,28,s,True,91,20,True,53,False,0,False,14,False,6,
111,34,s,True,92,20,True,54,False,0,False,14,False,6,
112,22,s,True,93,20,True,55,False,0,False,14,False,6,
113,9,s,False,93,21,False,55,False,0,True,15,False,6,
114,38,s,False,93,22,False,55,False,0,True,16,False,6,
115,39,s,False,93,23,False,55,False,0,True,17,False,6,
116,8,s,False,93,24,False,55,False,0,True,18,False,6,
117,23,s,True,94,24,True,56,False,0,False,18,False,6,
118,14,s,True,95,24,True,57,False,0,False,18,False,6,
119,31,s,True,96,24,True,58,False,0,False,18,False,6,
120,3,n,True,97,24,False,58,True,0,False,18,False,6,
121,5,n,True,98,24,False,58,True,0,False,18,False,6,
122,39,s,False,98,25,False,58,False,0,True,19,False,6,
123,28,s,True,99,25,True,59,False,0,False,19,False,6,
124,47,n,True,100,25,False,59,True,0,False,19,False,6,
125,35,s,True,101,25,True,60,False,0,False,19,False,6,
126,38,n,True,102,25,False,60,True,0,False,19,False,6,
127,13,s,True,103,25,True,61,False,0,False,19,False,6,
128,29,s,True,104,25,True,62,False,0,False,19,False,6,
129,15,s,True,105,25,True,63,False,0,False,19,False,6,
130,21,n,False,105,26,False,63,False,0,False,19,True,7,
131,4,n,True,106,26,False,63,True,0,False,19,False,7,
132,9,n,True,107,26,False,63,True,0,False,19,False,7,
133,36,s,True,108,26,True,64,False,0,False,19,False,7,
134,47,s,False,108,27,False,64,False,0,True,20,False,7,
135,47,s,False,108,28,False,64,False,0,True,21,False,7,
136,6,n,True,109,28,False,64,True,0,False,21,False,7,
137,35,s,True,110,28,True,65,False,0,False,21,False,7,
138,35,s,True,111,28,True,66,False,0,False,21,False,7,
139,12,s,False,111,29,False,66,False,0,True,22,False,7,
140,12,n,True,112,29,False,66,True,0,False,22,False,7,
141,45,s,False,112,30,False,66,False,0,True,23,False,7,
142,12,n,True,113,30,False,66,True,0,False,23,False,7,
143,3,n,True,114,30,False,66,True,0,False,23,False,7,
144,14,s,True,115,30,True,67,False,0,False,23,False,7,
145,21,s,True,116,30,True,68,False,0,False,23,False,7,
146,24,s,True,117,30,True,69,False,0,False,23,False,7,
147,14,s,True,118,30,True,70,False,0,False,23,False,7,
148,11,n,True,119,30,False,70,True,0,False,23,False,7,
149,21,s,True,120,30,True,71,False,0,False,23,False,7,
150,31,s,True,121,30,True,72,False,0,False,23,False,7,
151,29,s,True,122,30,True,73,False,0,False,23,False,7,
152,8,n,True,123,30,False,73,True,0,False,23,False,7,
153,18,s,True,124,30,True,74,False,0,False,23,False,7,
154,32,s,True,125,30,True,75,False,0,False,23,False,7,
155,6,n,True,126,30,False,75,True,0,False,23,False,7,
156,35,s,True,127,30,True,76,False,0,False,23,False,7,
157,9,n,True,128,30,False,76,True,0,False,23,False,7,
158,30,s,True,129,30,True,77,False,0,False,23,False,7,
159,41,s,False,129,31,False,77,False,0,True,24,False,7,
160,4,n,True,130,31,False,77,True,0,False,24,False,7,
161,36,s,True,131,31,True,78,False,0,False,24,False,7,
162,8,n,True,132,31,False,78,True,0,False,24,False,7,
163,16,s,True,133,31,True,79,False,0,False,24,False,7,
164,24,s,True,134,31,True,80,False,0,False,24,False,7,
165,32,s,True,135,31,True,81,False,0,False,24,False,7,
166,11,s,False,135,32,False,81,False,0,True,25,False,7,
167,10,n,True,136,32,False,81,True,0,False,25,False,7,
168,7,n,True,137,32,False,81,True,0,False,25,False,7,
169,46,s,False,137,33,False,81,False,0,True,26,False,7,
170,30,s,True,138,33,True,82,False,0,False,26,False,7,
171,15,s,True,139,33,True,83,False,0,False,26,False,7,
172,6,n,True,140,33,False,83,True,0,False,26,False,7,
173,40,s,False,140,34,False,83,False,0,True,27,False,7,
174,46,n,True,141,34,False,83,True,0,False,27,False,7,
175,41,s,False,141,35,False,83,False,0,True,28,False,7,
176,25,s,True,142,35,True,84,False,0,False,28,False,7,
177,5,n,True,143,35,False,84,True,0,False,28,False,7,
178,11,n,True,144,35,False,84,True,0,False,28,False,7,
179,23,s,True,145,35,True,85,False,0,False,28,False,7,
180,45,s,False,145,36,False,85,False,0,True,29,False,7,
181,26,n,False,145,37,False,85,False,0,False,29,True,8,
182,5,n,True,146,37,False,85,True,0,False,29,False,8,
183,22,s,True,147,37,True,86,False,0,False,29,False,8,
184,26,s,True,148,37,True,87,False,0,False,29,False,8,
185,13,s,True,149,37,True,88,False,0,False,29,False,8,
186,28,s,True,150,37,True,89,False,0,False,29,False,8,
187,43,n,True,151,37,False,89,True,0,False,29,False,8,
188,35,s,True,152,37,True,90,False,0,False,29,False,8,
189,47,n,True,153,37,False,90,True,0,False,29,False,8,
190,44,s,False,153,38,False,90,False,0,True,30,False,8,
191,11,n,True,154,38,False,90,True,0,False,30,False,8,
192,2,n,True,155,38,False,90,True,0,False,30,False,8,
193,19,s,True,156,38,True,91,False,0,False,30,False,8,
194,34,s,True,157,38,True,92,False,0,False,30,False,8,
195,8,n,True,158,38,False,92,True,0,False,30,False,8,
196,44,n,True,159,38,False,92,True,0,False,30,False,8,
197,40,s,False,159,39,False,92,False,0,True,31,False,8,
198,12,n,True,160,39,False,92,True,0,False,31,False,8,
199,37,s,False,160,40,False,92,False,0,True,32,False,8,
200,39,s,False,160,41,False,92,False,0,True,33,False,8,
201,14,s,True,161,41,True,93,False,0,False,33,False,8,
202,17,s,True,162,41,True,94,False,0,False,33,False,8,
203,12,n,True,163,41,False,94,True,0,False,33,False,8,
204,19,s,True,164,41,True,95,False,0,False,33,False,8,
205,18,s,True,165,41,True,96,False,0,False,33,False,8,
206,6,n,True,166,41,False,96,True,0,False,33,False,8,
207,26,s,True,167,41,True,97,False,0,False,33,False,8,
208,38,s,False,167,42,False,97,False,0,True,34,False,8,
209,25,s,True,168,42,True,98,False,0,False,34,False,8,
210,42,n,True,169,42,False,98,True,0,False,34,False,8,
211,18,s,True,170,42,True,99,False,0,False,34,False,8,
212,22,s,True,171,42,True,100,False,0,False,34,False,8,
213,41,s,False,171,43,False,100,False,0,True,35,False,8,
214,37,n,True,172,43,False,100,True,0,False,35,False,8,
215,28,s,True,173,43,True,101,False,0,False,35,False,8,
216,7,n,True,174,43,False,101,True,0,False,35,False,8,
