Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,37,n,True,1,0,False,0,True,1,False,0,False,0,
1,39,s,False,1,1,False,0,False,1,True,1,False,0,
2,27,s,True,2,1,True,1,False,1,False,1,False,0,
3,19,s,True,3,1,True,2,False,1,False,1,False,0,
4,29,s,True,4,1,True,3,False,1,False,1,False,0,
5,21,s,True,5,1,True,4,False,1,False,1,False,0,
6,42,n,True,6,1,False,4,True,2,False,1,False,0,
7,26,n,False,6,2,False,4,False,2,False,1,True,1,
8,48,s,False,6,3,False,4,False,2,True,2,False,1,
9,1,n,True,7,3,False,4,True,3,False,2,False,1,
10,30,n,False,7,4,False,4,False,3,False,2,True,2,
11,6,n,True,8,4,False,4,True,4,False,2,False,2,
12,7,n,True,9,4,False,4,True,5,False,2,False,2,
13,25,n,False,9,5,False,4,False,5,False,2,True,3,
14,36,n,False,9,6,False,4,False,5,False,2,True,4,
15,26,n,False,9,7,False,4,False,5,False,2,True,5,
16,43,n,True,10,7,False,4,True,6,False,2,False,5,
17,21,s,True,11,7,True,5,False,6,False,2,False,5,
18,18,s,True,12,7,True,6,False,6,False,2,False,5,
19,27,s,True,13,7,True,7,False,6,False,2,False,5,
20,31,s,True,14,7,True,8,False,6,False,2,False,5,
21,36,s,True,15,7,True,9,False,6,False,2,False,5,
22,15,s,True,16,7,True,10,False,6,False,2,False,5,
23,48,n,True,17,7,False,10,True,7,False,2,False,5,
24,3,n,True,18,7,False,10,True,8,False,2,False,5,
25,35,n,False,18,8,False,10,False,8,False,2,True,6,
26,37,s,False,18,9,False,10,False,8,True,3,False,6,
27,16,s,True,19,9,True,11,False,8,False,3,False,6,
28,19,s,True,20,9,True,12,False,8,False,3,False,6,
29,31,s,True,21,9,True,13,False,8,False,3,False,6,
30,26,n,False,21,10,False,13,False,8,False,3,True,7,
31,2,n,True,22,10,False,13,True,9,False,3,False,7,
32,19,s,True,23,10,True,14,False,9,False,3,False,7,
33,45,n,True,24,10,False,14,True,10,False,3,False,7,
34,6,n,True,25,10,False,14,True,11,False,3,False,7,
35,4,n,True,26,10,False,14,True,12,False,3,False,7,
36,28,s,True,27,10,True,15,False,12,False,3,False,7,
37,45,s,False,27,11,False,15,False,12,True,4,False,7,
38,14,s,True,28,11,True,16,False,12,False,4,False,7,
39,28,n,False,28,12,False,16,False,12,False,4,True,8,
40,43,s,False,28,13,False,16,False,12,True,5,False,8,
41,15,s,True,29,13,True,17,False,12,False,5,False,8,
42,41,n,True,30,13,False,17,True,13,False,5,False,8,
43,39,s,False,30,14,False,17,False,13,True,6,False,8,
44,17,s,True,31,14,True,18,False,13,False,6,False,8,
45,26,s,True,32,14,True,19,False,13,False,6,False,8,
46,22,n,False,32,15,False,19,False,13,False,6,True,9,
47,14,s,True,33,15,True,20,False,13,False,6,False,9,
48,37,n,True,34,15,False,20,True,14,False,6,False,9,
49,25,s,True,35,15,True,21,False,14,False,6,False,9,
50,16,s,True,36,15,True,22,False,14,False,6,False,9,
51,2,n,True,37,15,False,22,True,15,False,6,False,9,
52,44,n,True,38,15,False,22,True,16,False,6,False,9,
53,11,s,False,38,16,False,22,False,16,True,7,False,9,
54,23,s,True,39,16,True,23,False,16,False,7,False,9,
55,3,n,True,40,16,False,23,True,17,False,7,False,9,
56,24,s,True,41,16,True,24,False,17,False,7,False,9,
57,29,s,True,42,16,True,25,False,17,False,7,False,9,
58,11,n,True,43,16,False,25,True,18,False,7,False,9,
59,1,n,True,44,16,False,25,True,19,False,7,False,9,
60,11,s,False,44,17,False,25,False,19,True,8,False,9,
61,33,n,False,44,18,False,25,False,19,False,8,True,10,
62,23,s,True,45,18,True,26,False,19,False,8,False,10,
63,21,s,True,46,18,True,27,False,19,False,8,False,10,
64,30,s,True,47,18,True,28,False,19,False,8,False,10,
65,21,n,False,47,19,False,28,False,19,False,8,True,11,
66,42,n,True,48,19,False,28,True,20,False,8,False,11,
67,19,s,True,49,19,True,29,False,20,False,8,False,11,
68,18,s,True,50,19,True,30,False,20,False,8,False,11,
69,16,s,True,51,19,True,31,False,20,False,8,False,11,
70,13,s,True,52,19,True,32,False,20,False,8,False,11,
71,48,n,True,53,19,False,32,True,21,False,8,False,11,
72,13,s,True,54,19,True,33,False,21,False,8,False,11,
73,2,n,True,55,19,False,33,True,22,False,8,False,11,
74,41,n,True,56,19,False,33,True,23,False,8,False,11,
75,37,n,True,57,19,False,33,True,24,False,8,False,11,
76,20,s,True,58,19,True,34,False,24,False,8,False,11,
77,39,n,True,59,19,False,34,True,25,False,8,False,11,
78,9,n,True,60,19,False,34,True,26,False,8,False,11,
79,42,n,True,61,19,False,34,True,27,False,8,False,11,
80,47,n,True,62,19,False,34,True,28,False,8,False,11,
81,5,n,True,63,19,False,34,True,29,False,8,False,11,
82,48,n,True,64,19,False,34,True,30,False,8,False,11,
83,32,s,True,65,19,True,35,False,30,False,8,False,11,
84,47,n,True,66,19,False,35,True,31,False,8,False,11,
85,29,s,True,67,19,True,36,False,31,False,8,False,11,
86,3,n,True,68,19,False,36,True,32,False,8,False,11,
87,7,n,True,69,19,False,36,True,33,False,8,False,11,
88,32,s,True,70,19,True,37,False,33,False,8,False,11,
89,5,n,True,71,19,False,37,True,34,False,8,False,11,
90,27,n,False,71,20,False,37,False,34,False,8,True,12,
91,33,n,False,71,21,False,37,False,34,False,8,True,13,
92,40,n,True,72,21,False,37,True,35,False,8,False,13,
93,22,s,True,73,21,True,38,False,35,False,8,False,13,
94,40,n,True,74,21,False,38,True,36,False,8,False,13,
95,24,s,True,75,21,True,39,False,36,False,8,False,13,
96,5,s,False,75,22,False,39,False,36,True,9,False,13,
97,46,n,True,76,22,False,39,True,37,False,9,False,13,
98,15,s,True,77,22,True,40,False,37,False,9,False,13,
99,24,s,True,78,22,True,41,False,37,False,9,False,13,
100,12,n,True,79,22,False,41,True,38,False,9,False,13,
101,34,n,False,79,23,False,41,False,38,False,9,True,14,
102,13,s,True,80,23,True,42,False,38,False,9,False,14,
103,41,n,True,81,23,False,42,True,39,False,9,False,14,
104,12,n,True,82,23,False,42,True,40,False,9,False,14,
105,25,s,True,83,23,True,43,False,40,False,9,False,14,
106,22,s,True,84,23,True,44,False,40,False,9,False,14,
107,37,n,True,85,23,False,44,True,41,False,9,False,14,
108,6,n,True,86,23,False,44,True,42,False,9,False,14,
109,28,s,True,87,23,True,45,False,42,False,9,False,14,
110,31,s,True,88,23,True,46,False,42,False,9,False,14,
111,41,n,True,89,23,False,46,True,43,False,9,False,14,
112,3,n,True,90,23,False,46,True,44,False,9,False,14,
113,14,s,True,91,23,True,47,False,44,False,9,False,14,
114,8,n,True,92,23,False,47,True,45,False,9,False,14,
115,44,n,True,93,23,False,47,True,46,False,9,False,14,
116,8,n,True,94,23,False,47,True,47,False,9,False,14,
117,33,n,False,94,24,False,47,False,47,False,9,True,15,
118,42,n,True,95,24,False,47,True,48,False,9,False,15,
119,4,n,True,96,24,False,47,True,49,False,9,False,15,
120,41,n,True,97,24,False,47,True,50,False,9,False,15,
121,10,n,True,98,24,False,47,True,51,False,9,False,15,
122,31,s,True,99,24,True,48,False,51,False,9,False,15,
123,39,n,True,100,24,False,48,True,52,False,9,False,15,
124,9,n,True,101,24,False,48,True,53,False,9,False,15,
125,34,s,True,102,24,True,49,False,53,False,9,False,15,
126,36,n,False,102,25,False,49,False,53,False,9,True,16,
127,17,s,True,103,25,True,50,False,53,False,9,False,16,
128,9,n,True,104,25,False,50,True,54,False,9,False,16,
129,46,n,True,105,25,False,50,True,55,False,9,False,16,
130,7,n,True,106,25,False,50,True,56,False,9,False,16,
131,47,n,True,107,25,False,50,True,57,False,9,False,16,
132,31,n,False,107,26,False,50,False,57,False,9,True,17,
133,3,n,True,108,26,False,50,True,58,False,9,False,17,
134,25,s,True,109,26,True,51,False,58,False,9,False,17,
135,46,n,True,110,26,False,51,True,59,False,9,False,17,
136,40,s,False,110,27,False,51,False,59,True,10,False,17,
137,32,s,True,111,27,True,52,False,59,False,10,False,17,
138,27,s,True,112,27,True,53,False,59,False,10,False,17,
139,2,n,True,113,27,False,53,True,60,False,10,False,17,
140,8,n,True,114,27,False,53,True,61,False,10,False,17,
141,37,n,True,115,27,False,53,True,62,False,10,False,17,
142,18,s,True,116,27,True,54,False,62,False,10,False,17,
143,35,s,True,117,27,True,55,False,62,False,10,False,17,
144,43,n,True,118,27,False,55,True,63,False,10,False,17,
145,19,n,False,118,28,False,55,False,63,False,10,True,18,
146,24,s,True,119,28,True,56,False,63,False,10,False,18,
147,8,n,True,120,28,False,56,True,64,False,10,False,18,
148,35,s,True,121,28,True,57,False,64,False,10,False,18,
149,9,n,True,122,28,False,57,True,65,False,10,False,18,
150,15,s,True,123,28,True,58,False,65,False,10,False,18,
151,14,s,True,124,28,True,59,False,65,False,10,False,18,
152,20,n,False,124,29,False,59,False,65,False,10,True,19,
153,34,s,True,125,29,True,60,False,65,False,10,False,19,
154,27,s,True,126,29,True,61,False,65,False,10,False,19,
155,18,s,True,127,29,True,62,False,65,False,10,False,19,
156,28,s,True,128,29,True,63,False,65,False,10,False,19,
157,39,n,True,129,29,False,63,True,66,False,10,False,19,
158,17,s,True,130,29,True,64,False,66,False,10,False,19,
159,25,s,True,131,29,True,65,False,66,False,10,False,19,
160,30,s,True,132,29,True,66,False,66,False,10,False,19,
