Ensayo,|, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
24,7,n,1,23,2,False,162,1,51,False,33,False,6,
37,7,n,1,34,4,False,,1,,False,,False,,
112,7,n,1,102,11,False,,1,,False,,False,,
145,7,n,1,131,15,False,,1,,False,,False,,
157,7,s,False,139,19,False,,False,,1,,False,,
212,7,s,False,187,26,False,,False,,1,,False,,
308,7,s,False,272,37,False,,False,,1,,False,,
5,8,n,1,5,1,False,,1,,False,,False,,
11,8,n,1,10,2,False,,1,,False,,False,,
73,8,n,1,65,9,False,,1,,False,,False,,
131,8,n,1,119,13,False,,1,,False,,False,,
196,8,n,1,174,23,False,,1,,False,,False,,
275,8,n,1,244,32,False,,1,,False,,False,,
328,8,n,1,289,40,False,,1,,False,,False,,
27,9,n,1,25,3,False,,1,,False,,False,,
38,9,n,1,35,4,False,,1,,False,,False,,
41,9,n,1,38,4,False,,1,,False,,False,,
79,9,n,1,70,10,False,,1,,False,,False,,
123,9,n,1,113,11,False,,1,,False,,False,,
255,9,s,False,226,30,False,,False,,1,,False,,
268,9,n,1,239,30,False,,1,,False,,False,,
111,10,n,1,101,11,False,,1,,False,,False,,
114,10,n,1,104,11,False,,1,,False,,False,,
254,10,n,1,226,29,False,,1,,False,,False,,
272,10,s,False,241,32,False,,False,,1,,False,,
295,10,n,1,262,34,False,,1,,False,,False,,
312,10,n,1,275,38,False,,1,,False,,False,,
321,10,n,1,284,38,False,,1,,False,,False,,
8,11,s,False,7,2,False,,False,,1,,False,,
70,11,n,1,63,8,False,,1,,False,,False,,
80,11,n,1,71,10,False,,1,,False,,False,,
251,11,n,1,223,29,False,,1,,False,,False,,
277,11,s,False,245,33,False,,False,,1,,False,,
278,11,n,1,246,33,False,,1,,False,,False,,
320,11,n,1,283,38,False,,1,,False,,False,,
53,12,n,1,49,5,False,,1,,False,,False,,
155,12,n,1,138,18,False,,1,,False,,False,,
210,12,n,1,186,25,False,,1,,False,,False,,
239,12,n,1,211,29,False,,1,,False,,False,,
259,12,n,1,230,30,False,,1,,False,,False,,
306,12,s,False,271,36,False,,False,,1,,False,,
314,12,n,1,277,38,False,,1,,False,,False,,
40,13,s,1,37,4,1,,False,,False,,False,,
49,13,s,1,45,5,1,,False,,False,,False,,
92,13,s,1,83,10,1,,False,,False,,False,,
122,13,s,1,112,11,1,,False,,False,,False,,
240,13,s,1,212,29,1,,False,,False,,False,,
244,13,s,1,216,29,1,,False,,False,,False,,
326,13,s,1,288,39,1,,False,,False,,False,,
13,14,s,1,12,2,1,,False,,False,,False,,
141,14,s,1,127,15,1,,False,,False,,False,,
173,14,s,1,154,20,1,,False,,False,,False,,
219,14,s,1,194,26,1,,False,,False,,False,,
224,14,s,1,198,27,1,,False,,False,,False,,
273,14,s,1,242,32,1,,False,,False,,False,,
310,14,s,1,273,38,1,,False,,False,,False,,
19,15,s,1,18,2,1,,False,,False,,False,,
44,15,s,1,40,5,1,,False,,False,,False,,
48,15,s,1,44,5,1,,False,,False,,False,,
163,15,s,1,145,19,1,,False,,False,,False,,
193,15,s,1,171,23,1,,False,,False,,False,,
236,15,s,1,208,29,1,,False,,False,,False,,
315,15,s,1,278,38,1,,False,,False,,False,,
6,16,s,1,6,1,1,,False,,False,,False,,
29,16,s,1,27,3,1,,False,,False,,False,,
156,16,s,1,139,18,1,,False,,False,,False,,
184,16,s,1,164,21,1,,False,,False,,False,,
199,16,s,1,176,24,1,,False,,False,,False,,
223,16,s,1,197,27,1,,False,,False,,False,,
289,16,s,1,256,34,1,,False,,False,,False,,
43,17,s,1,39,5,1,,False,,False,,False,,
86,17,s,1,77,10,1,,False,,False,,False,,
153,17,s,1,136,18,1,,False,,False,,False,,
194,17,s,1,172,23,1,,False,,False,,False,,
266,17,s,1,237,30,1,,False,,False,,False,,
270,17,s,1,241,30,1,,False,,False,,False,,
276,17,s,1,245,32,1,,False,,False,,False,,
12,18,s,1,11,2,1,,False,,False,,False,,
23,18,s,1,22,2,1,,False,,False,,False,,
61,18,s,1,55,7,1,,False,,False,,False,,
168,18,s,1,150,19,1,,False,,False,,False,,
170,18,s,1,152,19,1,,False,,False,,False,,
195,18,s,1,173,23,1,,False,,False,,False,,
304,18,s,1,270,35,1,,False,,False,,False,,
169,19,s,1,151,19,1,,False,,False,,False,,
171,19,s,1,153,19,1,,False,,False,,False,,
211,19,s,1,187,25,1,,False,,False,,False,,
279,19,s,1,247,33,1,,False,,False,,False,,
281,19,s,1,249,33,1,,False,,False,,False,,
291,19,s,1,258,34,1,,False,,False,,False,,
331,19,s,1,292,40,1,,False,,False,,False,,
84,20,s,1,75,10,1,,False,,False,,False,,
96,20,s,1,86,11,1,,False,,False,,False,,
100,20,s,1,90,11,1,,False,,False,,False,,
109,20,s,1,99,11,1,,False,,False,,False,,
150,20,s,1,134,17,1,,False,,False,,False,,
313,20,s,1,276,38,1,,False,,False,,False,,
332,20,s,1,293,40,1,,False,,False,,False,,
17,21,s,1,16,2,1,,False,,False,,False,,
166,21,s,1,148,19,1,,False,,False,,False,,
176,21,s,1,157,20,1,,False,,False,,False,,
