Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
33,7,n,1,34,0,False,144,1,70,False,14,False,24,
93,7,n,1,88,6,False,,1,,False,,False,,
184,7,n,1,170,15,False,,1,,False,,False,,
221,7,n,1,203,19,False,,1,,False,,False,,
242,7,n,1,221,22,False,,1,,False,,False,,
307,7,s,False,276,32,False,,False,,1,,False,,
323,7,n,1,288,36,False,,1,,False,,False,,
7,8,n,1,8,0,False,,1,,False,,False,,
23,8,n,1,24,0,False,,1,,False,,False,,
51,8,n,1,51,1,False,,1,,False,,False,,
215,8,n,1,198,18,False,,1,,False,,False,,
237,8,n,1,217,21,False,,1,,False,,False,,
294,8,n,1,265,30,False,,1,,False,,False,,
322,8,n,1,287,36,False,,1,,False,,False,,
62,9,n,1,61,2,False,,1,,False,,False,,
98,9,n,1,93,6,False,,1,,False,,False,,
190,9,n,1,176,15,False,,1,,False,,False,,
214,9,n,1,197,18,False,,1,,False,,False,,
231,9,n,1,211,21,False,,1,,False,,False,,
311,9,n,1,278,34,False,,1,,False,,False,,
320,9,n,1,285,36,False,,1,,False,,False,,
119,10,n,1,113,7,False,,1,,False,,False,,
187,10,n,1,173,15,False,,1,,False,,False,,
193,10,n,1,179,15,False,,1,,False,,False,,
220,10,n,1,202,19,False,,1,,False,,False,,
228,10,n,1,208,21,False,,1,,False,,False,,
230,10,n,1,210,21,False,,1,,False,,False,,
295,10,n,1,266,30,False,,1,,False,,False,,
69,11,n,1,67,3,False,,1,,False,,False,,
95,11,n,1,90,6,False,,1,,False,,False,,
114,11,n,1,109,6,False,,1,,False,,False,,
185,11,n,1,171,15,False,,1,,False,,False,,
194,11,s,False,179,16,False,,False,,1,,False,,
257,11,n,1,234,24,False,,1,,False,,False,,
267,11,n,1,243,25,False,,1,,False,,False,,
70,12,n,1,68,3,False,,1,,False,,False,,
229,12,n,1,209,21,False,,1,,False,,False,,
270,12,n,1,246,25,False,,1,,False,,False,,
290,12,n,1,261,30,False,,1,,False,,False,,
291,12,n,1,262,30,False,,1,,False,,False,,
326,12,n,1,291,36,False,,1,,False,,False,,
331,12,n,1,294,38,False,,1,,False,,False,,
36,13,s,1,37,0,1,,False,,False,,False,,
42,13,s,1,43,0,1,,False,,False,,False,,
77,13,s,1,74,4,1,,False,,False,,False,,
112,13,s,1,107,6,1,,False,,False,,False,,
143,13,s,1,135,9,1,,False,,False,,False,,
167,13,s,1,155,13,1,,False,,False,,False,,
256,13,s,1,233,24,1,,False,,False,,False,,
32,14,s,1,33,0,1,,False,,False,,False,,
