Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
12,7,n,1,9,4,False,141,1,78,False,6,False,27,
87,7,n,1,69,19,False,,1,,False,,False,,
130,7,n,1,106,25,False,,1,,False,,False,,
164,7,n,1,136,29,False,,1,,False,,False,,
251,7,n,1,220,32,False,,1,,False,,False,,
281,7,n,1,248,34,False,,1,,False,,False,,
292,7,n,1,259,34,False,,1,,False,,False,,
114,8,n,1,92,23,False,,1,,False,,False,,
116,8,n,1,94,23,False,,1,,False,,False,,
140,8,n,1,114,27,False,,1,,False,,False,,
147,8,n,1,120,28,False,,1,,False,,False,,
204,8,n,1,175,30,False,,1,,False,,False,,
282,8,n,1,249,34,False,,1,,False,,False,,
312,8,n,1,278,35,False,,1,,False,,False,,
78,9,n,1,60,19,False,,1,,False,,False,,
124,9,n,1,101,24,False,,1,,False,,False,,
128,9,n,1,104,25,False,,1,,False,,False,,
149,9,n,1,122,28,False,,1,,False,,False,,
188,9,n,1,159,30,False,,1,,False,,False,,
249,9,n,1,218,32,False,,1,,False,,False,,
310,9,n,1,276,35,False,,1,,False,,False,,
121,10,n,1,98,24,False,,1,,False,,False,,
253,10,n,1,222,32,False,,1,,False,,False,,
256,10,n,1,224,33,False,,1,,False,,False,,
266,10,n,1,234,33,False,,1,,False,,False,,
278,10,n,1,245,34,False,,1,,False,,False,,
330,10,n,1,294,37,False,,1,,False,,False,,
335,10,n,1,299,37,False,,1,,False,,False,,
53,11,s,False,38,16,False,,False,,1,,False,,
58,11,n,1,43,16,False,,1,,False,,False,,
60,11,s,False,44,17,False,,False,,1,,False,,
196,11,n,1,167,30,False,,1,,False,,False,,
229,11,n,1,199,31,False,,1,,False,,False,,
242,11,n,1,212,31,False,,1,,False,,False,,
302,11,n,1,269,34,False,,1,,False,,False,,
100,12,n,1,79,22,False,,1,,False,,False,,
104,12,n,1,82,23,False,,1,,False,,False,,
193,12,n,1,164,30,False,,1,,False,,False,,
217,12,n,1,188,30,False,,1,,False,,False,,
269,12,n,1,237,33,False,,1,,False,,False,,
307,12,n,1,274,34,False,,1,,False,,False,,
317,12,n,1,282,36,False,,1,,False,,False,,
70,13,s,1,52,19,1,,False,,False,,False,,
72,13,s,1,54,19,1,,False,,False,,False,,
102,13,s,1,80,23,1,,False,,False,,False,,
175,13,s,1,146,30,1,,False,,False,,False,,
220,13,s,1,190,31,1,,False,,False,,False,,
304,13,s,1,271,34,1,,False,,False,,False,,
324,13,s,1,288,37,1,,False,,False,,False,,
38,14,s,1,28,11,1,,False,,False,,False,,
47,14,s,1,33,15,1,,False,,False,,False,,
113,14,s,1,91,23,1,,False,,False,,False,,
151,14,s,1,124,28,1,,False,,False,,False,,
171,14,s,1,142,30,1,,False,,False,,False,,
233,14,s,1,203,31,1,,False,,False,,False,,
296,14,s,1,263,34,1,,False,,False,,False,,
22,15,s,1,16,7,1,,False,,False,,False,,
41,15,s,1,29,13,1,,False,,False,,False,,
98,15,s,1,77,22,1,,False,,False,,False,,
150,15,s,1,123,28,1,,False,,False,,False,,
311,15,s,1,277,35,1,,False,,False,,False,,
318,15,s,1,283,36,1,,False,,False,,False,,
319,15,s,1,284,36,1,,False,,False,,False,,
27,16,s,1,19,9,1,,False,,False,,False,,
50,16,s,1,36,15,1,,False,,False,,False,,
69,16,s,1,51,19,1,,False,,False,,False,,
221,16,s,1,191,31,1,,False,,False,,False,,
241,16,s,1,211,31,1,,False,,False,,False,,
273,16,s,1,241,33,1,,False,,False,,False,,
323,16,n,False,287,37,False,,False,,False,,1,,
44,17,s,1,31,14,1,,False,,False,,False,,
127,17,s,1,103,25,1,,False,,False,,False,,
158,17,s,1,130,29,1,,False,,False,,False,,
173,17,s,1,144,30,1,,False,,False,,False,,
243,17,n,False,212,32,False,,False,,False,,1,,
245,17,s,1,214,32,1,,False,,False,,False,,
254,17,n,False,222,33,False,,False,,False,,1,,
18,18,s,1,12,7,1,,False,,False,,False,,
68,18,s,1,50,19,1,,False,,False,,False,,
142,18,s,1,116,27,1,,False,,False,,False,,
155,18,s,1,127,29,1,,False,,False,,False,,
275,18,s,1,243,33,1,,False,,False,,False,,
306,18,s,1,273,34,1,,False,,False,,False,,
322,18,s,1,287,36,1,,False,,False,,False,,
3,19,s,1,3,1,1,,False,,False,,False,,
28,19,s,1,20,9,1,,False,,False,,False,,
32,19,s,1,23,10,1,,False,,False,,False,,
67,19,s,1,49,19,1,,False,,False,,False,,
145,19,n,False,118,28,False,,False,,False,,1,,
161,19,s,1,133,29,1,,False,,False,,False,,
276,19,n,False,243,34,False,,False,,False,,1,,
76,20,s,1,58,19,1,,False,,False,,False,,
152,20,n,False,124,29,False,,False,,False,,1,,
165,20,s,1,137,29,1,,False,,False,,False,,
228,20,s,1,198,31,1,,False,,False,,False,,
262,20,s,1,230,33,1,,False,,False,,False,,
272,20,s,1,240,33,1,,False,,False,,False,,
274,20,s,1,242,33,1,,False,,False,,False,,
5,21,s,1,5,1,1,,False,,False,,False,,
17,21,s,1,11,7,1,,False,,False,,False,,
63,21,s,1,46,18,1,,False,,False,,False,,
65,21,n,False,47,19,False,,False,,False,,1,,
182,21,s,1,153,30,1,,False,,False,,False,,
184,21,s,1,155,30,1,,False,,False,,False,,
290,21,s,1,257,34,1,,False,,False,,False,,
46,22,n,False,32,15,False,,False,,False,,1,,
93,22,s,1,73,21,1,,False,,False,,False,,
106,22,s,1,84,23,1,,False,,False,,False,,
179,22,s,1,150,30,1,,False,,False,,False,,
315,22,s,1,280,36,1,,False,,False,,False,,
327,22,s,1,291,37,1,,False,,False,,False,,
332,22,s,1,296,37,1,,False,,False,,False,,
54,23,s,1,39,16,1,,False,,False,,False,,
62,23,s,1,45,18,1,,False,,False,,False,,
177,23,s,1,148,30,1,,False,,False,,False,,
225,23,s,1,195,31,1,,False,,False,,False,,
287,23,s,1,254,34,1,,False,,False,,False,,
313,23,s,1,279,35,1,,False,,False,,False,,
325,23,s,1,289,37,1,,False,,False,,False,,
56,24,s,1,41,16,1,,False,,False,,False,,
95,24,s,1,75,21,1,,False,,False,,False,,
99,24,s,1,78,22,1,,False,,False,,False,,
146,24,s,1,119,28,1,,False,,False,,False,,
178,24,s,1,149,30,1,,False,,False,,False,,
300,24,s,1,267,34,1,,False,,False,,False,,
321,24,s,1,286,36,1,,False,,False,,False,,
13,25,n,False,9,5,False,,False,,False,,1,,
49,25,s,1,35,15,1,,False,,False,,False,,
105,25,s,1,83,23,1,,False,,False,,False,,
134,25,s,1,109,26,1,,False,,False,,False,,
159,25,s,1,131,29,1,,False,,False,,False,,
247,25,s,1,216,32,1,,False,,False,,False,,
280,25,s,1,247,34,1,,False,,False,,False,,
7,26,n,False,6,2,False,,False,,False,,1,,
15,26,n,False,9,7,False,,False,,False,,1,,
30,26,n,False,21,10,False,,False,,False,,1,,
45,26,s,1,32,14,1,,False,,False,,False,,
218,26,n,False,188,31,False,,False,,False,,1,,
267,26,s,1,235,33,1,,False,,False,,False,,
308,26,n,False,274,35,False,,False,,False,,1,,
2,27,s,1,2,1,1,,False,,False,,False,,
19,27,s,1,13,7,1,,False,,False,,False,,
90,27,n,False,71,20,False,,False,,False,,1,,
138,27,s,1,112,27,1,,False,,False,,False,,
154,27,s,1,126,29,1,,False,,False,,False,,
181,27,s,1,152,30,1,,False,,False,,False,,
270,27,s,1,238,33,1,,False,,False,,False,,
36,28,s,1,27,10,1,,False,,False,,False,,
