Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
13,8,n,1,11,3,False,160,1,76,False,1,False,8,
37,8,n,1,31,7,False,,1,,False,,False,,
129,8,n,1,123,7,False,,1,,False,,False,,
203,8,n,1,196,8,False,,1,,False,,False,,
205,8,n,1,198,8,False,,1,,False,,False,,
291,8,n,1,282,10,False,,1,,False,,False,,
306,8,n,1,297,10,False,,1,,False,,False,,
36,9,n,1,30,7,False,,1,,False,,False,,
51,9,n,1,45,7,False,,1,,False,,False,,
108,9,n,1,102,7,False,,1,,False,,False,,
135,9,n,1,129,7,False,,1,,False,,False,,
146,9,n,1,140,7,False,,1,,False,,False,,
191,9,n,1,184,8,False,,1,,False,,False,,
200,9,n,1,193,8,False,,1,,False,,False,,
5,10,n,1,3,3,False,,1,,False,,False,,
89,10,n,1,83,7,False,,1,,False,,False,,
160,10,n,1,154,7,False,,1,,False,,False,,
168,10,s,False,161,8,False,,False,,1,,False,,
233,10,n,1,225,9,False,,1,,False,,False,,
250,10,n,1,242,9,False,,1,,False,,False,,
286,10,n,1,278,9,False,,1,,False,,False,,
6,11,n,1,4,3,False,,1,,False,,False,,
20,11,n,1,18,3,False,,1,,False,,False,,
38,11,n,1,32,7,False,,1,,False,,False,,
79,11,n,1,73,7,False,,1,,False,,False,,
96,11,n,1,90,7,False,,1,,False,,False,,
287,11,n,1,279,9,False,,1,,False,,False,,
311,11,n,1,302,10,False,,1,,False,,False,,
111,12,n,1,105,7,False,,1,,False,,False,,
112,12,n,1,106,7,False,,1,,False,,False,,
222,12,n,1,214,9,False,,1,,False,,False,,
259,12,n,1,251,9,False,,1,,False,,False,,
262,12,n,1,254,9,False,,1,,False,,False,,
268,12,n,1,260,9,False,,1,,False,,False,,
294,12,n,1,285,10,False,,1,,False,,False,,
8,13,s,1,6,3,1,,False,,False,,False,,
58,13,s,1,52,7,1,,False,,False,,False,,
150,13,s,1,144,7,1,,False,,False,,False,,
216,13,s,1,208,9,1,,False,,False,,False,,
218,13,s,1,210,9,1,,False,,False,,False,,
249,13,s,1,241,9,1,,False,,False,,False,,
261,13,s,1,253,9,1,,False,,False,,False,,
2,14,n,False,1,2,False,,False,,False,,1,,
55,14,s,1,49,7,1,,False,,False,,False,,
94,14,s,1,88,7,1,,False,,False,,False,,
198,14,s,1,191,8,1,,False,,False,,False,,
308,14,s,1,299,10,1,,False,,False,,False,,
319,14,s,1,310,10,1,,False,,False,,False,,
320,14,s,1,311,10,1,,False,,False,,False,,
18,15,s,1,16,3,1,,False,,False,,False,,
29,15,n,False,25,5,False,,False,,False,,1,,
71,15,s,1,65,7,1,,False,,False,,False,,
99,15,s,1,93,7,1,,False,,False,,False,,
127,15,s,1,121,7,1,,False,,False,,False,,
199,15,s,1,192,8,1,,False,,False,,False,,
253,15,s,1,245,9,1,,False,,False,,False,,
33,16,s,1,27,7,1,,False,,False,,False,,
80,16,s,1,74,7,1,,False,,False,,False,,
105,16,s,1,99,7,1,,False,,False,,False,,
134,16,s,1,128,7,1,,False,,False,,False,,
187,16,s,1,180,8,1,,False,,False,,False,,
236,16,s,1,228,9,1,,False,,False,,False,,
321,16,s,1,312,10,1,,False,,False,,False,,
107,17,s,1,101,7,1,,False,,False,,False,,
128,17,s,1,122,7,1,,False,,False,,False,,
133,17,s,1,127,7,1,,False,,False,,False,,
161,17,s,1,155,7,1,,False,,False,,False,,
181,17,s,1,174,8,1,,False,,False,,False,,
208,17,s,1,201,8,1,,False,,False,,False,,
293,17,s,1,284,10,1,,False,,False,,False,,
4,18,n,False,2,3,False,,False,,False,,1,,
22,18,s,1,19,4,1,,False,,False,,False,,
67,18,s,1,61,7,1,,False,,False,,False,,
78,18,s,1,72,7,1,,False,,False,,False,,
267,18,s,1,259,9,1,,False,,False,,False,,
275,18,s,1,267,9,1,,False,,False,,False,,
312,18,s,1,303,10,1,,False,,False,,False,,
75,19,s,1,69,7,1,,False,,False,,False,,
97,19,s,1,91,7,1,,False,,False,,False,,
206,19,s,1,199,8,1,,False,,False,,False,,
220,19,s,1,212,9,1,,False,,False,,False,,
221,19,s,1,213,9,1,,False,,False,,False,,
239,19,s,1,231,9,1,,False,,False,,False,,
285,19,s,1,277,9,1,,False,,False,,False,,
17,20,s,1,15,3,1,,False,,False,,False,,
64,20,s,1,58,7,1,,False,,False,,False,,
72,20,s,1,66,7,1,,False,,False,,False,,
73,20,s,1,67,7,1,,False,,False,,False,,
190,20,s,1,183,8,1,,False,,False,,False,,
288,20,n,False,279,10,False,,False,,False,,1,,
328,20,s,1,319,10,1,,False,,False,,False,,
31,21,n,False,26,6,False,,False,,False,,1,,
69,21,s,1,63,7,1,,False,,False,,False,,
118,21,s,1,112,7,1,,False,,False,,False,,
