Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
20,7,s,False,17,4,False,146,False,69,1,14,False,22,
22,7,n,1,19,4,False,,1,,False,,False,,
138,7,n,1,123,16,False,,1,,False,,False,,
140,7,n,1,125,16,False,,1,,False,,False,,
176,7,n,1,159,18,False,,1,,False,,False,,
177,7,n,1,160,18,False,,1,,False,,False,,
230,7,n,1,208,23,False,,1,,False,,False,,
0,8,n,1,1,0,False,,1,,False,,False,,
90,8,n,1,80,11,False,,1,,False,,False,,
128,8,n,1,113,16,False,,1,,False,,False,,
143,8,n,1,128,16,False,,1,,False,,False,,
294,8,n,1,259,36,False,,1,,False,,False,,
301,8,n,1,264,38,False,,1,,False,,False,,
310,8,n,1,273,38,False,,1,,False,,False,,
57,9,n,1,50,8,False,,1,,False,,False,,
78,9,n,1,69,10,False,,1,,False,,False,,
86,9,n,1,77,10,False,,1,,False,,False,,
121,9,n,1,107,15,False,,1,,False,,False,,
135,9,n,1,120,16,False,,1,,False,,False,,
148,9,n,1,132,17,False,,1,,False,,False,,
251,9,n,1,225,27,False,,1,,False,,False,,
21,10,n,1,18,4,False,,1,,False,,False,,
104,10,n,1,92,13,False,,1,,False,,False,,
215,10,n,1,193,23,False,,1,,False,,False,,
219,10,n,1,197,23,False,,1,,False,,False,,
235,10,n,1,212,24,False,,1,,False,,False,,
236,10,n,1,213,24,False,,1,,False,,False,,
283,10,n,1,248,36,False,,1,,False,,False,,
70,11,n,1,61,10,False,,1,,False,,False,,
84,11,n,1,75,10,False,,1,,False,,False,,
141,11,n,1,126,16,False,,1,,False,,False,,
161,11,n,1,145,17,False,,1,,False,,False,,
222,11,n,1,200,23,False,,1,,False,,False,,
245,11,n,1,221,25,False,,1,,False,,False,,
298,11,n,1,263,36,False,,1,,False,,False,,
35,12,n,1,31,5,False,,1,,False,,False,,
74,12,n,1,65,10,False,,1,,False,,False,,
114,12,n,1,101,14,False,,1,,False,,False,,
142,12,n,1,127,16,False,,1,,False,,False,,
218,12,n,1,196,23,False,,1,,False,,False,,
246,12,n,1,222,25,False,,1,,False,,False,,
308,12,n,1,271,38,False,,1,,False,,False,,
9,13,s,1,9,1,1,,False,,False,,False,,
43,13,s,1,36,8,1,,False,,False,,False,,
44,13,s,1,37,8,1,,False,,False,,False,,
109,13,s,1,97,13,1,,False,,False,,False,,
180,13,s,1,163,18,1,,False,,False,,False,,
277,13,s,1,243,35,1,,False,,False,,False,,
280,13,s,1,245,36,1,,False,,False,,False,,
28,14,s,1,24,5,1,,False,,False,,False,,
95,14,n,False,84,12,False,,False,,False,,1,,
136,14,s,1,121,16,1,,False,,False,,False,,
255,14,s,1,227,29,1,,False,,False,,False,,
262,14,s,1,233,30,1,,False,,False,,False,,
302,14,s,1,265,38,1,,False,,False,,False,,
319,14,s,1,282,38,1,,False,,False,,False,,
52,15,s,1,45,8,1,,False,,False,,False,,
62,15,s,1,55,8,1,,False,,False,,False,,
77,15,s,1,68,10,1,,False,,False,,False,,
195,15,s,1,174,22,1,,False,,False,,False,,
224,15,s,1,202,23,1,,False,,False,,False,,
259,15,s,1,231,29,1,,False,,False,,False,,
311,15,s,1,274,38,1,,False,,False,,False,,
68,16,s,1,60,9,1,,False,,False,,False,,
73,16,s,1,64,10,1,,False,,False,,False,,
160,16,s,1,144,17,1,,False,,False,,False,,
167,16,s,1,150,18,1,,False,,False,,False,,
254,16,s,1,226,29,1,,False,,False,,False,,
264,16,s,1,234,31,1,,False,,False,,False,,
268,16,s,1,236,33,1,,False,,False,,False,,
30,17,s,1,26,5,1,,False,,False,,False,,
71,17,s,1,62,10,1,,False,,False,,False,,
186,17,s,1,167,20,1,,False,,False,,False,,
209,17,s,1,187,23,1,,False,,False,,False,,
220,17,s,1,198,23,1,,False,,False,,False,,
237,17,s,1,214,24,1,,False,,False,,False,,
241,17,n,False,217,25,False,,False,,False,,1,,
91,18,s,1,81,11,1,,False,,False,,False,,
112,18,n,False,99,14,False,,False,,False,,1,,
120,18,s,1,106,15,1,,False,,False,,False,,
124,18,s,1,110,15,1,,False,,False,,False,,
271,18,s,1,239,33,1,,False,,False,,False,,
286,18,s,1,251,36,1,,False,,False,,False,,
327,18,s,1,290,38,1,,False,,False,,False,,
24,19,n,False,20,5,False,,False,,False,,1,,
46,19,s,1,39,8,1,,False,,False,,False,,
103,19,s,1,91,13,1,,False,,False,,False,,
119,19,s,1,105,15,1,,False,,False,,False,,
225,19,s,1,203,23,1,,False,,False,,False,,
279,19,s,1,244,36,1,,False,,False,,False,,
289,19,s,1,254,36,1,,False,,False,,False,,
45,20,s,1,38,8,1,,False,,False,,False,,
76,20,s,1,67,10,1,,False,,False,,False,,
100,20,s,1,88,13,1,,False,,False,,False,,
110,20,s,1,98,13,1,,False,,False,,False,,
179,20,s,1,162,18,1,,False,,False,,False,,
191,20,n,False,170,22,False,,False,,False,,1,,
234,20,s,1,211,24,1,,False,,False,,False,,
32,21,s,1,28,5,1,,False,,False,,False,,
92,21,s,1,82,11,1,,False,,False,,False,,
187,21,s,1,168,20,1,,False,,False,,False,,
242,21,s,1,218,25,1,,False,,False,,False,,
248,21,n,False,223,26,False,,False,,False,,1,,
293,21,s,1,258,36,1,,False,,False,,False,,
296,21,s,1,261,36,1,,False,,False,,False,,
23,22,s,1,20,4,1,,False,,False,,False,,
47,22,s,1,40,8,1,,False,,False,,False,,
122,22,s,1,108,15,1,,False,,False,,False,,
149,22,s,1,133,17,1,,False,,False,,False,,
164,22,s,1,147,18,1,,False,,False,,False,,
229,22,s,1,207,23,1,,False,,False,,False,,
335,22,s,1,297,39,1,,False,,False,,False,,
6,23,s,1,6,1,1,,False,,False,,False,,
25,23,s,1,21,5,1,,False,,False,,False,,
111,23,s,1,99,13,1,,False,,False,,False,,
116,23,s,1,103,14,1,,False,,False,,False,,
204,23,s,1,183,22,1,,False,,False,,False,,
240,23,s,1,217,24,1,,False,,False,,False,,
303,23,s,1,266,38,1,,False,,False,,False,,
1,24,s,1,2,0,1,,False,,False,,False,,
38,24,n,False,33,6,False,,False,,False,,1,,
83,24,s,1,74,10,1,,False,,False,,False,,
87,24,s,1,78,10,1,,False,,False,,False,,
144,24,n,False,128,17,False,,False,,False,,1,,
192,24,s,1,171,22,1,,False,,False,,False,,
231,24,s,1,209,23,1,,False,,False,,False,,
64,25,s,1,57,8,1,,False,,False,,False,,
97,25,s,1,86,12,1,,False,,False,,False,,
125,25,s,1,111,15,1,,False,,False,,False,,
130,25,s,1,115,16,1,,False,,False,,False,,
134,25,s,1,119,16,1,,False,,False,,False,,
137,25,s,1,122,16,1,,False,,False,,False,,
233,25,s,1,210,24,1,,False,,False,,False,,
36,26,s,1,32,5,1,,False,,False,,False,,
98,26,n,False,86,13,False,,False,,False,,1,,
131,26,s,1,116,16,1,,False,,False,,False,,
152,26,s,1,136,17,1,,False,,False,,False,,
156,26,s,1,140,17,1,,False,,False,,False,,
206,26,s,1,184,23,1,,False,,False,,False,,
263,26,n,False,233,31,False,,False,,False,,1,,
16,27,s,1,14,3,1,,False,,False,,False,,
50,27,s,1,43,8,1,,False,,False,,False,,
154,27,s,1,138,17,1,,False,,False,,False,,
159,27,s,1,143,17,1,,False,,False,,False,,
181,27,s,1,164,18,1,,False,,False,,False,,
202,27,s,1,181,22,1,,False,,False,,False,,
216,27,s,1,194,23,1,,False,,False,,False,,
63,28,s,1,56,8,1,,False,,False,,False,,
106,28,s,1,94,13,1,,False,,False,,False,,
139,28,s,1,124,16,1,,False,,False,,False,,
172,28,s,1,155,18,1,,False,,False,,False,,
188,28,s,1,169,20,1,,False,,False,,False,,
221,28,s,1,199,23,1,,False,,False,,False,,
281,28,s,1,246,36,1,,False,,False,,False,,
40,29,s,1,34,7,1,,False,,False,,False,,
194,29,s,1,173,22,1,,False,,False,,False,,
249,29,s,1,224,26,1,,False,,False,,False,,
269,29,s,1,237,33,1,,False,,False,,False,,
290,29,s,1,255,36,1,,False,,False,,False,,
316,29,s,1,279,38,1,,False,,False,,False,,
323,29,s,1,286,38,1,,False,,False,,False,,
29,30,s,1,25,5,1,,False,,False,,False,,
58,30,s,1,51,8,1,,False,,False,,False,,
67,30,s,1,59,9,1,,False,,False,,False,,
96,30,s,1,85,12,1,,False,,False,,False,,
147,30,s,1,131,17,1,,False,,False,,False,,
153,30,s,1,137,17,1,,False,,False,,False,,
288,30,s,1,253,36,1,,False,,False,,False,,
41,31,s,1,35,7,1,,False,,False,,False,,
54,31,s,1,47,8,1,,False,,False,,False,,
56,31,s,1,49,8,1,,False,,False,,False,,
133,31,s,1,118,16,1,,False,,False,,False,,
190,31,s,1,170,21,1,,False,,False,,False,,
227,31,s,1,205,23,1,,False,,False,,False,,
325,31,s,1,288,38,1,,False,,False,,False,,
53,32,s,1,46,8,1,,False,,False,,False,,
79,32,s,1,70,10,1,,False,,False,,False,,
157,32,s,1,141,17,1,,False,,False,,False,,
284,32,s,1,249,36,1,,False,,False,,False,,
304,32,s,1,267,38,1,,False,,False,,False,,
322,32,s,1,285,38,1,,False,,False,,False,,
334,32,n,False,296,39,False,,False,,False,,1,,
117,33,s,1,104,14,1,,False,,False,,False,,
163,33,s,1,146,18,1,,False,,False,,False,,
171,33,s,1,154,18,1,,False,,False,,False,,
232,33,n,False,209,24,False,,False,,False,,1,,
243,33,s,1,219,25,1,,False,,False,,False,,
253,33,n,False,225,29,False,,False,,False,,1,,
295,33,s,1,260,36,1,,False,,False,,False,,
39,34,n,False,33,7,False,,False,,False,,1,,
85,34,s,1,76,10,1,,False,,False,,False,,
105,34,s,1,93,13,1,,False,,False,,False,,
145,34,s,1,129,17,1,,False,,False,,False,,
182,34,s,1,165,18,1,,False,,False,,False,,
238,34,s,1,215,24,1,,False,,False,,False,,
328,34,s,1,291,38,1,,False,,False,,False,,
175,35,s,1,158,18,1,,False,,False,,False,,
197,35,s,1,176,22,1,,False,,False,,False,,
199,35,s,1,178,22,1,,False,,False,,False,,
258,35,s,1,230,29,1,,False,,False,,False,,
273,35,n,False,240,34,False,,False,,False,,1,,
312,35,s,1,275,38,1,,False,,False,,False,,
331,35,s,1,294,38,1,,False,,False,,False,,
11,36,n,False,10,2,False,,False,,False,,1,,
127,36,n,False,112,16,False,,False,,False,,1,,
183,36,n,False,165,19,False,,False,,False,,1,,
189,36,n,False,169,21,False,,False,,False,,1,,
265,36,n,False,234,32,False,,False,,False,,1,,
275,36,n,False,241,35,False,,False,,False,,1,,
300,36,n,False,263,38,False,,False,,False,,1,,
5,37,n,1,5,1,False,,1,,False,,False,,
15,37,n,1,13,3,False,,1,,False,,False,,
60,37,n,1,53,8,False,,1,,False,,False,,
108,37,n,1,96,13,False,,1,,False,,False,,
276,37,n,1,242,35,False,,1,,False,,False,,
305,37,n,1,268,38,False,,1,,False,,False,,
329,37,n,1,292,38,False,,1,,False,,False,,
10,38,n,1,10,1,False,,1,,False,,False,,
31,38,n,1,27,5,False,,1,,False,,False,,
42,38,s,False,35,8,False,,False,,1,,False,,
69,38,s,False,60,10,False,,False,,1,,False,,
151,38,n,1,135,17,False,,1,,False,,False,,
266,38,s,False,234,33,False,,False,,1,,False,,
278,38,s,False,243,36,False,,False,,1,,False,,
3,39,n,1,4,0,False,,1,,False,,False,,
14,39,n,1,12,3,False,,1,,False,,False,,
208,39,n,1,186,23,False,,1,,False,,False,,
226,39,n,1,204,23,False,,1,,False,,False,,
256,39,n,1,228,29,False,,1,,False,,False,,
274,39,n,1,241,34,False,,1,,False,,False,,
320,39,n,1,283,38,False,,1,,False,,False,,
4,40,s,False,4,1,False,,False,,1,,False,,
7,40,n,1,7,1,False,,1,,False,,False,,
26,40,n,1,22,5,False,,1,,False,,False,,
33,40,n,1,29,5,False,,1,,False,,False,,
118,40,s,False,104,15,False,,False,,1,,False,,
162,40,s,False,145,18,False,,False,,1,,False,,
299,40,s,False,263,37,False,,False,,1,,False,,
12,41,s,False,10,3,False,,False,,1,,False,,
18,41,n,1,16,3,False,,1,,False,,False,,
93,41,n,1,83,11,False,,1,,False,,False,,
102,41,n,1,90,13,False,,1,,False,,False,,
132,41,n,1,117,16,False,,1,,False,,False,,
307,41,n,1,270,38,False,,1,,False,,False,,
333,41,n,1,296,38,False,,1,,False,,False,,
17,42,n,1,15,3,False,,1,,False,,False,,
203,42,n,1,182,22,False,,1,,False,,False,,
205,42,s,False,183,23,False,,False,,1,,False,,
250,42,s,False,224,27,False,,False,,1,,False,,
252,42,s,False,225,28,False,,False,,1,,False,,
260,42,s,False,231,30,False,,False,,1,,False,,
315,42,n,1,278,38,False,,1,,False,,False,,
