Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
78,7,n,1,73,6,False,151,1,83,False,1,False,17,
163,7,n,1,155,9,False,,1,,False,,False,,
164,7,n,1,156,9,False,,1,,False,,False,,
182,7,n,1,173,10,False,,1,,False,,False,,
206,7,n,1,197,10,False,,1,,False,,False,,
225,7,n,1,215,11,False,,1,,False,,False,,
237,7,n,1,227,11,False,,1,,False,,False,,
46,8,n,1,44,3,False,,1,,False,,False,,
61,8,n,1,58,4,False,,1,,False,,False,,
114,8,n,1,107,8,False,,1,,False,,False,,
119,8,n,1,112,8,False,,1,,False,,False,,
143,8,n,1,135,9,False,,1,,False,,False,,
297,8,n,1,283,15,False,,1,,False,,False,,
332,8,n,1,316,17,False,,1,,False,,False,,
122,9,n,1,115,8,False,,1,,False,,False,,
181,9,n,1,172,10,False,,1,,False,,False,,
196,9,n,1,187,10,False,,1,,False,,False,,
211,9,n,1,202,10,False,,1,,False,,False,,
228,9,n,1,218,11,False,,1,,False,,False,,
300,9,n,1,285,16,False,,1,,False,,False,,
328,9,n,1,312,17,False,,1,,False,,False,,
27,10,n,1,26,2,False,,1,,False,,False,,
45,10,n,1,43,3,False,,1,,False,,False,,
63,10,n,1,60,4,False,,1,,False,,False,,
142,10,n,1,134,9,False,,1,,False,,False,,
188,10,n,1,179,10,False,,1,,False,,False,,
199,10,n,1,190,10,False,,1,,False,,False,,
322,10,n,1,306,17,False,,1,,False,,False,,
12,11,n,1,12,1,False,,1,,False,,False,,
116,11,n,1,109,8,False,,1,,False,,False,,
140,11,n,1,132,9,False,,1,,False,,False,,
147,11,n,1,139,9,False,,1,,False,,False,,
150,11,n,1,142,9,False,,1,,False,,False,,
233,11,n,1,223,11,False,,1,,False,,False,,
270,11,n,1,258,13,False,,1,,False,,False,,
17,12,n,1,17,1,False,,1,,False,,False,,
123,12,n,1,116,8,False,,1,,False,,False,,
126,12,n,1,119,8,False,,1,,False,,False,,
134,12,n,1,126,9,False,,1,,False,,False,,
156,12,n,1,148,9,False,,1,,False,,False,,
195,12,n,1,186,10,False,,1,,False,,False,,
243,12,n,1,233,11,False,,1,,False,,False,,
51,13,s,1,49,3,1,,False,,False,,False,,
67,13,s,1,64,4,1,,False,,False,,False,,
189,13,s,1,180,10,1,,False,,False,,False,,
197,13,s,1,188,10,1,,False,,False,,False,,
248,13,s,1,238,11,1,,False,,False,,False,,
273,13,s,1,261,13,1,,False,,False,,False,,
287,13,s,1,274,14,1,,False,,False,,False,,
36,14,s,1,35,2,1,,False,,False,,False,,
72,14,s,1,69,4,1,,False,,False,,False,,
99,14,s,1,94,6,1,,False,,False,,False,,
179,14,s,1,170,10,1,,False,,False,,False,,
184,14,s,1,175,10,1,,False,,False,,False,,
200,14,s,1,191,10,1,,False,,False,,False,,
262,14,s,1,250,13,1,,False,,False,,False,,
40,15,s,1,39,2,1,,False,,False,,False,,
58,15,s,1,56,3,1,,False,,False,,False,,
96,15,s,1,91,6,1,,False,,False,,False,,
104,15,s,1,98,7,1,,False,,False,,False,,
141,15,s,1,133,9,1,,False,,False,,False,,
144,15,s,1,136,9,1,,False,,False,,False,,
321,15,s,1,305,17,1,,False,,False,,False,,
108,16,s,1,101,8,1,,False,,False,,False,,
112,16,s,1,105,8,1,,False,,False,,False,,
169,16,s,1,160,10,1,,False,,False,,False,,
170,16,s,1,161,10,1,,False,,False,,False,,
203,16,s,1,194,10,1,,False,,False,,False,,
234,16,s,1,224,11,1,,False,,False,,False,,
235,16,s,1,225,11,1,,False,,False,,False,,
59,17,n,False,56,4,False,,False,,False,,1,,
62,17,s,1,59,4,1,,False,,False,,False,,
76,17,n,False,72,5,False,,False,,False,,1,,
97,17,s,1,92,6,1,,False,,False,,False,,
166,17,n,False,157,10,False,,False,,False,,1,,
176,17,s,1,167,10,1,,False,,False,,False,,
277,17,n,False,264,14,False,,False,,False,,1,,
13,18,s,1,13,1,1,,False,,False,,False,,
90,18,s,1,85,6,1,,False,,False,,False,,
93,18,s,1,88,6,1,,False,,False,,False,,
106,18,s,1,100,7,1,,False,,False,,False,,
138,18,s,1,130,9,1,,False,,False,,False,,
214,18,n,False,204,11,False,,False,,False,,1,,
334,18,n,False,317,18,False,,False,,False,,1,,
24,19,s,1,24,1,1,,False,,False,,False,,
