Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,6,n,True,1,0,False,0,True,1,False,0,False,0,
1,23,s,True,2,0,True,1,False,1,False,0,False,0,
2,42,s,False,2,1,False,1,False,1,True,1,False,0,
3,16,s,True,3,1,True,2,False,1,False,1,False,0,
4,29,s,True,4,1,True,3,False,1,False,1,False,0,
5,5,n,True,5,1,False,3,True,2,False,1,False,0,
6,33,n,False,5,2,False,3,False,2,False,1,True,1,
7,32,s,True,6,2,True,4,False,2,False,1,False,1,
8,48,n,True,7,2,False,4,True,3,False,1,False,1,
9,9,n,True,8,2,False,4,True,4,False,1,False,1,
10,23,n,False,8,3,False,4,False,4,False,1,True,2,
11,3,n,True,9,3,False,4,True,5,False,1,False,2,
12,4,n,True,10,3,False,4,True,6,False,1,False,2,
13,28,n,False,10,4,False,4,False,6,False,1,True,3,
14,11,n,True,11,4,False,4,True,7,False,1,False,3,
15,18,n,False,11,5,False,4,False,7,False,1,True,4,
16,29,s,True,12,5,True,5,False,7,False,1,False,4,
17,38,s,False,12,6,False,5,False,7,True,2,False,4,
18,45,n,True,13,6,False,5,True,8,False,2,False,4,
19,38,s,False,13,7,False,5,False,8,True,3,False,4,
20,1,n,True,14,7,False,5,True,9,False,3,False,4,
21,4,n,True,15,7,False,5,True,10,False,3,False,4,
22,14,n,False,15,8,False,5,False,10,False,3,True,5,
23,7,n,True,16,8,False,5,True,11,False,3,False,5,
24,1,n,True,17,8,False,5,True,12,False,3,False,5,
25,44,n,True,18,8,False,5,True,13,False,3,False,5,
26,12,n,True,19,8,False,5,True,14,False,3,False,5,
27,45,n,True,20,8,False,5,True,15,False,3,False,5,
28,29,s,True,21,8,True,6,False,15,False,3,False,5,
29,14,s,True,22,8,True,7,False,15,False,3,False,5,
30,31,s,True,23,8,True,8,False,15,False,3,False,5,
31,34,s,True,24,8,True,9,False,15,False,3,False,5,
32,29,n,False,24,9,False,9,False,15,False,3,True,6,
33,9,n,True,25,9,False,9,True,16,False,3,False,6,
