Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,37,s,False,0,1,False,0,False,0,True,1,False,0,
1,13,n,False,0,2,False,0,False,0,False,1,True,1,
2,45,n,True,1,2,False,0,True,1,False,1,False,1,
3,36,n,False,1,3,False,0,False,1,False,1,True,2,
4,9,n,True,2,3,False,0,True,2,False,1,False,2,
5,47,n,True,3,3,False,0,True,3,False,1,False,2,
6,9,n,True,4,3,False,0,True,4,False,1,False,2,
7,28,n,False,4,4,False,0,False,4,False,1,True,3,
8,22,s,True,5,4,True,1,False,4,False,1,False,3,
9,31,s,True,6,4,True,2,False,4,False,1,False,3,
10,7,n,True,7,4,False,2,True,5,False,1,False,3,
11,5,n,True,8,4,False,2,True,6,False,1,False,3,
12,30,s,True,9,4,True,3,False,6,False,1,False,3,
13,6,n,True,10,4,False,3,True,7,False,1,False,3,
14,11,n,True,11,4,False,3,True,8,False,1,False,3,
15,31,s,True,12,4,True,4,False,8,False,1,False,3,
16,10,n,True,13,4,False,4,True,9,False,1,False,3,
17,37,n,True,14,4,False,4,True,10,False,1,False,3,
18,45,n,True,15,4,False,4,True,11,False,1,False,3,
19,6,n,True,16,4,False,4,True,12,False,1,False,3,
20,18,n,False,16,5,False,4,False,12,False,1,True,4,
21,12,n,True,17,5,False,4,True,13,False,1,False,4,
22,47,n,True,18,5,False,4,True,14,False,1,False,4,
23,18,n,False,18,6,False,4,False,14,False,1,True,5,
24,35,s,True,19,6,True,5,False,14,False,1,False,5,
25,7,n,True,20,6,False,5,True,15,False,1,False,5,
26,28,n,False,20,7,False,5,False,15,False,1,True,6,
27,46,n,True,21,7,False,5,True,16,False,1,False,6,
28,32,s,True,22,7,True,6,False,16,False,1,False,6,
29,23,s,True,23,7,True,7,False,16,False,1,False,6,
30,36,n,False,23,8,False,7,False,16,False,1,True,7,
31,38,n,True,24,8,False,7,True,17,False,1,False,7,
32,6,n,True,25,8,False,7,True,18,False,1,False,7,
33,40,n,True,26,8,False,7,True,19,False,1,False,7,
34,36,n,False,26,9,False,7,False,19,False,1,True,8,
35,44,n,True,27,9,False,7,True,20,False,1,False,8,
36,21,s,True,28,9,True,8,False,20,False,1,False,8,
37,44,n,True,29,9,False,8,True,21,False,1,False,8,
38,48,n,True,30,9,False,8,True,22,False,1,False,8,
39,48,n,True,31,9,False,8,True,23,False,1,False,8,
40,25,n,False,31,10,False,8,False,23,False,1,True,9,
41,16,s,True,32,10,True,9,False,23,False,1,False,9,
42,39,n,True,33,10,False,9,True,24,False,1,False,9,
43,17,s,True,34,10,True,10,False,24,False,1,False,9,
44,48,n,True,35,10,False,10,True,25,False,1,False,9,
45,48,n,True,36,10,False,10,True,26,False,1,False,9,
46,47,n,True,37,10,False,10,True,27,False,1,False,9,
47,30,s,True,38,10,True,11,False,27,False,1,False,9,
48,32,s,True,39,10,True,12,False,27,False,1,False,9,
49,12,n,True,40,10,False,12,True,28,False,1,False,9,
50,13,s,True,41,10,True,13,False,28,False,1,False,9,
51,4,n,True,42,10,False,13,True,29,False,1,False,9,
52,47,n,True,43,10,False,13,True,30,False,1,False,9,
53,17,n,False,43,11,False,13,False,30,False,1,True,10,
54,40,n,True,44,11,False,13,True,31,False,1,False,10,
55,3,n,True,45,11,False,13,True,32,False,1,False,10,
56,38,n,True,46,11,False,13,True,33,False,1,False,10,
57,44,n,True,47,11,False,13,True,34,False,1,False,10,
58,36,s,True,48,11,True,14,False,34,False,1,False,10,
59,7,n,True,49,11,False,14,True,35,False,1,False,10,
60,10,n,True,50,11,False,14,True,36,False,1,False,10,
61,18,s,True,51,11,True,15,False,36,False,1,False,10,
62,5,n,True,52,11,False,15,True,37,False,1,False,10,
63,40,n,True,53,11,False,15,True,38,False,1,False,10,
64,40,s,False,53,12,False,15,False,38,True,2,False,10,
65,11,n,True,54,12,False,15,True,39,False,2,False,10,
66,17,n,False,54,13,False,15,False,39,False,2,True,11,
67,12,n,True,55,13,False,15,True,40,False,2,False,11,
68,7,n,True,56,13,False,15,True,41,False,2,False,11,
69,29,s,True,57,13,True,16,False,41,False,2,False,11,
70,6,n,True,58,13,False,16,True,42,False,2,False,11,
71,37,n,True,59,13,False,16,True,43,False,2,False,11,
72,45,n,True,60,13,False,16,True,44,False,2,False,11,
73,32,s,True,61,13,True,17,False,44,False,2,False,11,
74,8,n,True,62,13,False,17,True,45,False,2,False,11,
75,9,n,True,63,13,False,17,True,46,False,2,False,11,
76,34,s,True,64,13,True,18,False,46,False,2,False,11,
77,46,n,True,65,13,False,18,True,47,False,2,False,11,
78,16,s,True,66,13,True,19,False,47,False,2,False,11,
79,31,s,True,67,13,True,20,False,47,False,2,False,11,
80,20,n,False,67,14,False,20,False,47,False,2,True,12,
