Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,47,n,True,1,0,False,0,True,1,False,0,False,0,
1,8,n,True,2,0,False,0,True,2,False,0,False,0,
2,31,s,True,3,0,True,1,False,2,False,0,False,0,
3,33,s,True,4,0,True,2,False,2,False,0,False,0,
4,23,s,True,5,0,True,3,False,2,False,0,False,0,
5,33,s,True,6,0,True,4,False,2,False,0,False,0,
6,45,n,True,7,0,False,4,True,3,False,0,False,0,
7,48,n,True,8,0,False,4,True,4,False,0,False,0,
8,43,n,True,9,0,False,4,True,5,False,0,False,0,
9,19,s,True,10,0,True,5,False,5,False,0,False,0,
10,30,s,True,11,0,True,6,False,5,False,0,False,0,
11,45,n,True,12,0,False,6,True,6,False,0,False,0,
12,48,n,True,13,0,False,6,True,7,False,0,False,0,
13,46,n,True,14,0,False,6,True,8,False,0,False,0,
14,20,s,True,15,0,True,7,False,8,False,0,False,0,
15,18,s,True,16,0,True,8,False,8,False,0,False,0,
16,12,n,True,17,0,False,8,True,9,False,0,False,0,
17,40,s,False,17,1,False,8,False,9,True,1,False,0,
18,46,n,True,18,1,False,8,True,10,False,1,False,0,
19,36,s,True,19,1,True,9,False,10,False,1,False,0,
20,21,n,False,19,2,False,9,False,10,False,1,True,1,
21,37,n,True,20,2,False,9,True,11,False,1,False,1,
22,25,s,True,21,2,True,10,False,11,False,1,False,1,
23,3,n,True,22,2,False,10,True,12,False,1,False,1,
24,22,s,True,23,2,True,11,False,12,False,1,False,1,
25,27,s,True,24,2,True,12,False,12,False,1,False,1,
26,42,s,False,24,3,False,12,False,12,True,2,False,1,
27,23,s,True,25,3,True,13,False,12,False,2,False,1,
28,15,s,True,26,3,True,14,False,12,False,2,False,1,
29,37,n,True,27,3,False,14,True,13,False,2,False,1,
30,28,s,True,28,3,True,15,False,13,False,2,False,1,
31,34,s,True,29,3,True,16,False,13,False,2,False,1,
32,18,s,True,30,3,True,17,False,13,False,2,False,1,
33,25,s,True,31,3,True,18,False,13,False,2,False,1,
34,32,s,True,32,3,True,19,False,13,False,2,False,1,
35,2,n,True,33,3,False,19,True,14,False,2,False,1,
36,6,n,True,34,3,False,19,True,15,False,2,False,1,
37,42,n,True,35,3,False,19,True,16,False,2,False,1,
38,12,n,True,36,3,False,19,True,17,False,2,False,1,
39,22,s,True,37,3,True,20,False,17,False,2,False,1,
40,32,s,True,38,3,True,21,False,17,False,2,False,1,
41,13,s,True,39,3,True,22,False,17,False,2,False,1,
