Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,14,s,True,1,0,True,1,False,0,False,0,False,0,
1,2,n,True,2,0,False,1,True,1,False,0,False,0,
2,17,s,True,3,0,True,2,False,1,False,0,False,0,
3,47,n,True,4,0,False,2,True,2,False,0,False,0,
4,23,s,True,5,0,True,3,False,2,False,0,False,0,
5,19,s,True,6,0,True,4,False,2,False,0,False,0,
6,15,s,True,7,0,True,5,False,2,False,0,False,0,
7,8,n,True,8,0,False,5,True,3,False,0,False,0,
8,27,s,True,9,0,True,6,False,3,False,0,False,0,
9,29,s,True,10,0,True,7,False,3,False,0,False,0,
10,43,n,True,11,0,False,7,True,4,False,0,False,0,
11,22,s,True,12,0,True,8,False,4,False,0,False,0,
12,38,n,True,13,0,False,8,True,5,False,0,False,0,
13,12,n,True,14,0,False,8,True,6,False,0,False,0,
14,21,s,True,15,0,True,9,False,6,False,0,False,0,
15,28,s,True,16,0,True,10,False,6,False,0,False,0,
16,31,s,True,17,0,True,11,False,6,False,0,False,0,
17,19,s,True,18,0,True,12,False,6,False,0,False,0,
18,24,s,True,19,0,True,13,False,6,False,0,False,0,
19,33,s,True,20,0,True,14,False,6,False,0,False,0,
20,27,s,True,21,0,True,15,False,6,False,0,False,0,
21,18,s,True,22,0,True,16,False,6,False,0,False,0,
22,12,n,True,23,0,False,16,True,7,False,0,False,0,
23,35,s,True,24,0,True,17,False,7,False,0,False,0,
24,48,n,True,25,0,False,17,True,8,False,0,False,0,
25,41,n,True,26,0,False,17,True,9,False,0,False,0,
26,47,n,True,27,0,False,17,True,10,False,0,False,0,
27,45,n,True,28,0,False,17,True,11,False,0,False,0,
28,25,s,True,29,0,True,18,False,11,False,0,False,0,
29,38,n,True,30,0,False,18,True,12,False,0,False,0,
30,36,n,False,30,1,False,18,False,12,False,0,True,1,
31,7,n,True,31,1,False,18,True,13,False,0,False,1,
32,11,n,True,32,1,False,18,True,14,False,0,False,1,
33,27,s,True,33,1,True,19,False,14,False,0,False,1,
34,38,n,True,34,1,False,19,True,15,False,0,False,1,
35,16,s,True,35,1,True,20,False,15,False,0,False,1,
36,31,s,True,36,1,True,21,False,15,False,0,False,1,
37,10,n,True,37,1,False,21,True,16,False,0,False,1,
38,29,s,True,38,1,True,22,False,16,False,0,False,1,
39,41,n,True,39,1,False,22,True,17,False,0,False,1,
40,12,n,True,40,1,False,22,True,18,False,0,False,1,
41,7,n,True,41,1,False,22,True,19,False,0,False,1,
42,26,s,True,42,1,True,23,False,19,False,0,False,1,
43,13,s,True,43,1,True,24,False,19,False,0,False,1,
44,46,n,True,44,1,False,24,True,20,False,0,False,1,
45,26,s,True,45,1,True,25,False,20,False,0,False,1,
46,33,n,False,45,2,False,25,False,20,False,0,True,2,
47,27,s,True,46,2,True,26,False,20,False,0,False,2,
