Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
31,7,n,1,31,1,False,158,1,84,False,0,False,10,
41,7,n,1,41,1,False,,1,,False,,False,,
56,7,n,1,54,3,False,,1,,False,,False,,
250,7,n,1,244,7,False,,1,,False,,False,,
259,7,n,1,253,7,False,,1,,False,,False,,
267,7,n,1,261,7,False,,1,,False,,False,,
298,7,n,1,290,9,False,,1,,False,,False,,
7,8,n,1,8,0,False,,1,,False,,False,,
98,8,n,1,96,3,False,,1,,False,,False,,
159,8,n,1,154,6,False,,1,,False,,False,,
185,8,n,1,179,7,False,,1,,False,,False,,
232,8,n,1,226,7,False,,1,,False,,False,,
271,8,n,1,265,7,False,,1,,False,,False,,
286,8,n,1,279,8,False,,1,,False,,False,,
70,9,n,1,68,3,False,,1,,False,,False,,
200,9,n,1,194,7,False,,1,,False,,False,,
208,9,n,1,202,7,False,,1,,False,,False,,
240,9,n,1,234,7,False,,1,,False,,False,,
241,9,n,1,235,7,False,,1,,False,,False,,
279,9,n,1,272,8,False,,1,,False,,False,,
287,9,n,1,280,8,False,,1,,False,,False,,
37,10,n,1,37,1,False,,1,,False,,False,,
118,10,n,1,116,3,False,,1,,False,,False,,
128,10,n,1,125,4,False,,1,,False,,False,,
132,10,n,1,129,4,False,,1,,False,,False,,
170,10,n,1,164,7,False,,1,,False,,False,,
313,10,n,1,304,10,False,,1,,False,,False,,
320,10,n,1,311,10,False,,1,,False,,False,,
32,11,n,1,32,1,False,,1,,False,,False,,
78,11,n,1,76,3,False,,1,,False,,False,,
130,11,n,1,127,4,False,,1,,False,,False,,
135,11,n,1,131,5,False,,1,,False,,False,,
220,11,n,1,214,7,False,,1,,False,,False,,
308,11,n,1,300,9,False,,1,,False,,False,,
325,11,n,1,316,10,False,,1,,False,,False,,
13,12,n,1,14,0,False,,1,,False,,False,,
22,12,n,1,23,0,False,,1,,False,,False,,
40,12,n,1,40,1,False,,1,,False,,False,,
63,12,n,1,61,3,False,,1,,False,,False,,
