Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
160,7,n,1,154,7,False,159,1,80,False,4,False,9,
169,7,n,1,163,7,False,,1,,False,,False,,
216,7,n,1,210,7,False,,1,,False,,False,,
224,7,n,1,217,8,False,,1,,False,,False,,
226,7,n,1,219,8,False,,1,,False,,False,,
233,7,n,1,226,8,False,,1,,False,,False,,
299,7,n,1,289,11,False,,1,,False,,False,,
2,8,n,1,2,1,False,,1,,False,,False,,
82,8,n,1,77,6,False,,1,,False,,False,,
214,8,n,1,208,7,False,,1,,False,,False,,
237,8,n,1,230,8,False,,1,,False,,False,,
264,8,n,1,255,10,False,,1,,False,,False,,
266,8,n,1,257,10,False,,1,,False,,False,,
329,8,n,1,317,13,False,,1,,False,,False,,
19,9,n,1,19,1,False,,1,,False,,False,,
45,9,n,1,45,1,False,,1,,False,,False,,
48,9,n,1,48,1,False,,1,,False,,False,,
56,9,n,1,54,3,False,,1,,False,,False,,
200,9,n,1,194,7,False,,1,,False,,False,,
245,9,n,1,238,8,False,,1,,False,,False,,
285,9,n,1,275,11,False,,1,,False,,False,,
24,10,n,1,24,1,False,,1,,False,,False,,
31,10,n,1,31,1,False,,1,,False,,False,,
52,10,n,1,52,1,False,,1,,False,,False,,
81,10,n,1,76,6,False,,1,,False,,False,,
102,10,n,1,96,7,False,,1,,False,,False,,
147,10,n,1,141,7,False,,1,,False,,False,,
244,10,n,1,237,8,False,,1,,False,,False,,
71,11,n,1,68,4,False,,1,,False,,False,,
87,11,n,1,82,6,False,,1,,False,,False,,
144,11,n,1,138,7,False,,1,,False,,False,,
227,11,n,1,220,8,False,,1,,False,,False,,
243,11,n,1,236,8,False,,1,,False,,False,,
253,11,n,1,245,9,False,,1,,False,,False,,
291,11,n,1,281,11,False,,1,,False,,False,,
12,12,n,1,12,1,False,,1,,False,,False,,
21,12,n,1,21,1,False,,1,,False,,False,,
41,12,n,1,41,1,False,,1,,False,,False,,
86,12,n,1,81,6,False,,1,,False,,False,,
131,12,n,1,125,7,False,,1,,False,,False,,
257,12,n,1,248,10,False,,1,,False,,False,,
265,12,n,1,256,10,False,,1,,False,,False,,
145,13,s,1,139,7,1,,False,,False,,False,,
203,13,s,1,197,7,1,,False,,False,,False,,
215,13,s,1,209,7,1,,False,,False,,False,,
228,13,s,1,221,8,1,,False,,False,,False,,
236,13,s,1,229,8,1,,False,,False,,False,,
298,13,s,1,288,11,1,,False,,False,,False,,
323,13,s,1,311,13,1,,False,,False,,False,,
17,14,s,1,17,1,1,,False,,False,,False,,
38,14,s,1,38,1,1,,False,,False,,False,,
58,14,s,1,56,3,1,,False,,False,,False,,
143,14,s,1,137,7,1,,False,,False,,False,,
235,14,s,1,228,8,1,,False,,False,,False,,
251,14,s,1,243,9,1,,False,,False,,False,,
290,14,s,1,280,11,1,,False,,False,,False,,
15,15,s,1,15,1,1,,False,,False,,False,,
23,15,s,1,23,1,1,,False,,False,,False,,
36,15,s,1,36,1,1,,False,,False,,False,,
53,15,n,False,52,2,False,,False,,False,,1,,
121,15,s,1,115,7,1,,False,,False,,False,,
168,15,s,1,162,7,1,,False,,False,,False,,
254,15,s,1,246,9,1,,False,,False,,False,,
27,16,s,1,27,1,1,,False,,False,,False,,
54,16,s,1,53,2,1,,False,,False,,False,,
62,16,s,1,60,3,1,,False,,False,,False,,
118,16,s,1,112,7,1,,False,,False,,False,,
137,16,s,1,131,7,1,,False,,False,,False,,
158,16,s,1,152,7,1,,False,,False,,False,,
239,16,s,1,232,8,1,,False,,False,,False,,
37,17,s,1,37,1,1,,False,,False,,False,,
76,17,n,False,72,5,False,,False,,False,,1,,
91,17,s,1,85,7,1,,False,,False,,False,,
138,17,s,1,132,7,1,,False,,False,,False,,
170,17,s,1,164,7,1,,False,,False,,False,,
283,17,s,1,273,11,1,,False,,False,,False,,
296,17,s,1,286,11,1,,False,,False,,False,,
90,18,n,False,84,7,False,,False,,False,,1,,
98,18,s,1,92,7,1,,False,,False,,False,,
193,18,s,1,187,7,1,,False,,False,,False,,
256,18,n,False,247,10,False,,False,,False,,1,,
263,18,s,1,254,10,1,,False,,False,,False,,
279,18,s,1,269,11,1,,False,,False,,False,,
293,18,s,1,283,11,1,,False,,False,,False,,
25,19,s,1,25,1,1,,False,,False,,False,,
39,19,s,1,39,1,1,,False,,False,,False,,
213,19,s,1,207,7,1,,False,,False,,False,,
258,19,s,1,249,10,1,,False,,False,,False,,
313,19,n,False,302,12,False,,False,,False,,1,,
322,19,s,1,310,13,1,,False,,False,,False,,
334,19,s,1,321,14,1,,False,,False,,False,,
75,20,s,1,72,4,1,,False,,False,,False,,
78,20,n,False,73,6,False,,False,,False,,1,,
92,20,s,1,86,7,1,,False,,False,,False,,
111,20,s,1,105,7,1,,False,,False,,False,,
198,20,s,1,192,7,1,,False,,False,,False,,
281,20,s,1,271,11,1,,False,,False,,False,,
282,20,s,1,272,11,1,,False,,False,,False,,
40,21,s,1,40,1,1,,False,,False,,False,,
69,21,s,1,66,4,1,,False,,False,,False,,
130,21,s,1,124,7,1,,False,,False,,False,,
133,21,s,1,127,7,1,,False,,False,,False,,
166,21,s,1,160,7,1,,False,,False,,False,,
191,21,s,1,185,7,1,,False,,False,,False,,
318,21,s,1,306,13,1,,False,,False,,False,,
14,22,s,1,14,1,1,,False,,False,,False,,
57,22,s,1,55,3,1,,False,,False,,False,,
64,22,s,1,62,3,1,,False,,False,,False,,
74,22,s,1,71,4,1,,False,,False,,False,,
156,22,s,1,150,7,1,,False,,False,,False,,
177,22,s,1,171,7,1,,False,,False,,False,,
210,22,s,1,204,7,1,,False,,False,,False,,
3,23,s,1,3,1,1,,False,,False,,False,,
29,23,s,1,29,1,1,,False,,False,,False,,
93,23,s,1,87,7,1,,False,,False,,False,,
126,23,s,1,120,7,1,,False,,False,,False,,
211,23,s,1,205,7,1,,False,,False,,False,,
269,23,s,1,259,11,1,,False,,False,,False,,
287,23,s,1,277,11,1,,False,,False,,False,,
55,24,n,False,53,3,False,,False,,False,,1,,
65,24,s,1,63,3,1,,False,,False,,False,,
119,24,s,1,113,7,1,,False,,False,,False,,
127,24,s,1,121,7,1,,False,,False,,False,,
139,24,s,1,133,7,1,,False,,False,,False,,
150,24,s,1,144,7,1,,False,,False,,False,,
286,24,s,1,276,11,1,,False,,False,,False,,
44,25,s,1,44,1,1,,False,,False,,False,,
110,25,s,1,104,7,1,,False,,False,,False,,
132,25,s,1,126,7,1,,False,,False,,False,,
174,25,s,1,168,7,1,,False,,False,,False,,
201,25,s,1,195,7,1,,False,,False,,False,,
304,25,s,1,294,11,1,,False,,False,,False,,
326,25,s,1,314,13,1,,False,,False,,False,,
9,26,s,1,9,1,1,,False,,False,,False,,
26,26,s,1,26,1,1,,False,,False,,False,,
100,26,s,1,94,7,1,,False,,False,,False,,
104,26,s,1,98,7,1,,False,,False,,False,,
165,26,s,1,159,7,1,,False,,False,,False,,
302,26,s,1,292,11,1,,False,,False,,False,,
328,26,s,1,316,13,1,,False,,False,,False,,
16,27,s,1,16,1,1,,False,,False,,False,,
79,27,s,1,74,6,1,,False,,False,,False,,
83,27,s,1,78,6,1,,False,,False,,False,,
180,27,s,1,174,7,1,,False,,False,,False,,
186,27,s,1,180,7,1,,False,,False,,False,,
189,27,s,1,183,7,1,,False,,False,,False,,
275,27,s,1,265,11,1,,False,,False,,False,,
18,28,s,1,18,1,1,,False,,False,,False,,
30,28,s,1,30,1,1,,False,,False,,False,,
108,28,s,1,102,7,1,,False,,False,,False,,
163,28,s,1,157,7,1,,False,,False,,False,,
