Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
30,7,n,1,30,1,False,153,1,78,False,6,False,15,
53,7,n,1,51,3,False,,1,,False,,False,,
83,7,s,False,78,6,False,,False,,1,,False,,
112,7,n,1,103,10,False,,1,,False,,False,,
166,7,n,1,154,13,False,,1,,False,,False,,
194,7,n,1,181,14,False,,1,,False,,False,,
252,7,n,1,236,17,False,,1,,False,,False,,
6,8,n,1,7,0,False,,1,,False,,False,,
67,8,n,1,65,3,False,,1,,False,,False,,
130,8,n,1,121,10,False,,1,,False,,False,,
132,8,n,1,123,10,False,,1,,False,,False,,
147,8,n,1,137,11,False,,1,,False,,False,,
183,8,n,1,171,13,False,,1,,False,,False,,
262,8,n,1,245,18,False,,1,,False,,False,,
97,9,s,False,90,8,False,,False,,1,,False,,
161,9,n,1,149,13,False,,1,,False,,False,,
167,9,n,1,155,13,False,,1,,False,,False,,
189,9,n,1,176,14,False,,1,,False,,False,,
235,9,n,1,220,16,False,,1,,False,,False,,
292,9,s,False,274,19,False,,False,,1,,False,,
326,9,n,1,306,21,False,,1,,False,,False,,
14,10,n,1,14,1,False,,1,,False,,False,,
34,10,n,1,33,2,False,,1,,False,,False,,
46,10,n,1,44,3,False,,1,,False,,False,,
54,10,n,1,52,3,False,,1,,False,,False,,
104,10,n,1,96,9,False,,1,,False,,False,,
149,10,n,1,139,11,False,,1,,False,,False,,
203,10,n,1,189,15,False,,1,,False,,False,,
23,11,n,1,23,1,False,,1,,False,,False,,
51,11,n,1,49,3,False,,1,,False,,False,,
99,11,s,False,91,9,False,,False,,1,,False,,
129,11,n,1,120,10,False,,1,,False,,False,,
293,11,n,1,275,19,False,,1,,False,,False,,
321,11,n,1,301,21,False,,1,,False,,False,,
324,11,n,1,304,21,False,,1,,False,,False,,
20,12,n,1,20,1,False,,1,,False,,False,,
35,12,n,1,34,2,False,,1,,False,,False,,
39,12,n,1,38,2,False,,1,,False,,False,,
65,12,n,1,63,3,False,,1,,False,,False,,
100,12,n,1,92,9,False,,1,,False,,False,,
176,12,n,1,164,13,False,,1,,False,,False,,
257,12,n,1,241,17,False,,1,,False,,False,,
85,13,s,1,80,6,1,,False,,False,,False,,
111,13,s,1,102,10,1,,False,,False,,False,,
134,13,s,1,125,10,1,,False,,False,,False,,
155,13,s,1,143,13,1,,False,,False,,False,,
220,13,s,1,205,16,1,,False,,False,,False,,
279,13,s,1,262,18,1,,False,,False,,False,,
