Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,41,s,False,0,1,False,0,False,0,True,1,False,0,
1,4,n,True,1,1,False,0,True,1,False,1,False,0,
2,22,s,True,2,1,True,1,False,1,False,1,False,0,
3,23,s,True,3,1,True,2,False,1,False,1,False,0,
4,23,s,True,4,1,True,3,False,1,False,1,False,0,
5,37,n,True,5,1,False,3,True,2,False,1,False,0,
6,5,n,True,6,1,False,3,True,3,False,1,False,0,
7,40,s,False,6,2,False,3,False,3,True,2,False,0,
8,17,s,True,7,2,True,4,False,3,False,2,False,0,
9,44,n,True,8,2,False,4,True,4,False,2,False,0,
10,18,s,True,9,2,True,5,False,4,False,2,False,0,
11,19,s,True,10,2,True,6,False,4,False,2,False,0,
12,36,s,True,11,2,True,7,False,4,False,2,False,0,
13,16,n,False,11,3,False,7,False,4,False,2,True,1,
14,10,n,True,12,3,False,7,True,5,False,2,False,1,
15,37,n,True,13,3,False,7,True,6,False,2,False,1,
16,35,s,True,14,3,True,8,False,6,False,2,False,1,
17,14,s,True,15,3,True,9,False,6,False,2,False,1,
18,26,s,True,16,3,True,10,False,6,False,2,False,1,
19,16,s,True,17,3,True,11,False,6,False,2,False,1,
20,32,s,True,18,3,True,12,False,6,False,2,False,1,
21,19,s,True,19,3,True,13,False,6,False,2,False,1,
22,29,n,False,19,4,False,13,False,6,False,2,True,2,
23,14,s,True,20,4,True,14,False,6,False,2,False,2,
24,19,s,True,21,4,True,15,False,6,False,2,False,2,
25,45,n,True,22,4,False,15,True,7,False,2,False,2,
26,24,n,False,22,5,False,15,False,7,False,2,True,3,
27,37,n,True,23,5,False,15,True,8,False,2,False,3,
28,38,n,True,24,5,False,15,True,9,False,2,False,3,
29,24,s,True,25,5,True,16,False,9,False,2,False,3,
30,39,n,True,26,5,False,16,True,10,False,2,False,3,
31,4,n,True,27,5,False,16,True,11,False,2,False,3,
32,41,n,True,28,5,False,16,True,12,False,2,False,3,
33,45,n,True,29,5,False,16,True,13,False,2,False,3,
34,40,s,False,29,6,False,16,False,13,True,3,False,3,
35,2,n,True,30,6,False,16,True,14,False,3,False,3,
36,47,n,True,31,6,False,16,True,15,False,3,False,3,
37,4,n,True,32,6,False,16,True,16,False,3,False,3,
38,31,s,True,33,6,True,17,False,16,False,3,False,3,
39,11,n,True,34,6,False,17,True,17,False,3,False,3,
40,30,s,True,35,6,True,18,False,17,False,3,False,3,
41,18,s,True,36,6,True,19,False,17,False,3,False,3,
42,20,s,True,37,6,True,20,False,17,False,3,False,3,
43,27,s,True,38,6,True,21,False,17,False,3,False,3,
44,10,s,False,38,7,False,21,False,17,True,4,False,3,
45,27,n,False,38,8,False,21,False,17,False,4,True,4,
46,7,s,False,38,9,False,21,False,17,True,5,False,4,
47,3,n,True,39,9,False,21,True,18,False,5,False,4,
48,29,s,True,40,9,True,22,False,18,False,5,False,4,
49,23,s,True,41,9,True,23,False,18,False,5,False,4,
50,22,s,True,42,9,True,24,False,18,False,5,False,4,
51,12,n,True,43,9,False,24,True,19,False,5,False,4,
52,32,s,True,44,9,True,25,False,19,False,5,False,4,
53,18,s,True,45,9,True,26,False,19,False,5,False,4,
54,27,s,True,46,9,True,27,False,19,False,5,False,4,
55,36,n,False,46,10,False,27,False,19,False,5,True,5,
56,34,s,True,47,10,True,28,False,19,False,5,False,5,
57,40,n,True,48,10,False,28,True,20,False,5,False,5,
58,9,n,True,49,10,False,28,True,21,False,5,False,5,
59,2,n,True,50,10,False,28,True,22,False,5,False,5,
60,37,s,False,50,11,False,28,False,22,True,6,False,5,
61,32,s,True,51,11,True,29,False,22,False,6,False,5,
62,28,s,True,52,11,True,30,False,22,False,6,False,5,
63,26,s,True,53,11,True,31,False,22,False,6,False,5,
64,37,n,True,54,11,False,31,True,23,False,6,False,5,
65,26,s,True,55,11,True,32,False,23,False,6,False,5,
66,32,s,True,56,11,True,33,False,23,False,6,False,5,
67,45,n,True,57,11,False,33,True,24,False,6,False,5,
68,19,s,True,58,11,True,34,False,24,False,6,False,5,
69,23,s,True,59,11,True,35,False,24,False,6,False,5,
70,9,n,True,60,11,False,35,True,25,False,6,False,5,
71,26,s,True,61,11,True,36,False,25,False,6,False,5,
72,31,n,False,61,12,False,36,False,25,False,6,True,6,
73,25,s,True,62,12,True,37,False,25,False,6,False,6,
74,38,n,True,63,12,False,37,True,26,False,6,False,6,
75,18,s,True,64,12,True,38,False,26,False,6,False,6,
76,25,s,True,65,12,True,39,False,26,False,6,False,6,
77,18,s,True,66,12,True,40,False,26,False,6,False,6,
78,23,s,True,67,12,True,41,False,26,False,6,False,6,
79,3,n,True,68,12,False,41,True,27,False,6,False,6,
80,13,s,True,69,12,True,42,False,27,False,6,False,6,
81,14,s,True,70,12,True,43,False,27,False,6,False,6,
82,42,n,True,71,12,False,43,True,28,False,6,False,6,
83,33,s,True,72,12,True,44,False,28,False,6,False,6,
84,12,n,True,73,12,False,44,True,29,False,6,False,6,
85,32,s,True,74,12,True,45,False,29,False,6,False,6,
86,21,s,True,75,12,True,46,False,29,False,6,False,6,
87,7,n,True,76,12,False,46,True,30,False,6,False,6,
88,43,n,True,77,12,False,46,True,31,False,6,False,6,
89,15,s,True,78,12,True,47,False,31,False,6,False,6,
90,46,n,True,79,12,False,47,True,32,False,6,False,6,
91,46,n,True,80,12,False,47,True,33,False,6,False,6,
92,45,n,True,81,12,False,47,True,34,False,6,False,6,
93,9,s,False,81,13,False,47,False,34,True,7,False,6,
94,5,n,True,82,13,False,47,True,35,False,7,False,6,
95,17,s,True,83,13,True,48,False,35,False,7,False,6,
96,20,s,True,84,13,True,49,False,35,False,7,False,6,
97,28,s,True,85,13,True,50,False,35,False,7,False,6,
98,38,n,True,86,13,False,50,True,36,False,7,False,6,
99,28,s,True,87,13,True,51,False,36,False,7,False,6,
100,6,n,True,88,13,False,51,True,37,False,7,False,6,
101,9,n,True,89,13,False,51,True,38,False,7,False,6,
102,10,s,False,89,14,False,51,False,38,True,8,False,6,
103,11,n,True,90,14,False,51,True,39,False,8,False,6,
104,35,s,True,91,14,True,52,False,39,False,8,False,6,
105,18,s,True,92,14,True,53,False,39,False,8,False,6,
106,13,s,True,93,14,True,54,False,39,False,8,False,6,
107,8,n,True,94,14,False,54,True,40,False,8,False,6,
108,47,n,True,95,14,False,54,True,41,False,8,False,6,
109,21,s,True,96,14,True,55,False,41,False,8,False,6,
110,3,n,True,97,14,False,55,True,42,False,8,False,6,
111,25,s,True,98,14,True,56,False,42,False,8,False,6,
112,11,n,True,99,14,False,56,True,43,False,8,False,6,
113,27,s,True,100,14,True,57,False,43,False,8,False,6,
114,22,s,True,101,14,True,58,False,43,False,8,False,6,
115,8,n,True,102,14,False,58,True,44,False,8,False,6,
116,10,n,True,103,14,False,58,True,45,False,8,False,6,
117,1,n,True,104,14,False,58,True,46,False,8,False,6,
118,39,n,True,105,14,False,58,True,47,False,8,False,6,
119,33,s,True,106,14,True,59,False,47,False,8,False,6,
120,17,n,False,106,15,False,59,False,47,False,8,True,7,
121,5,n,True,107,15,False,59,True,48,False,8,False,7,
122,8,s,False,107,16,False,59,False,48,True,9,False,7,
123,41,s,False,107,17,False,59,False,48,True,10,False,7,
124,1,s,False,107,18,False,59,False,48,True,11,False,7,
125,37,n,True,108,18,False,59,True,49,False,11,False,7,
126,48,s,False,108,19,False,59,False,49,True,12,False,7,
127,34,s,True,109,19,True,60,False,49,False,12,False,7,
128,4,n,True,110,19,False,60,True,50,False,12,False,7,
129,2,n,True,111,19,False,60,True,51,False,12,False,7,
130,31,s,True,112,19,True,61,False,51,False,12,False,7,
131,26,s,True,113,19,True,62,False,51,False,12,False,7,
132,28,n,False,113,20,False,62,False,51,False,12,True,8,
133,21,s,True,114,20,True,63,False,51,False,12,False,8,
134,20,s,True,115,20,True,64,False,51,False,12,False,8,
135,39,n,True,116,20,False,64,True,52,False,12,False,8,
136,3,n,True,117,20,False,64,True,53,False,12,False,8,
137,48,n,True,118,20,False,64,True,54,False,12,False,8,
138,14,s,True,119,20,True,65,False,54,False,12,False,8,
139,33,n,False,119,21,False,65,False,54,False,12,True,9,
140,38,n,True,120,21,False,65,True,55,False,12,False,9,
141,25,s,True,121,21,True,66,False,55,False,12,False,9,
142,12,s,False,121,22,False,66,False,55,True,13,False,9,
143,38,s,False,121,23,False,66,False,55,True,14,False,9,
144,8,n,True,122,23,False,66,True,56,False,14,False,9,
145,33,s,True,123,23,True,67,False,56,False,14,False,9,
146,42,s,False,123,24,False,67,False,56,True,15,False,9,
147,14,s,True,124,24,True,68,False,56,False,15,False,9,
