"","MA_110","MA_111","MA_112","MA_113"
"1",4,4,3,3
"2",2,3,4,2
"3",5,4,4,2
"4",3,3,3,2
"5",2,2,3,4
"6",4,4,4,2
"7",5,5,4,5
"8",3,3,4,2
"9",4,4,4,4
"10",5,5,3,6
"11",3,3,4,2
"12",5,4,4,3
"14",3,4,4,2
"15",3,3,3,2
"16",3,3,4,6
"17",3,3,2,2
"18",2,2,1,2
"19",4,4,4,3
"20",6,3,4,4
"21",3,3,4,2
"22",3,3,1,1
"23",5,5,4,6
"24",5,5,4,4
"25",5,3,3,3
"26",3,2,4,3
"27",3,2,4,2
"28",4,4,4,2
"29",4,4,3,5
"30",4,3,4,4
"31",3,3,3,2
"32",3,1,4,3
"33",2,3,4,2
"34",3,2,2,3
"35",3,2,3,2
"36",3,3,3,3
"37",4,2,4,4
"38",3,6,3,2
"39",2,2,4,3
"40",3,4,4,4
"41",3,3,1,1
"43",2,2,4,2
"44",3,2,4,4
"45",4,6,4,3
"46",5,3,4,3
"47",3,3,4,2
"48",2,2,3,3
"49",2,3,4,2
"50",4,3,4,4
"51",3,4,4,3
"52",3,3,4,3
"53",5,4,3,1
"54",2,2,3,2
"55",3,3,4,2
"56",1,3,4,2
"57",3,3,4,3
"58",6,6,4,6
"59",4,4,4,2
"60",3,2,4,4
"61",6,5,4,3
"62",3,3,3,3
"63",5,5,3,5
"64",4,4,3,4
"65",2,4,2,1
"66",2,2,2,2
"67",4,4,3,1
"68",3,3,3,6
"69",2,3,3,2
"70",2,4,3,2
"71",2,2,3,1
"72",3,4,4,4
"73",2,2,3,2
"74",2,2,4,2
"75",3,3,3,3
"76",3,5,3,4
"78",2,4,3,2
"79",4,3,3,3
"80",3,3,4,1
"81",2,4,1,6
"82",3,3,4,3
"83",4,3,3,2
"84",4,4,4,6
"85",4,4,4,3
"86",2,3,3,2
"87",2,2,4,2
"88",3,4,4,3
"89",3,4,4,4
"90",4,4,2,4
"91",4,5,3,2
"92",5,5,4,3
"93",4,4,4,3
"94",4,4,4,6
"95",3,4,4,2
"96",5,5,3,4
"97",1,2,4,2
"98",2,4,4,3
"100",5,5,4,6
"101",5,5,3,3
"102",3,4,3,3
"103",2,2,4,2
"104",2,6,4,6
"105",3,3,2,2
"106",3,2,3,1
"107",5,3,3,5
"108",2,2,2,2
"109",3,1,2,5
"110",2,2,1,1
"111",2,2,3,4
"112",2,4,3,4
"113",3,3,4,2
"114",5,5,4,6
"115",4,4,2,3
"116",4,4,3,6
"117",3,4,3,2
"118",3,3,3,2
"119",2,3,4,2
"120",3,4,2,2
"121",2,2,3,4
"122",2,4,4,2
"123",4,3,3,4
"124",4,5,4,2
"125",4,5,4,5
"126",5,5,4,4
"127",4,4,4,4
"128",3,3,4,3
"129",3,3,4,2
"130",2,3,4,3
"131",3,4,4,2
"132",3,4,4,2
"133",5,5,3,3
"134",3,3,2,3
"135",3,4,3,2
"136",5,5,4,3
"137",3,6,4,2
"138",4,4,1,1
"139",3,4,4,3
"140",3,3,4,2
"141",4,4,4,3
"142",3,3,2,2
"143",4,4,4,3
"144",2,3,4,4
"145",4,3,4,4
"146",3,5,4,2
"147",5,5,4,4
"148",6,6,4,6
"149",5,5,4,4
"150",5,4,4,3
"151",4,3,4,5
"152",2,2,2,2
"153",2,1,3,2
"154",2,2,2,1
"155",5,5,4,3
"156",5,4,3,3
"157",2,3,2,2
"158",5,5,3,2
"159",3,2,4,1
"160",3,5,2,1
"161",4,3,4,3
"162",4,3,4,3
"163",3,2,3,2
"164",3,2,4,2
"165",2,2,3,3
"166",4,5,4,3
"167",3,3,4,4
"168",4,3,4,4
"169",6,6,4,6
"170",5,5,4,5
"171",3,3,4,3
"172",4,2,3,2
"173",4,3,4,5
"174",2,3,2,5
"175",3,3,3,2
"176",3,3,4,1
"177",2,4,4,2
"178",2,2,2,2
"179",2,2,3,2
"180",3,3,4,2
"181",1,1,3,4
"182",5,4,4,4
"183",2,3,4,5
"184",3,3,2,2
"185",3,4,4,2
"186",2,1,3,2
"187",3,2,2,2
"189",3,3,3,4
"190",4,4,4,3
