"","items.a","items.b","items.g","items.u","means","F1"
"Y_1",0.474322385230304,2.32851068621997,0.332827729478965,1,0,1
"Y_2",0.814579004302546,0.783227770665038,0.344663899245146,1,0,1
"Y_3",0.978273613327609,-1.29757031743583,0.0174604041120679,1,0,1
"Y_4",1.17927839552107,-0.295246684346539,0.269030991280755,1,0,1
"Y_5",0.653286677621361,2.06341877510777,0.253726147010709,1,0,1
"Y_6",1.92227824190199,-0.625051877384387,0.196337052060033,1,0,1
"Y_7",1.38379364067816,0.858376229372134,0.37185381242061,1,0,1
"Y_8",0.886498993056316,1.00443748470467,0.207486247663636,1,0,1
"Y_9",1.43857413626149,1.63311860717369,0.159484231080317,1,0,1
"Y_10",1.79079027987655,1.49226731170664,0.285727708494014,1,0,1
"Y_11",2.11454641049695,1.47598763059238,0.381362142451742,1,0,1
"Y_12",1.63677410984412,1.95495437052756,0.356160323133936,1,0,1
"Y_13",0.704632725624166,-1.58620201467468,0.148314692531478,1,0,1
"Y_14",1.87083070581491,1.96798607328619,0.0669540058704149,1,0,1
"Y_15",1.24784070121132,0.606642212225012,0.0107540735193698,1,0,1
"Y_16",0.955928614612464,-0.438324178210549,0.0304153461267157,1,0,1
"Y_17",0.995914089340632,1.2888700545453,0.251198564498363,1,0,1
"Y_18",1.34133336265411,1.8511495305285,0.000769203881896533,1,0,1
"Y_19",0.836373118075361,0.610333939322579,0.120031035987651,1,0,1
"Y_20",0.522626674432495,1.67047317543223,0.0213562174967879,1,0,1
"Y_21",1.92866136406282,-0.884102763295651,0.257775166792966,1,0,1
"Y_22",1.22605989965564,-0.377118995058229,0.0574816407373883,1,0,1
"Y_23",0.821347217449498,1.80303094263245,0.141256172189332,1,0,1
"Y_24",0.52387169758822,2.40495863537848,0.0988960666307927,1,0,1
"Y_25",0.520922752662557,3.9541235966881,0.209255765297549,1,0,1
"Y_26",0.655976491645649,-0.940495038607042,0.265179309800682,1,0,1
"Y_27",0.793403353825844,1.04292389752691,0.352792291580394,1,0,1
"Y_28",0.933348370086418,0.40714391571398,0.0760064104561735,1,0,1
"Y_29",1.32206761548595,-0.596853503302489,0.0375259330996431,1,0,1
"Y_30",0.870370978210958,-0.253904199534818,0.218688538148113,1,0,1
"Y_31",0.803599250648924,1.29055411433601,0.340925927245611,1,0,1
"Y_32",0.559651725618148,-0.558402980782146,0.241839043498093,1,0,1
"Y_33",1.48491555128587,-0.407957368553468,0.294170718046995,1,0,1
"Y_34",1.43203758441596,-0.621189915985912,0.0591106543686546,1,0,1
"Y_35",0.825093361324641,-0.0849695232472836,0.299480375870845,1,0,1
"Y_36",1.29495575723161,1.86657514017062,0.10918160451431,1,0,1
"Y_37",1.78553514251241,1.76669985899306,0.282362465746965,1,0,1
"Y_38",0.677362404545525,1.32296647751907,0.177057352890108,1,0,1
"Y_39",1.53177967864916,1.31238317416083,0.267812041952639,1,0,1
"Y_40",0.792408516515401,0.454506423887628,0.0103548072191612,1,0,1
"Y_41",0.784872489749662,-0.019985821321954,0.0705396452511835,1,0,1
"Y_42",1.00107600115127,0.48927216873963,0.0405655391503992,1,0,1
"Y_43",0.698627180466724,1.71620285298148,0.276422489775008,1,0,1
"Y_44",1.37599264299863,2.14738333892956,0.418068634367708,1,0,1
"Y_45",1.49605376010285,-0.333731678752197,0.113361140599456,1,0,1
"Y_46",0.890672930816966,-0.968563773383509,0.167340972575895,1,0,1
"Y_47",0.871406529058712,1.81149073986723,0.295384446903404,1,0,1
"Y_48",0.528183049610668,-0.185019301275433,0.0275463687638953,1,0,1
"Y_49",2.15327698707322,2.63727282800289,0.231149446964619,1,0,1
"Y_50",1.0064955247059,-0.418484133185123,0.105480316169908,1,0,1
