Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,35,s,True,1,0,True,1,False,0,False,0,False,0,
1,6,s,False,1,1,False,1,False,0,True,1,False,0,
2,37,s,False,1,2,False,1,False,0,True,2,False,0,
3,34,s,True,2,2,True,2,False,0,False,2,False,0,
4,17,s,True,3,2,True,3,False,0,False,2,False,0,
5,32,s,True,4,2,True,4,False,0,False,2,False,0,
6,19,s,True,5,2,True,5,False,0,False,2,False,0,
7,33,s,True,6,2,True,6,False,0,False,2,False,0,
8,25,s,True,7,2,True,7,False,0,False,2,False,0,
9,11,s,False,7,3,False,7,False,0,True,3,False,0,
10,9,s,False,7,4,False,7,False,0,True,4,False,0,
11,13,s,True,8,4,True,8,False,0,False,4,False,0,
12,21,s,True,9,4,True,9,False,0,False,4,False,0,
13,20,s,True,10,4,True,10,False,0,False,4,False,0,
14,7,s,False,10,5,False,10,False,0,True,5,False,0,
15,18,s,True,11,5,True,11,False,0,False,5,False,0,
16,45,s,False,11,6,False,11,False,0,True,6,False,0,
17,22,s,True,12,6,True,12,False,0,False,6,False,0,
18,14,s,True,13,6,True,13,False,0,False,6,False,0,
19,28,s,True,14,6,True,14,False,0,False,6,False,0,
20,4,s,False,14,7,False,14,False,0,True,7,False,0,
21,2,s,False,14,8,False,14,False,0,True,8,False,0,
22,3,s,False,14,9,False,14,False,0,True,9,False,0,
23,43,s,False,14,10,False,14,False,0,True,10,False,0,
24,39,s,False,14,11,False,14,False,0,True,11,False,0,
25,38,s,False,14,12,False,14,False,0,True,12,False,0,
26,27,s,True,15,12,True,15,False,0,False,12,False,0,
27,24,s,True,16,12,True,16,False,0,False,12,False,0,
28,40,s,False,16,13,False,16,False,0,True,13,False,0,
29,1,s,False,16,14,False,16,False,0,True,14,False,0,
30,5,s,False,16,15,False,16,False,0,True,15,False,0,
31,36,s,True,17,15,True,17,False,0,False,15,False,0,
32,16,s,True,18,15,True,18,False,0,False,15,False,0,
33,30,s,True,19,15,True,19,False,0,False,15,False,0,
34,8,s,False,19,16,False,19,False,0,True,16,False,0,
35,31,s,True,20,16,True,20,False,0,False,16,False,0,
36,44,s,False,20,17,False,20,False,0,True,17,False,0,
37,23,s,True,21,17,True,21,False,0,False,17,False,0,
38,29,s,True,22,17,True,22,False,0,False,17,False,0,
39,26,s,True,23,17,True,23,False,0,False,17,False,0,
40,12,s,False,23,18,False,23,False,0,True,18,False,0,
41,46,s,False,23,19,False,23,False,0,True,19,False,0,
42,15,s,True,24,19,True,24,False,0,False,19,False,0,
43,48,s,False,24,20,False,24,False,0,True,20,False,0,
44,41,s,False,24,21,False,24,False,0,True,21,False,0,
45,10,s,False,24,22,False,24,False,0,True,22,False,0,
46,47,s,False,24,23,False,24,False,0,True,23,False,0,
47,42,s,False,24,24,False,24,False,0,True,24,False,0,
