Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,1,s,False,0,1,False,0,False,0,True,1,False,0,
1,2,s,False,0,2,False,0,False,0,True,2,False,0,
2,24,s,True,1,2,True,1,False,0,False,2,False,0,
3,10,s,False,1,3,False,1,False,0,True,3,False,0,
4,4,s,False,1,4,False,1,False,0,True,4,False,0,
5,43,s,False,1,5,False,1,False,0,True,5,False,0,
6,39,s,False,1,6,False,1,False,0,True,6,False,0,
7,18,s,True,2,6,True,2,False,0,False,6,False,0,
8,21,s,True,3,6,True,3,False,0,False,6,False,0,
9,31,s,True,4,6,True,4,False,0,False,6,False,0,
10,34,s,True,5,6,True,5,False,0,False,6,False,0,
11,32,s,True,6,6,True,6,False,0,False,6,False,0,
12,47,s,False,6,7,False,6,False,0,True,7,False,0,
13,23,s,True,7,7,True,7,False,0,False,7,False,0,
14,9,s,False,7,8,False,7,False,0,True,8,False,0,
15,17,s,True,8,8,True,8,False,0,False,8,False,0,
16,12,s,False,8,9,False,8,False,0,True,9,False,0,
17,45,s,False,8,10,False,8,False,0,True,10,False,0,
18,7,s,False,8,11,False,8,False,0,True,11,False,0,
19,20,s,True,9,11,True,9,False,0,False,11,False,0,
20,22,s,True,10,11,True,10,False,0,False,11,False,0,
21,30,s,True,11,11,True,11,False,0,False,11,False,0,
22,27,s,True,12,11,True,12,False,0,False,11,False,0,
23,15,s,True,13,11,True,13,False,0,False,11,False,0,
24,6,s,False,13,12,False,13,False,0,True,12,False,0,
25,19,s,True,14,12,True,14,False,0,False,12,False,0,
26,14,s,True,15,12,True,15,False,0,False,12,False,0,
27,33,s,True,16,12,True,16,False,0,False,12,False,0,
28,46,s,False,16,13,False,16,False,0,True,13,False,0,
29,16,s,True,17,13,True,17,False,0,False,13,False,0,
30,13,s,True,18,13,True,18,False,0,False,13,False,0,
31,36,s,True,19,13,True,19,False,0,False,13,False,0,
32,41,s,False,19,14,False,19,False,0,True,14,False,0,
33,5,s,False,19,15,False,19,False,0,True,15,False,0,
34,48,s,False,19,16,False,19,False,0,True,16,False,0,
35,42,s,False,19,17,False,19,False,0,True,17,False,0,
36,44,s,False,19,18,False,19,False,0,True,18,False,0,
37,3,s,False,19,19,False,19,False,0,True,19,False,0,
38,25,s,True,20,19,True,20,False,0,False,19,False,0,
39,28,s,True,21,19,True,21,False,0,False,19,False,0,
40,29,s,True,22,19,True,22,False,0,False,19,False,0,
41,35,s,True,23,19,True,23,False,0,False,19,False,0,
42,37,s,False,23,20,False,23,False,0,True,20,False,0,
43,8,s,False,23,21,False,23,False,0,True,21,False,0,
44,11,s,False,23,22,False,23,False,0,True,22,False,0,
45,26,s,True,24,22,True,24,False,0,False,22,False,0,
46,38,s,False,24,23,False,24,False,0,True,23,False,0,
47,40,s,False,24,24,False,24,False,0,True,24,False,0,
