Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,42,n,True,1,0,False,0,True,0,False,0,False,0,
1,1,n,True,2,0,False,0,True,0,False,0,False,0,
2,47,n,True,3,0,False,0,True,0,False,0,False,0,
3,3,n,True,4,0,False,0,True,0,False,0,False,0,
4,24,n,False,4,1,False,0,False,0,False,0,True,1,
5,34,n,False,4,2,False,0,False,0,False,0,True,2,
6,4,n,True,5,2,False,0,True,0,False,0,False,2,
7,23,n,False,5,3,False,0,False,0,False,0,True,3,
8,26,n,False,5,4,False,0,False,0,False,0,True,4,
9,10,n,True,6,4,False,0,True,0,False,0,False,4,
10,2,n,True,7,4,False,0,True,0,False,0,False,4,
11,38,n,True,8,4,False,0,True,0,False,0,False,4,
12,5,n,True,9,4,False,0,True,0,False,0,False,4,
13,29,n,False,9,5,False,0,False,0,False,0,True,5,
14,19,n,False,9,6,False,0,False,0,False,0,True,6,
15,8,n,True,10,6,False,0,True,0,False,0,False,6,
16,24,n,False,10,7,False,0,False,0,False,0,True,7,
17,17,n,False,10,8,False,0,False,0,False,0,True,8,
18,14,n,False,10,9,False,0,False,0,False,0,True,9,
19,10,n,True,11,9,False,0,True,0,False,0,False,9,
20,9,n,True,12,9,False,0,True,0,False,0,False,9,
21,22,n,False,12,10,False,0,False,0,False,0,True,10,
22,12,n,True,13,10,False,0,True,0,False,0,False,10,
23,37,n,True,14,10,False,0,True,0,False,0,False,10,
24,5,n,True,15,10,False,0,True,0,False,0,False,10,
25,40,n,True,16,10,False,0,True,0,False,0,False,10,
26,29,n,False,16,11,False,0,False,0,False,0,True,11,
27,39,n,True,17,11,False,0,True,0,False,0,False,11,
28,33,n,False,17,12,False,0,False,0,False,0,True,12,
29,16,n,False,17,13,False,0,False,0,False,0,True,13,
30,12,n,True,18,13,False,0,True,0,False,0,False,13,
31,42,n,True,19,13,False,0,True,0,False,0,False,13,
32,42,n,True,20,13,False,0,True,0,False,0,False,13,
33,23,n,False,20,14,False,0,False,0,False,0,True,14,
34,44,n,True,21,14,False,0,True,0,False,0,False,14,
35,43,n,True,22,14,False,0,True,0,False,0,False,14,
36,13,n,False,22,15,False,0,False,0,False,0,True,15,
37,13,n,False,22,16,False,0,False,0,False,0,True,16,
38,32,n,False,22,17,False,0,False,0,False,0,True,17,
39,7,n,True,23,17,False,0,True,0,False,0,False,17,
40,42,n,True,24,17,False,0,True,0,False,0,False,17,
41,19,n,False,24,18,False,0,False,0,False,0,True,18,
42,36,n,False,24,19,False,0,False,0,False,0,True,19,
43,37,n,True,25,19,False,0,True,0,False,0,False,19,
44,5,n,True,26,19,False,0,True,0,False,0,False,19,
45,3,n,True,27,19,False,0,True,0,False,0,False,19,
46,16,n,False,27,20,False,0,False,0,False,0,True,20,
47,3,n,True,28,20,False,0,True,0,False,0,False,20,
