Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,42,n,True,1,0,False,0,True,1,False,0,False,0,
1,10,n,True,2,0,False,0,True,2,False,0,False,0,
2,44,n,True,3,0,False,0,True,3,False,0,False,0,
3,21,s,True,4,0,True,1,False,3,False,0,False,0,
4,47,n,True,5,0,False,1,True,4,False,0,False,0,
5,25,s,True,6,0,True,2,False,4,False,0,False,0,
6,35,s,True,7,0,True,3,False,4,False,0,False,0,
7,37,n,True,8,0,False,3,True,5,False,0,False,0,
8,31,s,True,9,0,True,4,False,5,False,0,False,0,
9,36,s,True,10,0,True,5,False,5,False,0,False,0,
10,40,n,True,11,0,False,5,True,6,False,0,False,0,
11,29,s,True,12,0,True,6,False,6,False,0,False,0,
12,15,s,True,13,0,True,7,False,6,False,0,False,0,
13,19,s,True,14,0,True,8,False,6,False,0,False,0,
14,18,s,True,15,0,True,9,False,6,False,0,False,0,
15,8,n,True,16,0,False,9,True,7,False,0,False,0,
16,25,s,True,17,0,True,10,False,7,False,0,False,0,
17,39,n,True,18,0,False,10,True,8,False,0,False,0,
18,38,n,True,19,0,False,10,True,9,False,0,False,0,
19,1,n,True,20,0,False,10,True,10,False,0,False,0,
20,23,s,True,21,0,True,11,False,10,False,0,False,0,
21,38,n,True,22,0,False,11,True,11,False,0,False,0,
22,40,n,True,23,0,False,11,True,12,False,0,False,0,
23,18,s,True,24,0,True,12,False,12,False,0,False,0,
24,15,s,True,25,0,True,13,False,12,False,0,False,0,
25,37,n,True,26,0,False,13,True,13,False,0,False,0,
26,36,s,True,27,0,True,14,False,13,False,0,False,0,
27,24,s,True,28,0,True,15,False,13,False,0,False,0,
28,48,n,True,29,0,False,15,True,14,False,0,False,0,
29,6,n,True,30,0,False,15,True,15,False,0,False,0,
30,5,n,True,31,0,False,15,True,16,False,0,False,0,
31,19,s,True,32,0,True,16,False,16,False,0,False,0,
32,38,n,True,33,0,False,16,True,17,False,0,False,0,
33,29,s,True,34,0,True,17,False,17,False,0,False,0,
34,28,s,True,35,0,True,18,False,17,False,0,False,0,
35,10,n,True,36,0,False,18,True,18,False,0,False,0,
36,12,n,True,37,0,False,18,True,19,False,0,False,0,
37,26,s,True,38,0,True,19,False,19,False,0,False,0,
38,5,n,True,39,0,False,19,True,20,False,0,False,0,
39,26,s,True,40,0,True,20,False,20,False,0,False,0,
40,32,s,True,41,0,True,21,False,20,False,0,False,0,
41,48,n,True,42,0,False,21,True,21,False,0,False,0,
42,36,s,True,43,0,True,22,False,21,False,0,False,0,
43,9,n,True,44,0,False,22,True,22,False,0,False,0,
44,14,s,True,45,0,True,23,False,22,False,0,False,0,
45,39,n,True,46,0,False,23,True,23,False,0,False,0,
46,42,n,True,47,0,False,23,True,24,False,0,False,0,
47,42,n,True,48,0,False,23,True,25,False,0,False,0,
48,12,n,True,49,0,False,23,True,26,False,0,False,0,
49,43,n,True,50,0,False,23,True,27,False,0,False,0,
50,32,s,True,51,0,True,24,False,27,False,0,False,0,
51,48,n,True,52,0,False,24,True,28,False,0,False,0,
52,30,s,True,53,0,True,25,False,28,False,0,False,0,
53,13,n,False,53,1,False,25,False,28,False,0,True,1,
54,34,s,True,54,1,True,26,False,28,False,0,False,1,
55,40,n,True,55,1,False,26,True,29,False,0,False,1,
56,25,s,True,56,1,True,27,False,29,False,0,False,1,
57,2,n,True,57,1,False,27,True,30,False,0,False,1,
58,18,s,True,58,1,True,28,False,30,False,0,False,1,
59,44,n,True,59,1,False,28,True,31,False,0,False,1,
60,31,s,True,60,1,True,29,False,31,False,0,False,1,
61,33,s,True,61,1,True,30,False,31,False,0,False,1,
62,5,n,True,62,1,False,30,True,32,False,0,False,1,
63,18,s,True,63,1,True,31,False,32,False,0,False,1,
64,17,s,True,64,1,True,32,False,32,False,0,False,1,
65,2,n,True,65,1,False,32,True,33,False,0,False,1,
66,36,s,True,66,1,True,33,False,33,False,0,False,1,
67,37,s,False,66,2,False,33,False,33,True,1,False,1,
68,14,s,True,67,2,True,34,False,33,False,1,False,1,
69,21,s,True,68,2,True,35,False,33,False,1,False,1,
