Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
19,7,n,1,18,2,0,142,1,82,0,2,0,26,252
32,7,n,1,29,4,0,,1,,0,,0,,168
121,7,n,1,107,15,0,,1,,0,,0,,84
174,7,n,1,157,18,0,,1,,0,,0,,
228,7,n,1,207,22,0,,1,,0,,0,,
294,7,n,1,267,28,0,,1,,0,,0,,
297,7,n,1,270,28,0,,1,,0,,0,,
71,8,n,1,60,12,0,,1,,0,,0,,
91,8,n,1,79,13,0,,1,,0,,0,,
106,8,n,1,93,14,0,,1,,0,,0,,
132,8,n,1,118,15,0,,1,,0,,0,,
232,8,n,1,210,23,0,,1,,0,,0,,
279,8,n,1,253,27,0,,1,,0,,0,,
319,8,n,1,291,29,0,,1,,0,,0,,
86,9,n,1,75,12,0,,1,,0,,0,,
100,9,n,1,88,13,0,,1,,0,,0,,
122,9,n,1,108,15,0,,1,,0,,0,,
140,9,n,1,124,17,0,,1,,0,,0,,
199,9,n,1,180,20,0,,1,,0,,0,,
278,9,n,1,252,27,0,,1,,0,,0,,
304,9,n,1,277,28,0,,1,,0,,0,,
4,10,n,1,4,1,0,,1,,0,,0,,
43,10,n,1,36,8,0,,1,,0,,0,,
78,10,n,1,67,12,0,,1,,0,,0,,
142,10,n,1,125,18,0,,1,,0,,0,,
153,10,n,1,136,18,0,,1,,0,,0,,
186,10,s,0,167,20,0,,0,,1,,0,,
198,10,n,1,179,20,0,,1,,0,,0,,
5,11,n,1,5,1,0,,1,,0,,0,,
33,11,n,1,30,4,0,,1,,0,,0,,
98,11,n,1,86,13,0,,1,,0,,0,,
128,11,n,1,114,15,0,,1,,0,,0,,
204,11,n,1,185,20,0,,1,,0,,0,,
263,11,n,1,239,25,0,,1,,0,,0,,
280,11,n,1,254,27,0,,1,,0,,0,,
111,12,n,1,98,14,0,,1,,0,,0,,
158,12,n,1,141,18,0,,1,,0,,0,,
162,12,n,1,145,18,0,,1,,0,,0,,
188,12,n,1,169,20,0,,1,,0,,0,,
214,12,n,1,194,21,0,,1,,0,,0,,
240,12,n,1,218,23,0,,1,,0,,0,,
246,12,n,1,224,23,0,,1,,0,,0,,
10,13,s,1,10,1,1,,0,,0,,0,,
83,13,s,1,72,12,1,,0,,0,,0,,
119,13,s,1,105,15,1,,0,,0,,0,,
131,13,s,1,117,15,1,,0,,0,,0,,
151,13,s,1,134,18,1,,0,,0,,0,,
163,13,s,1,146,18,1,,0,,0,,0,,
327,13,s,1,299,29,1,,0,,0,,0,,
7,14,s,1,7,1,1,,0,,0,,0,,
35,14,s,1,31,5,1,,0,,0,,0,,
61,14,s,1,51,11,1,,0,,0,,0,,
64,14,s,1,54,11,1,,0,,0,,0,,
143,14,s,1,126,18,1,,0,,0,,0,,
178,14,s,1,161,18,1,,0,,0,,0,,
265,14,s,1,241,25,1,,0,,0,,0,,
24,15,s,1,22,3,1,,0,,0,,0,,
27,15,s,1,24,4,1,,0,,0,,0,,
40,15,s,1,34,7,1,,0,,0,,0,,
103,15,s,1,91,13,1,,0,,0,,0,,
139,15,s,1,123,17,1,,0,,0,,0,,
253,15,s,1,230,24,1,,0,,0,,0,,
329,15,s,1,301,29,1,,0,,0,,0,,
39,16,s,1,33,7,1,,0,,0,,0,,
90,16,s,1,78,13,1,,0,,0,,0,,
176,16,s,1,159,18,1,,0,,0,,0,,
187,16,s,1,168,20,1,,0,,0,,0,,
203,16,s,1,184,20,1,,0,,0,,0,,
231,16,s,1,209,23,1,,0,,0,,0,,
335,16,s,1,307,29,1,,0,,0,,0,,
30,17,s,1,27,4,1,,0,,0,,0,,
79,17,s,1,68,12,1,,0,,0,,0,,
189,17,s,1,170,20,1,,0,,0,,0,,
245,17,s,1,223,23,1,,0,,0,,0,,
248,17,s,1,225,24,1,,0,,0,,0,,
273,17,s,1,247,27,1,,0,,0,,0,,
333,17,s,1,305,29,1,,0,,0,,0,,
18,18,s,1,17,2,1,,0,,0,,0,,
150,18,s,1,133,18,1,,0,,0,,0,,
261,18,s,1,238,24,1,,0,,0,,0,,
285,18,s,1,258,28,1,,0,,0,,0,,
293,18,s,1,266,28,1,,0,,0,,0,,
310,18,s,1,282,29,1,,0,,0,,0,,
324,18,s,1,296,29,1,,0,,0,,0,,
31,19,s,1,28,4,1,,0,,0,,0,,
55,19,s,1,46,10,1,,0,,0,,0,,
152,19,s,1,135,18,1,,0,,0,,0,,
251,19,s,1,228,24,1,,0,,0,,0,,
252,19,s,1,229,24,1,,0,,0,,0,,
313,19,s,1,285,29,1,,0,,0,,0,,
326,19,s,1,298,29,1,,0,,0,,0,,
47,20,s,1,38,10,1,,0,,0,,0,,
70,20,s,1,59,12,1,,0,,0,,0,,
144,20,s,1,127,18,1,,0,,0,,0,,
260,20,s,1,237,24,1,,0,,0,,0,,
276,20,s,1,250,27,1,,0,,0,,0,,
306,20,s,1,278,29,1,,0,,0,,0,,
328,20,s,1,300,29,1,,0,,0,,0,,
15,21,s,1,14,2,1,,0,,0,,0,,
60,21,s,1,50,11,1,,0,,0,,0,,
129,21,s,1,115,15,1,,0,,0,,0,,
166,21,s,1,149,18,1,,0,,0,,0,,
223,21,s,1,203,21,1,,0,,0,,0,,
321,21,s,1,293,29,1,,0,,0,,0,,
331,21,s,1,303,29,1,,0,,0,,0,,
11,22,s,1,11,1,1,,0,,0,,0,,
57,22,s,1,47,11,1,,0,,0,,0,,
112,22,s,1,99,14,1,,0,,0,,0,,
179,22,s,1,162,18,1,,0,,0,,0,,
200,22,s,1,181,20,1,,0,,0,,0,,
256,22,s,1,233,24,1,,0,,0,,0,,
281,22,s,1,255,27,1,,0,,0,,0,,
28,23,s,1,25,4,1,,0,,0,,0,,
72,23,s,1,61,12,1,,0,,0,,0,,
