Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
4,7,n,1,5,0,False,163,1,83,False,1,False,5,
33,7,n,1,34,0,False,,1,,False,,False,,
73,7,n,1,74,0,False,,1,,False,,False,,
109,7,n,1,110,0,False,,1,,False,,False,,
279,7,n,1,276,4,False,,1,,False,,False,,
291,7,n,1,288,4,False,,1,,False,,False,,
310,7,n,1,306,5,False,,1,,False,,False,,
30,8,n,1,31,0,False,,1,,False,,False,,
48,8,n,1,49,0,False,,1,,False,,False,,
118,8,n,1,119,0,False,,1,,False,,False,,
188,8,n,1,187,2,False,,1,,False,,False,,
216,8,n,1,214,3,False,,1,,False,,False,,
260,8,n,1,257,4,False,,1,,False,,False,,
305,8,n,1,301,5,False,,1,,False,,False,,
57,9,n,1,58,0,False,,1,,False,,False,,
81,9,n,1,82,0,False,,1,,False,,False,,
116,9,n,1,117,0,False,,1,,False,,False,,
150,9,n,1,149,2,False,,1,,False,,False,,
177,9,n,1,176,2,False,,1,,False,,False,,
221,9,n,1,219,3,False,,1,,False,,False,,
300,9,n,1,296,5,False,,1,,False,,False,,
71,10,n,1,72,0,False,,1,,False,,False,,
137,10,n,1,136,2,False,,1,,False,,False,,
186,10,n,1,185,2,False,,1,,False,,False,,
200,10,n,1,199,2,False,,1,,False,,False,,
299,10,n,1,295,5,False,,1,,False,,False,,
311,10,n,1,307,5,False,,1,,False,,False,,
316,10,n,1,312,5,False,,1,,False,,False,,
16,11,n,1,17,0,False,,1,,False,,False,,
134,11,n,1,133,2,False,,1,,False,,False,,
207,11,n,1,206,2,False,,1,,False,,False,,
222,11,n,1,220,3,False,,1,,False,,False,,
266,11,n,1,263,4,False,,1,,False,,False,,
304,11,n,1,300,5,False,,1,,False,,False,,
319,11,n,1,315,5,False,,1,,False,,False,,
145,12,n,1,144,2,False,,1,,False,,False,,
161,12,n,1,160,2,False,,1,,False,,False,,
172,12,n,1,171,2,False,,1,,False,,False,,
227,12,n,1,224,4,False,,1,,False,,False,,
231,12,n,1,228,4,False,,1,,False,,False,,
246,12,n,1,243,4,False,,1,,False,,False,,
263,12,n,1,260,4,False,,1,,False,,False,,
26,13,s,1,27,0,1,,False,,False,,False,,
162,13,s,1,161,2,1,,False,,False,,False,,
185,13,s,1,184,2,1,,False,,False,,False,,
195,13,s,1,194,2,1,,False,,False,,False,,
255,13,s,1,252,4,1,,False,,False,,False,,
275,13,s,1,272,4,1,,False,,False,,False,,
322,13,s,1,318,5,1,,False,,False,,False,,
100,14,s,1,101,0,1,,False,,False,,False,,
126,14,s,1,125,2,1,,False,,False,,False,,
170,14,s,1,169,2,1,,False,,False,,False,,
238,14,s,1,235,4,1,,False,,False,,False,,
297,14,s,1,293,5,1,,False,,False,,False,,
313,14,s,1,309,5,1,,False,,False,,False,,
334,14,s,1,329,6,1,,False,,False,,False,,
20,15,s,1,21,0,1,,False,,False,,False,,
65,15,s,1,66,0,1,,False,,False,,False,,
86,15,s,1,87,0,1,,False,,False,,False,,
182,15,s,1,181,2,1,,False,,False,,False,,
187,15,s,1,186,2,1,,False,,False,,False,,
307,15,s,1,303,5,1,,False,,False,,False,,
326,15,s,1,322,5,1,,False,,False,,False,,
11,16,s,1,12,0,1,,False,,False,,False,,
34,16,s,1,35,0,1,,False,,False,,False,,
61,16,s,1,62,0,1,,False,,False,,False,,
97,16,s,1,98,0,1,,False,,False,,False,,
180,16,s,1,179,2,1,,False,,False,,False,,
262,16,s,1,259,4,1,,False,,False,,False,,
287,16,s,1,284,4,1,,False,,False,,False,,
89,17,s,1,90,0,1,,False,,False,,False,,
114,17,s,1,115,0,1,,False,,False,,False,,
122,17,s,1,122,1,1,,False,,False,,False,,
125,17,n,False,124,2,False,,False,,False,,1,,
204,17,s,1,203,2,1,,False,,False,,False,,
224,17,s,1,221,4,1,,False,,False,,False,,
320,17,s,1,316,5,1,,False,,False,,False,,
22,18,s,1,23,0,1,,False,,False,,False,,
111,18,s,1,112,0,1,,False,,False,,False,,
143,18,s,1,142,2,1,,False,,False,,False,,
208,18,s,1,207,2,1,,False,,False,,False,,
214,18,s,1,212,3,1,,False,,False,,False,,
243,18,s,1,240,4,1,,False,,False,,False,,
289,18,s,1,286,4,1,,False,,False,,False,,
46,19,s,1,47,0,1,,False,,False,,False,,
99,19,s,1,100,0,1,,False,,False,,False,,
107,19,s,1,108,0,1,,False,,False,,False,,
127,19,s,1,126,2,1,,False,,False,,False,,
193,19,s,1,192,2,1,,False,,False,,False,,
198,19,s,1,197,2,1,,False,,False,,False,,
241,19,s,1,238,4,1,,False,,False,,False,,
6,20,s,1,7,0,1,,False,,False,,False,,
24,20,s,1,25,0,1,,False,,False,,False,,
53,20,s,1,54,0,1,,False,,False,,False,,
77,20,s,1,78,0,1,,False,,False,,False,,
120,20,n,False,120,1,False,,False,,False,,1,,
253,20,s,1,250,4,1,,False,,False,,False,,
325,20,s,1,321,5,1,,False,,False,,False,,
39,21,s,1,40,0,1,,False,,False,,False,,
67,21,s,1,68,0,1,,False,,False,,False,,
79,21,s,1,80,0,1,,False,,False,,False,,
218,21,s,1,216,3,1,,False,,False,,False,,
269,21,s,1,266,4,1,,False,,False,,False,,
292,21,n,False,288,5,False,,False,,False,,1,,
303,21,s,1,299,5,1,,False,,False,,False,,
59,22,s,1,60,0,1,,False,,False,,False,,
233,22,s,1,230,4,1,,False,,False,,False,,
236,22,s,1,233,4,1,,False,,False,,False,,
277,22,s,1,274,4,1,,False,,False,,False,,
281,22,s,1,278,4,1,,False,,False,,False,,
290,22,s,1,287,4,1,,False,,False,,False,,
293,22,s,1,289,5,1,,False,,False,,False,,
13,23,s,1,14,0,1,,False,,False,,False,,
78,23,s,1,79,0,1,,False,,False,,False,,
85,23,s,1,86,0,1,,False,,False,,False,,
94,23,s,1,95,0,1,,False,,False,,False,,
138,23,s,1,137,2,1,,False,,False,,False,,
171,23,s,1,170,2,1,,False,,False,,False,,
317,23,s,1,313,5,1,,False,,False,,False,,
9,24,s,1,10,0,1,,False,,False,,False,,
148,24,s,1,147,2,1,,False,,False,,False,,
154,24,s,1,153,2,1,,False,,False,,False,,
215,24,s,1,213,3,1,,False,,False,,False,,
235,24,s,1,232,4,1,,False,,False,,False,,
259,24,s,1,256,4,1,,False,,False,,False,,
318,24,s,1,314,5,1,,False,,False,,False,,
7,25,s,1,8,0,1,,False,,False,,False,,
55,25,s,1,56,0,1,,False,,False,,False,,
56,25,s,1,57,0,1,,False,,False,,False,,
102,25,s,1,103,0,1,,False,,False,,False,,
104,25,s,1,105,0,1,,False,,False,,False,,
115,25,s,1,116,0,1,,False,,False,,False,,
329,25,s,1,325,5,1,,False,,False,,False,,
27,26,s,1,28,0,1,,False,,False,,False,,
28,26,s,1,29,0,1,,False,,False,,False,,
66,26,s,1,67,0,1,,False,,False,,False,,
96,26,s,1,97,0,1,,False,,False,,False,,
248,26,s,1,245,4,1,,False,,False,,False,,
254,26,s,1,251,4,1,,False,,False,,False,,
282,26,s,1,279,4,1,,False,,False,,False,,
15,27,s,1,16,0,1,,False,,False,,False,,
37,27,s,1,38,0,1,,False,,False,,False,,
52,27,s,1,53,0,1,,False,,False,,False,,
206,27,s,1,205,2,1,,False,,False,,False,,
229,27,s,1,226,4,1,,False,,False,,False,,
264,27,s,1,261,4,1,,False,,False,,False,,
271,27,s,1,268,4,1,,False,,False,,False,,
29,28,s,1,30,0,1,,False,,False,,False,,
121,28,s,1,121,1,1,,False,,False,,False,,
123,28,s,1,123,1,1,,False,,False,,False,,
135,28,s,1,134,2,1,,False,,False,,False,,
164,28,s,1,163,2,1,,False,,False,,False,,
174,28,s,1,173,2,1,,False,,False,,False,,
308,28,s,1,304,5,1,,False,,False,,False,,
68,29,s,1,69,0,1,,False,,False,,False,,
70,29,s,1,71,0,1,,False,,False,,False,,
80,29,s,1,81,0,1,,False,,False,,False,,
163,29,s,1,162,2,1,,False,,False,,False,,
181,29,s,1,180,2,1,,False,,False,,False,,
205,29,s,1,204,2,1,,False,,False,,False,,
267,29,s,1,264,4,1,,False,,False,,False,,
31,30,s,1,32,0,1,,False,,False,,False,,
63,30,s,1,64,0,1,,False,,False,,False,,
117,30,s,1,118,0,1,,False,,False,,False,,
142,30,s,1,141,2,1,,False,,False,,False,,
156,30,s,1,155,2,1,,False,,False,,False,,
165,30,s,1,164,2,1,,False,,False,,False,,
283,30,s,1,280,4,1,,False,,False,,False,,
2,31,s,1,3,0,1,,False,,False,,False,,
50,31,s,1,51,0,1,,False,,False,,False,,
124,31,s,1,124,1,1,,False,,False,,False,,
183,31,s,1,182,2,1,,False,,False,,False,,
232,31,s,1,229,4,1,,False,,False,,False,,
257,31,s,1,254,4,1,,False,,False,,False,,
298,31,s,1,294,5,1,,False,,False,,False,,
23,32,s,1,24,0,1,,False,,False,,False,,
32,32,s,1,33,0,1,,False,,False,,False,,
98,32,s,1,99,0,1,,False,,False,,False,,
108,32,s,1,109,0,1,,False,,False,,False,,
159,32,s,1,158,2,1,,False,,False,,False,,
199,32,s,1,198,2,1,,False,,False,,False,,
335,32,s,1,330,6,1,,False,,False,,False,,
10,33,s,1,11,0,1,,False,,False,,False,,
83,33,s,1,84,0,1,,False,,False,,False,,
88,33,s,1,89,0,1,,False,,False,,False,,
212,33,n,False,210,3,False,,False,,False,,1,,
223,33,n,False,220,4,False,,False,,False,,1,,
228,33,s,1,225,4,1,,False,,False,,False,,
274,33,s,1,271,4,1,,False,,False,,False,,
14,34,s,1,15,0,1,,False,,False,,False,,
113,34,s,1,114,0,1,,False,,False,,False,,
136,34,s,1,135,2,1,,False,,False,,False,,
140,34,s,1,139,2,1,,False,,False,,False,,
151,34,s,1,150,2,1,,False,,False,,False,,
152,34,s,1,151,2,1,,False,,False,,False,,
251,34,s,1,248,4,1,,False,,False,,False,,
35,35,s,1,36,0,1,,False,,False,,False,,
49,35,s,1,50,0,1,,False,,False,,False,,
103,35,s,1,104,0,1,,False,,False,,False,,
146,35,s,1,145,2,1,,False,,False,,False,,
252,35,s,1,249,4,1,,False,,False,,False,,
295,35,s,1,291,5,1,,False,,False,,False,,
306,35,s,1,302,5,1,,False,,False,,False,,
155,36,s,1,154,2,1,,False,,False,,False,,
169,36,s,1,168,2,1,,False,,False,,False,,
213,36,s,1,211,3,1,,False,,False,,False,,
226,36,s,1,223,4,1,,False,,False,,False,,
247,36,s,1,244,4,1,,False,,False,,False,,
286,36,s,1,283,4,1,,False,,False,,False,,
315,36,s,1,311,5,1,,False,,False,,False,,
91,37,n,1,92,0,False,,1,,False,,False,,
166,37,n,1,165,2,False,,1,,False,,False,,
167,37,n,1,166,2,False,,1,,False,,False,,
217,37,n,1,215,3,False,,1,,False,,False,,
280,37,n,1,277,4,False,,1,,False,,False,,
330,37,n,1,326,5,False,,1,,False,,False,,
331,37,n,1,327,5,False,,1,,False,,False,,
5,38,n,1,6,0,False,,1,,False,,False,,
