Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,3,n,True,1,0,False,0,True,1,False,0,False,0,
1,45,n,True,2,0,False,0,True,2,False,0,False,0,
2,20,s,True,3,0,True,1,False,2,False,0,False,0,
3,19,s,True,4,0,True,2,False,2,False,0,False,0,
4,48,s,False,4,1,False,2,False,2,True,1,False,0,
5,28,s,True,5,1,True,3,False,2,False,1,False,0,
6,39,n,True,6,1,False,3,True,3,False,1,False,0,
7,2,n,True,7,1,False,3,True,4,False,1,False,0,
8,16,s,True,8,1,True,4,False,4,False,1,False,0,
9,46,n,True,9,1,False,4,True,5,False,1,False,0,
10,26,s,True,10,1,True,5,False,5,False,1,False,0,
11,13,s,True,11,1,True,6,False,5,False,1,False,0,
12,24,s,True,12,1,True,7,False,5,False,1,False,0,
13,12,n,True,13,1,False,7,True,6,False,1,False,0,
14,44,n,True,14,1,False,7,True,7,False,1,False,0,
15,47,n,True,15,1,False,7,True,8,False,1,False,0,
16,46,n,True,16,1,False,7,True,9,False,1,False,0,
17,47,n,True,17,1,False,7,True,10,False,1,False,0,
18,39,s,False,17,2,False,7,False,10,True,2,False,0,
19,48,n,True,18,2,False,7,True,11,False,2,False,0,
20,24,s,True,19,2,True,8,False,11,False,2,False,0,
21,8,n,True,20,2,False,8,True,12,False,2,False,0,
22,28,s,True,21,2,True,9,False,12,False,2,False,0,
23,18,s,True,22,2,True,10,False,12,False,2,False,0,
24,25,s,True,23,2,True,11,False,12,False,2,False,0,
25,48,n,True,24,2,False,11,True,13,False,2,False,0,
26,22,s,True,25,2,True,12,False,13,False,2,False,0,
27,26,s,True,26,2,True,13,False,13,False,2,False,0,
28,3,n,True,27,2,False,13,True,14,False,2,False,0,
29,26,s,True,28,2,True,14,False,14,False,2,False,0,
30,2,n,True,29,2,False,14,True,15,False,2,False,0,
31,23,s,True,30,2,True,15,False,15,False,2,False,0,
32,47,n,True,31,2,False,15,True,16,False,2,False,0,
33,31,s,True,32,2,True,16,False,16,False,2,False,0,
34,17,n,False,32,3,False,16,False,16,False,2,True,1,
35,7,n,True,33,3,False,16,True,17,False,2,False,1,
36,6,n,True,34,3,False,16,True,18,False,2,False,1,
37,9,n,True,35,3,False,16,True,19,False,2,False,1,
38,33,n,False,35,4,False,16,False,19,False,2,True,2,
39,32,s,True,36,4,True,17,False,19,False,2,False,2,
40,30,s,True,37,4,True,18,False,19,False,2,False,2,
41,10,n,True,38,4,False,18,True,20,False,2,False,2,
42,17,s,True,39,4,True,19,False,20,False,2,False,2,
43,42,s,False,39,5,False,19,False,20,True,3,False,2,
44,27,s,True,40,5,True,20,False,20,False,3,False,2,
45,17,s,True,41,5,True,21,False,20,False,3,False,2,
46,21,s,True,42,5,True,22,False,20,False,3,False,2,
47,13,s,True,43,5,True,23,False,20,False,3,False,2,
48,33,s,True,44,5,True,24,False,20,False,3,False,2,
49,44,s,False,44,6,False,24,False,20,True,4,False,2,
50,41,n,True,45,6,False,24,True,21,False,4,False,2,
51,14,s,True,46,6,True,25,False,21,False,4,False,2,
52,25,s,True,47,6,True,26,False,21,False,4,False,2,
53,18,s,True,48,6,True,27,False,21,False,4,False,2,
54,28,s,True,49,6,True,28,False,21,False,4,False,2,
55,15,s,True,50,6,True,29,False,21,False,4,False,2,
56,1,n,True,51,6,False,29,True,22,False,4,False,2,
57,46,n,True,52,6,False,29,True,23,False,4,False,2,
58,42,s,False,52,7,False,29,False,23,True,5,False,2,
59,36,s,True,53,7,True,30,False,23,False,5,False,2,
60,28,s,True,54,7,True,31,False,23,False,5,False,2,
61,43,n,True,55,7,False,31,True,24,False,5,False,2,
62,37,n,True,56,7,False,31,True,25,False,5,False,2,
63,19,s,True,57,7,True,32,False,25,False,5,False,2,
64,37,n,True,58,7,False,32,True,26,False,5,False,2,
65,38,s,False,58,8,False,32,False,26,True,6,False,2,
66,38,s,False,58,9,False,32,False,26,True,7,False,2,
67,19,s,True,59,9,True,33,False,26,False,7,False,2,
68,44,n,True,60,9,False,33,True,27,False,7,False,2,
69,9,n,True,61,9,False,33,True,28,False,7,False,2,
70,6,n,True,62,9,False,33,True,29,False,7,False,2,
71,11,n,True,63,9,False,33,True,30,False,7,False,2,
72,9,n,True,64,9,False,33,True,31,False,7,False,2,
73,10,n,True,65,9,False,33,True,32,False,7,False,2,
74,24,s,True,66,9,True,34,False,32,False,7,False,2,
75,21,s,True,67,9,True,35,False,32,False,7,False,2,
76,18,n,False,67,10,False,35,False,32,False,7,True,3,
77,13,s,True,68,10,True,36,False,32,False,7,False,3,
78,35,s,True,69,10,True,37,False,32,False,7,False,3,
79,11,n,True,70,10,False,37,True,33,False,7,False,3,
80,18,s,True,71,10,True,38,False,33,False,7,False,3,
81,14,s,True,72,10,True,39,False,33,False,7,False,3,
82,41,n,True,73,10,False,39,True,34,False,7,False,3,
83,11,n,True,74,10,False,39,True,35,False,7,False,3,
84,14,s,True,75,10,True,40,False,35,False,7,False,3,
85,47,n,True,76,10,False,40,True,36,False,7,False,3,
86,33,n,False,76,11,False,40,False,36,False,7,True,4,
87,20,s,True,77,11,True,41,False,36,False,7,False,4,
88,9,n,True,78,11,False,41,True,37,False,7,False,4,
89,37,s,False,78,12,False,41,False,37,True,8,False,4,
90,30,s,True,79,12,True,42,False,37,False,8,False,4,
91,4,n,True,80,12,False,42,True,38,False,8,False,4,
92,5,n,True,81,12,False,42,True,39,False,8,False,4,
93,38,s,False,81,13,False,42,False,39,True,9,False,4,
94,42,s,False,81,14,False,42,False,39,True,10,False,4,
95,8,n,True,82,14,False,42,True,40,False,10,False,4,
96,1,n,True,83,14,False,42,True,41,False,10,False,4,
97,35,s,True,84,14,True,43,False,41,False,10,False,4,
98,31,n,False,84,15,False,43,False,41,False,10,True,5,
99,11,n,True,85,15,False,43,True,42,False,10,False,5,
100,32,s,True,86,15,True,44,False,42,False,10,False,5,
101,39,n,True,87,15,False,44,True,43,False,10,False,5,
102,21,s,True,88,15,True,45,False,43,False,10,False,5,
103,35,s,True,89,15,True,46,False,43,False,10,False,5,
