Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,35,s,True,1,0,True,1,False,0,False,0,False,0,
1,46,n,True,2,0,False,1,True,1,False,0,False,0,
2,38,n,True,3,0,False,1,True,2,False,0,False,0,
3,43,n,True,4,0,False,1,True,3,False,0,False,0,
4,24,s,True,5,0,True,2,False,3,False,0,False,0,
5,2,n,True,6,0,False,2,True,4,False,0,False,0,
6,37,n,True,7,0,False,2,True,5,False,0,False,0,
7,11,n,True,8,0,False,2,True,6,False,0,False,0,
8,35,s,True,9,0,True,3,False,6,False,0,False,0,
9,10,n,True,10,0,False,3,True,7,False,0,False,0,
10,46,n,True,11,0,False,3,True,8,False,0,False,0,
11,27,s,True,12,0,True,4,False,8,False,0,False,0,
12,9,n,True,13,0,False,4,True,9,False,0,False,0,
13,12,n,True,14,0,False,4,True,10,False,0,False,0,
14,21,s,True,15,0,True,5,False,10,False,0,False,0,
15,32,s,True,16,0,True,6,False,10,False,0,False,0,
16,18,s,True,17,0,True,7,False,10,False,0,False,0,
17,19,s,True,18,0,True,8,False,10,False,0,False,0,
18,43,n,True,19,0,False,8,True,11,False,0,False,0,
19,35,s,True,20,0,True,9,False,11,False,0,False,0,
20,17,s,True,21,0,True,10,False,11,False,0,False,0,
21,38,n,True,22,0,False,10,True,12,False,0,False,0,
22,5,n,True,23,0,False,10,True,13,False,0,False,0,
23,9,n,True,24,0,False,10,True,14,False,0,False,0,
24,28,s,True,25,0,True,11,False,14,False,0,False,0,
25,15,s,True,26,0,True,12,False,14,False,0,False,0,
26,20,s,True,27,0,True,13,False,14,False,0,False,0,
27,22,s,True,28,0,True,14,False,14,False,0,False,0,
28,10,n,True,29,0,False,14,True,15,False,0,False,0,
29,18,s,True,30,0,True,15,False,15,False,0,False,0,
30,45,n,True,31,0,False,15,True,16,False,0,False,0,
31,8,n,True,32,0,False,15,True,17,False,0,False,0,
32,30,s,True,33,0,True,16,False,17,False,0,False,0,
33,48,n,True,34,0,False,16,True,18,False,0,False,0,
34,29,s,True,35,0,True,17,False,18,False,0,False,0,
35,8,n,True,36,0,False,17,True,19,False,0,False,0,
36,8,n,True,37,0,False,17,True,20,False,0,False,0,
37,29,s,True,38,0,True,18,False,20,False,0,False,0,
38,38,n,True,39,0,False,18,True,21,False,0,False,0,
39,30,s,True,40,0,True,19,False,21,False,0,False,0,
40,18,s,True,41,0,True,20,False,21,False,0,False,0,
41,38,n,True,42,0,False,20,True,22,False,0,False,0,
42,2,n,True,43,0,False,20,True,23,False,0,False,0,
43,13,s,True,44,0,True,21,False,23,False,0,False,0,
44,36,s,True,45,0,True,22,False,23,False,0,False,0,
45,17,s,True,46,0,True,23,False,23,False,0,False,0,
46,44,n,True,47,0,False,23,True,24,False,0,False,0,
47,40,n,True,48,0,False,23,True,25,False,0,False,0,
48,34,s,True,49,0,True,24,False,25,False,0,False,0,
49,4,n,True,50,0,False,24,True,26,False,0,False,0,
50,32,s,True,51,0,True,25,False,26,False,0,False,0,
51,46,n,True,52,0,False,25,True,27,False,0,False,0,
52,45,n,True,53,0,False,25,True,28,False,0,False,0,
53,34,s,True,54,0,True,26,False,28,False,0,False,0,
54,5,n,True,55,0,False,26,True,29,False,0,False,0,
55,39,n,True,56,0,False,26,True,30,False,0,False,0,
56,29,s,True,57,0,True,27,False,30,False,0,False,0,
57,30,s,True,58,0,True,28,False,30,False,0,False,0,
58,26,s,True,59,0,True,29,False,30,False,0,False,0,
59,19,s,True,60,0,True,30,False,30,False,0,False,0,
60,45,n,True,61,0,False,30,True,31,False,0,False,0,
61,47,n,True,62,0,False,30,True,32,False,0,False,0,
62,41,n,True,63,0,False,30,True,33,False,0,False,0,
63,31,s,True,64,0,True,31,False,33,False,0,False,0,
64,14,s,True,65,0,True,32,False,33,False,0,False,0,
65,16,s,True,66,0,True,33,False,33,False,0,False,0,
66,40,n,True,67,0,False,33,True,34,False,0,False,0,
67,4,n,True,68,0,False,33,True,35,False,0,False,0,
68,23,s,True,69,0,True,34,False,35,False,0,False,0,
69,27,s,True,70,0,True,35,False,35,False,0,False,0,
70,23,s,True,71,0,True,36,False,35,False,0,False,0,
71,3,n,True,72,0,False,36,True,36,False,0,False,0,
72,42,s,False,72,1,False,36,False,36,True,1,False,0,
73,8,n,True,73,1,False,36,True,37,False,1,False,0,
74,40,n,True,74,1,False,36,True,38,False,1,False,0,
75,14,s,True,75,1,True,37,False,38,False,1,False,0,
76,30,s,True,76,1,True,38,False,38,False,1,False,0,
77,33,s,True,77,1,True,39,False,38,False,1,False,0,
78,48,n,True,78,1,False,39,True,39,False,1,False,0,
79,32,s,True,79,1,True,40,False,39,False,1,False,0,
80,28,s,True,80,1,True,41,False,39,False,1,False,0,
81,10,n,True,81,1,False,41,True,40,False,1,False,0,
82,6,n,True,82,1,False,41,True,41,False,1,False,0,
83,14,s,True,83,1,True,42,False,41,False,1,False,0,
84,9,n,True,84,1,False,42,True,42,False,1,False,0,
85,33,s,True,85,1,True,43,False,42,False,1,False,0,
86,35,s,True,86,1,True,44,False,42,False,1,False,0,
87,15,s,True,87,1,True,45,False,42,False,1,False,0,
88,37,n,True,88,1,False,45,True,43,False,1,False,0,
89,3,n,True,89,1,False,45,True,44,False,1,False,0,
90,31,s,True,90,1,True,46,False,44,False,1,False,0,
91,21,s,True,91,1,True,47,False,44,False,1,False,0,
92,20,s,True,92,1,True,48,False,44,False,1,False,0,
93,12,n,True,93,1,False,48,True,45,False,1,False,0,
94,1,n,True,94,1,False,48,True,46,False,1,False,0,
95,18,s,True,95,1,True,49,False,46,False,1,False,0,
96,27,s,True,96,1,True,50,False,46,False,1,False,0,
97,13,s,True,97,1,True,51,False,46,False,1,False,0,
98,8,s,False,97,2,False,51,False,46,True,2,False,0,
99,5,n,True,98,2,False,51,True,47,False,2,False,0,
100,32,s,True,99,2,True,52,False,47,False,2,False,0,
101,17,s,True,100,2,True,53,False,47,False,2,False,0,
102,25,s,True,101,2,True,54,False,47,False,2,False,0,
103,1,n,True,102,2,False,54,True,48,False,2,False,0,
104,1,n,True,103,2,False,54,True,49,False,2,False,0,
105,22,s,True,104,2,True,55,False,49,False,2,False,0,
106,41,n,True,105,2,False,55,True,50,False,2,False,0,
107,47,n,True,106,2,False,55,True,51,False,2,False,0,
108,6,n,True,107,2,False,55,True,52,False,2,False,0,
109,11,n,True,108,2,False,55,True,53,False,2,False,0,
110,19,s,True,109,2,True,56,False,53,False,2,False,0,
111,30,s,True,110,2,True,57,False,53,False,2,False,0,
112,31,s,True,111,2,True,58,False,53,False,2,False,0,
113,14,s,True,112,2,True,59,False,53,False,2,False,0,
114,22,s,True,113,2,True,60,False,53,False,2,False,0,
115,3,n,True,114,2,False,60,True,54,False,2,False,0,
116,24,s,True,115,2,True,61,False,54,False,2,False,0,
117,21,s,True,116,2,True,62,False,54,False,2,False,0,
118,48,n,True,117,2,False,62,True,55,False,2,False,0,
