Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,47,n,True,1,0,False,0,True,1,False,0,False,0,
1,12,n,True,2,0,False,0,True,2,False,0,False,0,
2,9,n,True,3,0,False,0,True,3,False,0,False,0,
3,13,s,True,4,0,True,1,False,3,False,0,False,0,
4,17,s,True,5,0,True,2,False,3,False,0,False,0,
5,24,n,False,5,1,False,2,False,3,False,0,True,1,
6,35,n,False,5,2,False,2,False,3,False,0,True,2,
7,36,s,True,6,2,True,3,False,3,False,0,False,2,
8,18,n,False,6,3,False,3,False,3,False,0,True,3,
9,31,n,False,6,4,False,3,False,3,False,0,True,4,
10,33,s,True,7,4,True,4,False,3,False,0,False,4,
11,38,n,True,8,4,False,4,True,4,False,0,False,4,
12,6,n,True,9,4,False,4,True,5,False,0,False,4,
13,28,s,True,10,4,True,5,False,5,False,0,False,4,
14,9,n,True,11,4,False,5,True,6,False,0,False,4,
15,29,n,False,11,5,False,5,False,6,False,0,True,5,
16,43,n,True,12,5,False,5,True,7,False,0,False,5,
17,37,n,True,13,5,False,5,True,8,False,0,False,5,
18,26,n,False,13,6,False,5,False,8,False,0,True,6,
19,16,n,False,13,7,False,5,False,8,False,0,True,7,
20,20,n,False,13,8,False,5,False,8,False,0,True,8,
21,14,s,True,14,8,True,6,False,8,False,0,False,8,
22,33,n,False,14,9,False,6,False,8,False,0,True,9,
23,39,n,True,15,9,False,6,True,9,False,0,False,9,
24,39,n,True,16,9,False,6,True,10,False,0,False,9,
25,40,n,True,17,9,False,6,True,11,False,0,False,9,
26,23,s,True,18,9,True,7,False,11,False,0,False,9,
27,45,n,True,19,9,False,7,True,12,False,0,False,9,
28,22,n,False,19,10,False,7,False,12,False,0,True,10,
29,2,n,True,20,10,False,7,True,13,False,0,False,10,
30,19,n,False,20,11,False,7,False,13,False,0,True,11,
31,40,n,True,21,11,False,7,True,14,False,0,False,11,
32,32,n,False,21,12,False,7,False,14,False,0,True,12,
