Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
13,7,n,1,13,1,False,131,1,84,False,0,False,37,
50,7,n,1,44,7,False,,1,,False,,False,,
134,7,n,1,113,22,False,,1,,False,,False,,
233,7,n,1,203,31,False,,1,,False,,False,,
262,7,n,1,229,34,False,,1,,False,,False,,
273,7,n,1,239,35,False,,1,,False,,False,,
296,7,n,1,261,36,False,,1,,False,,False,,
24,8,n,1,24,1,False,,1,,False,,False,,
122,8,n,1,104,19,False,,1,,False,,False,,
135,8,n,1,114,22,False,,1,,False,,False,,
146,8,n,1,124,23,False,,1,,False,,False,,
235,8,n,1,204,32,False,,1,,False,,False,,
300,8,n,1,265,36,False,,1,,False,,False,,
316,8,n,1,281,36,False,,1,,False,,False,,
16,9,n,1,16,1,False,,1,,False,,False,,
69,9,n,1,62,8,False,,1,,False,,False,,
103,9,n,1,91,13,False,,1,,False,,False,,
193,9,n,1,164,30,False,,1,,False,,False,,
219,9,n,1,189,31,False,,1,,False,,False,,
319,9,n,1,283,37,False,,1,,False,,False,,
330,9,n,1,294,37,False,,1,,False,,False,,
6,10,n,1,7,0,False,,1,,False,,False,,
9,10,n,1,9,1,False,,1,,False,,False,,
80,10,n,1,71,10,False,,1,,False,,False,,
138,10,n,1,117,22,False,,1,,False,,False,,
275,10,n,1,241,35,False,,1,,False,,False,,
297,10,n,1,262,36,False,,1,,False,,False,,
301,10,n,1,266,36,False,,1,,False,,False,,
27,11,n,1,26,2,False,,1,,False,,False,,
48,11,n,1,42,7,False,,1,,False,,False,,
150,11,n,1,127,24,False,,1,,False,,False,,
228,11,n,1,198,31,False,,1,,False,,False,,
236,11,n,1,205,32,False,,1,,False,,False,,
248,11,n,1,216,33,False,,1,,False,,False,,
277,11,n,1,243,35,False,,1,,False,,False,,
17,12,n,1,17,1,False,,1,,False,,False,,
67,12,n,1,60,8,False,,1,,False,,False,,
126,12,n,1,107,20,False,,1,,False,,False,,
137,12,n,1,116,22,False,,1,,False,,False,,
182,12,n,1,153,30,False,,1,,False,,False,,
186,12,n,1,157,30,False,,1,,False,,False,,
199,12,n,1,170,30,False,,1,,False,,False,,
22,13,s,1,22,1,1,,False,,False,,False,,
39,13,s,1,34,6,1,,False,,False,,False,,
108,13,s,1,94,15,1,,False,,False,,False,,
176,13,s,1,148,29,1,,False,,False,,False,,
207,13,s,1,178,30,1,,False,,False,,False,,
255,13,s,1,223,33,1,,False,,False,,False,,
294,13,s,1,259,36,1,,False,,False,,False,,
82,14,s,1,73,10,1,,False,,False,,False,,
89,14,s,1,79,11,1,,False,,False,,False,,
97,14,s,1,85,13,1,,False,,False,,False,,
198,14,s,1,169,30,1,,False,,False,,False,,
269,14,s,1,235,35,1,,False,,False,,False,,
274,14,s,1,240,35,1,,False,,False,,False,,
290,14,s,1,255,36,1,,False,,False,,False,,
31,15,n,False,29,3,False,,False,,False,,1,,
76,15,s,1,67,10,1,,False,,False,,False,,
96,15,s,1,84,13,1,,False,,False,,False,,
109,15,s,1,95,15,1,,False,,False,,False,,
131,15,n,False,110,22,False,,False,,False,,1,,
132,15,s,1,111,22,1,,False,,False,,False,,
232,15,s,1,202,31,1,,False,,False,,False,,
57,16,s,1,51,7,1,,False,,False,,False,,
94,16,s,1,82,13,1,,False,,False,,False,,
169,16,s,1,141,29,1,,False,,False,,False,,
208,16,s,1,179,30,1,,False,,False,,False,,
215,16,s,1,185,31,1,,False,,False,,False,,
216,16,s,1,186,31,1,,False,,False,,False,,
266,16,s,1,232,35,1,,False,,False,,False,,
53,17,s,1,47,7,1,,False,,False,,False,,
111,17,n,False,96,16,False,,False,,False,,1,,
123,17,s,1,105,19,1,,False,,False,,False,,
184,17,s,1,155,30,1,,False,,False,,False,,
202,17,s,1,173,30,1,,False,,False,,False,,
205,17,s,1,176,30,1,,False,,False,,False,,
254,17,s,1,222,33,1,,False,,False,,False,,
7,18,n,False,7,1,False,,False,,False,,1,,
60,18,s,1,53,8,1,,False,,False,,False,,
102,18,s,1,90,13,1,,False,,False,,False,,
145,18,s,1,123,23,1,,False,,False,,False,,
251,18,s,1,219,33,1,,False,,False,,False,,
289,18,s,1,254,36,1,,False,,False,,False,,
324,18,s,1,288,37,1,,False,,False,,False,,
75,19,s,1,66,10,1,,False,,False,,False,,
127,19,s,1,108,20,1,,False,,False,,False,,
129,19,s,1,110,20,1,,False,,False,,False,,
167,19,s,1,139,29,1,,False,,False,,False,,
214,19,s,1,184,31,1,,False,,False,,False,,
270,19,s,1,236,35,1,,False,,False,,False,,
288,19,s,1,253,36,1,,False,,False,,False,,
26,20,n,False,25,2,False,,False,,False,,1,,
64,20,s,1,57,8,1,,False,,False,,False,,
104,20,s,1,92,13,1,,False,,False,,False,,
112,20,s,1,97,16,1,,False,,False,,False,,
128,20,s,1,109,20,1,,False,,False,,False,,
253,20,s,1,221,33,1,,False,,False,,False,,
265,20,s,1,231,35,1,,False,,False,,False,,
18,21,s,1,18,1,1,,False,,False,,False,,
35,21,n,False,31,5,False,,False,,False,,1,,
148,21,s,1,125,24,1,,False,,False,,False,,
151,21,s,1,128,24,1,,False,,False,,False,,
157,21,s,1,131,27,1,,False,,False,,False,,
279,21,s,1,245,35,1,,False,,False,,False,,
333,21,s,1,297,37,1,,False,,False,,False,,
85,22,n,False,75,11,False,,False,,False,,1,,
116,22,s,1,100,17,1,,False,,False,,False,,
187,22,s,1,158,30,1,,False,,False,,False,,
