Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
71,7,n,1,65,7,False,130,1,79,False,5,False,38,
99,7,n,1,91,9,False,,1,,False,,False,,
150,7,n,1,137,14,False,,1,,False,,False,,
220,7,n,1,195,26,False,,1,,False,,False,,
257,7,n,1,225,33,False,,1,,False,,False,,
262,7,n,1,230,33,False,,1,,False,,False,,
300,7,n,1,262,39,False,,1,,False,,False,,
32,8,n,1,32,1,False,,1,,False,,False,,
134,8,n,1,122,13,False,,1,,False,,False,,
192,8,n,1,172,21,False,,1,,False,,False,,
195,8,n,1,175,21,False,,1,,False,,False,,
203,8,n,1,182,22,False,,1,,False,,False,,
219,8,n,1,194,26,False,,1,,False,,False,,
311,8,n,1,272,40,False,,1,,False,,False,,
13,9,n,1,13,1,False,,1,,False,,False,,
34,9,n,1,33,2,False,,1,,False,,False,,
81,9,n,1,74,8,False,,1,,False,,False,,
159,9,n,1,145,15,False,,1,,False,,False,,
234,9,n,1,204,31,False,,1,,False,,False,,
280,9,n,1,243,38,False,,1,,False,,False,,
321,9,n,1,281,41,False,,1,,False,,False,,
122,10,n,1,110,13,False,,1,,False,,False,,
136,10,n,1,124,13,False,,1,,False,,False,,
172,10,n,1,157,16,False,,1,,False,,False,,
243,10,n,1,211,33,False,,1,,False,,False,,
261,10,n,1,229,33,False,,1,,False,,False,,
309,10,n,1,270,40,False,,1,,False,,False,,
327,10,n,1,286,42,False,,1,,False,,False,,
22,11,n,1,22,1,False,,1,,False,,False,,
40,11,n,1,38,3,False,,1,,False,,False,,
91,11,n,1,83,9,False,,1,,False,,False,,
130,11,n,1,118,13,False,,1,,False,,False,,
141,11,n,1,128,14,False,,1,,False,,False,,
229,11,n,1,200,30,False,,1,,False,,False,,
308,11,n,1,269,40,False,,1,,False,,False,,
16,12,n,1,16,1,False,,1,,False,,False,,
24,12,n,1,24,1,False,,1,,False,,False,,
77,12,n,1,70,8,False,,1,,False,,False,,
92,12,n,1,84,9,False,,1,,False,,False,,
132,12,n,1,120,13,False,,1,,False,,False,,
260,12,n,1,228,33,False,,1,,False,,False,,
325,12,n,1,284,42,False,,1,,False,,False,,
45,13,s,1,41,5,1,,False,,False,,False,,
85,13,s,1,78,8,1,,False,,False,,False,,
97,13,s,1,89,9,1,,False,,False,,False,,
188,13,s,1,168,21,1,,False,,False,,False,,
205,13,n,False,183,23,False,,False,,False,,1,,
213,13,s,1,189,25,1,,False,,False,,False,,
233,13,s,1,203,31,1,,False,,False,,False,,
1,14,s,1,2,0,1,,False,,False,,False,,
2,14,s,1,3,0,1,,False,,False,,False,,
68,14,s,1,62,7,1,,False,,False,,False,,
78,14,s,1,71,8,1,,False,,False,,False,,
207,14,s,1,185,23,1,,False,,False,,False,,
