Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,16,s,True,1,0,True,1,False,0,False,0,False,0,
1,31,s,True,2,0,True,2,False,0,False,0,False,0,
2,36,s,True,3,0,True,3,False,0,False,0,False,0,
3,39,n,True,4,0,False,3,True,1,False,0,False,0,
4,11,n,True,5,0,False,3,True,2,False,0,False,0,
5,44,n,True,6,0,False,3,True,3,False,0,False,0,
6,25,s,True,7,0,True,4,False,3,False,0,False,0,
7,33,s,True,8,0,True,5,False,3,False,0,False,0,
8,19,s,True,9,0,True,6,False,3,False,0,False,0,
9,22,s,True,10,0,True,7,False,3,False,0,False,0,
10,3,n,True,11,0,False,7,True,4,False,0,False,0,
11,5,n,True,12,0,False,7,True,5,False,0,False,0,
12,22,s,True,13,0,True,8,False,5,False,0,False,0,
13,11,n,True,14,0,False,8,True,6,False,0,False,0,
14,12,s,False,14,1,False,8,False,6,True,1,False,0,
15,35,s,True,15,1,True,9,False,6,False,1,False,0,
16,26,s,True,16,1,True,10,False,6,False,1,False,0,
17,11,n,True,17,1,False,10,True,7,False,1,False,0,
18,43,n,True,18,1,False,10,True,8,False,1,False,0,
19,6,n,True,19,1,False,10,True,9,False,1,False,0,
20,45,n,True,20,1,False,10,True,10,False,1,False,0,
21,7,n,True,21,1,False,10,True,11,False,1,False,0,
22,29,s,True,22,1,True,11,False,11,False,1,False,0,
23,41,s,False,22,2,False,11,False,11,True,2,False,0,
24,27,s,True,23,2,True,12,False,11,False,2,False,0,
25,13,s,True,24,2,True,13,False,11,False,2,False,0,
26,10,n,True,25,2,False,13,True,12,False,2,False,0,
27,25,s,True,26,2,True,14,False,12,False,2,False,0,
28,36,s,True,27,2,True,15,False,12,False,2,False,0,
29,40,n,True,28,2,False,15,True,13,False,2,False,0,
30,8,n,True,29,2,False,15,True,14,False,2,False,0,
31,6,n,True,30,2,False,15,True,15,False,2,False,0,
32,27,s,True,31,2,True,16,False,15,False,2,False,0,
33,12,n,True,32,2,False,16,True,16,False,2,False,0,
34,45,n,True,33,2,False,16,True,17,False,2,False,0,
35,20,s,True,34,2,True,17,False,17,False,2,False,0,
36,39,n,True,35,2,False,17,True,18,False,2,False,0,
37,9,n,True,36,2,False,17,True,19,False,2,False,0,
38,27,s,True,37,2,True,18,False,19,False,2,False,0,
39,17,s,True,38,2,True,19,False,19,False,2,False,0,
40,8,n,True,39,2,False,19,True,20,False,2,False,0,
41,42,n,True,40,2,False,19,True,21,False,2,False,0,
42,40,s,False,40,3,False,19,False,21,True,3,False,0,
43,26,s,True,41,3,True,20,False,21,False,3,False,0,
44,35,s,True,42,3,True,21,False,21,False,3,False,0,
45,40,s,False,42,4,False,21,False,21,True,4,False,0,
46,8,n,True,43,4,False,21,True,22,False,4,False,0,
47,10,n,True,44,4,False,21,True,23,False,4,False,0,
48,32,s,True,45,4,True,22,False,23,False,4,False,0,
49,2,n,True,46,4,False,22,True,24,False,4,False,0,
50,23,s,True,47,4,True,23,False,24,False,4,False,0,
51,21,s,True,48,4,True,24,False,24,False,4,False,0,
52,20,s,True,49,4,True,25,False,24,False,4,False,0,
53,6,n,True,50,4,False,25,True,25,False,4,False,0,
54,30,s,True,51,4,True,26,False,25,False,4,False,0,
55,47,n,True,52,4,False,26,True,26,False,4,False,0,
56,15,s,True,53,4,True,27,False,26,False,4,False,0,
57,43,n,True,54,4,False,27,True,27,False,4,False,0,
58,43,n,True,55,4,False,27,True,28,False,4,False,0,
59,4,n,True,56,4,False,27,True,29,False,4,False,0,
60,11,n,True,57,4,False,27,True,30,False,4,False,0,
61,34,s,True,58,4,True,28,False,30,False,4,False,0,
62,20,s,True,59,4,True,29,False,30,False,4,False,0,
63,19,s,True,60,4,True,30,False,30,False,4,False,0,
64,32,s,True,61,4,True,31,False,30,False,4,False,0,
65,31,s,True,62,4,True,32,False,30,False,4,False,0,
66,48,n,True,63,4,False,32,True,31,False,4,False,0,
67,21,s,True,64,4,True,33,False,31,False,4,False,0,
68,26,s,True,65,4,True,34,False,31,False,4,False,0,
69,16,s,True,66,4,True,35,False,31,False,4,False,0,
70,27,s,True,67,4,True,36,False,31,False,4,False,0,
71,8,n,True,68,4,False,36,True,32,False,4,False,0,
72,5,n,True,69,4,False,36,True,33,False,4,False,0,
73,27,s,True,70,4,True,37,False,33,False,4,False,0,
74,34,s,True,71,4,True,38,False,33,False,4,False,0,
75,25,s,True,72,4,True,39,False,33,False,4,False,0,
76,48,n,True,73,4,False,39,True,34,False,4,False,0,
77,45,n,True,74,4,False,39,True,35,False,4,False,0,
