Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,12,n,True,1,0,False,0,True,1,False,0,False,0,
1,33,s,True,2,0,True,1,False,1,False,0,False,0,
2,40,n,True,3,0,False,1,True,2,False,0,False,0,
3,10,n,True,4,0,False,1,True,3,False,0,False,0,
4,23,s,True,5,0,True,2,False,3,False,0,False,0,
5,36,s,True,6,0,True,3,False,3,False,0,False,0,
6,16,s,True,7,0,True,4,False,3,False,0,False,0,
7,8,n,True,8,0,False,4,True,4,False,0,False,0,
8,48,n,True,9,0,False,4,True,5,False,0,False,0,
9,44,n,True,10,0,False,4,True,6,False,0,False,0,
10,2,n,True,11,0,False,4,True,7,False,0,False,0,
11,26,n,False,11,1,False,4,False,7,False,0,True,1,
12,21,s,True,12,1,True,5,False,7,False,0,False,1,
13,11,n,True,13,1,False,5,True,8,False,0,False,1,
14,28,n,False,13,2,False,5,False,8,False,0,True,2,
15,12,n,True,14,2,False,5,True,9,False,0,False,2,
16,32,s,True,15,2,True,6,False,9,False,0,False,2,
17,48,n,True,16,2,False,6,True,10,False,0,False,2,
18,39,n,True,17,2,False,6,True,11,False,0,False,2,
19,12,n,True,18,2,False,6,True,12,False,0,False,2,
20,19,s,True,19,2,True,7,False,12,False,0,False,2,
21,37,n,True,20,2,False,7,True,13,False,0,False,2,
22,42,n,True,21,2,False,7,True,14,False,0,False,2,
23,2,n,True,22,2,False,7,True,15,False,0,False,2,
24,28,n,False,22,3,False,7,False,15,False,0,True,3,
25,4,n,True,23,3,False,7,True,16,False,0,False,3,
26,5,n,True,24,3,False,7,True,17,False,0,False,3,
27,22,s,True,25,3,True,8,False,17,False,0,False,3,
28,30,s,True,26,3,True,9,False,17,False,0,False,3,
29,25,n,False,26,4,False,9,False,17,False,0,True,4,
30,9,n,True,27,4,False,9,True,18,False,0,False,4,
31,3,n,True,28,4,False,9,True,19,False,0,False,4,
32,41,n,True,29,4,False,9,True,20,False,0,False,4,
33,20,s,True,30,4,True,10,False,20,False,0,False,4,
34,17,s,True,31,4,True,11,False,20,False,0,False,4,
35,47,n,True,32,4,False,11,True,21,False,0,False,4,
36,14,s,True,33,4,True,12,False,21,False,0,False,4,
37,10,n,True,34,4,False,12,True,22,False,0,False,4,
38,5,n,True,35,4,False,12,True,23,False,0,False,4,
39,29,s,True,36,4,True,13,False,23,False,0,False,4,
40,38,n,True,37,4,False,13,True,24,False,0,False,4,
41,34,s,True,38,4,True,14,False,24,False,0,False,4,
42,26,s,True,39,4,True,15,False,24,False,0,False,4,
43,3,n,True,40,4,False,15,True,25,False,0,False,4,
44,7,n,True,41,4,False,15,True,26,False,0,False,4,
45,47,n,True,42,4,False,15,True,27,False,0,False,4,
46,28,n,False,42,5,False,15,False,27,False,0,True,5,
47,1,n,True,43,5,False,15,True,28,False,0,False,5,
48,44,n,True,44,5,False,15,True,29,False,0,False,5,
49,32,s,True,45,5,True,16,False,29,False,0,False,5,
50,31,s,True,46,5,True,17,False,29,False,0,False,5,
51,39,n,True,47,5,False,17,True,30,False,0,False,5,
52,20,s,True,48,5,True,18,False,30,False,0,False,5,
53,22,s,True,49,5,True,19,False,30,False,0,False,5,
54,16,s,True,50,5,True,20,False,30,False,0,False,5,
55,42,n,True,51,5,False,20,True,31,False,0,False,5,
56,34,s,True,52,5,True,21,False,31,False,0,False,5,
57,15,s,True,53,5,True,22,False,31,False,0,False,5,
58,21,s,True,54,5,True,23,False,31,False,0,False,5,
59,31,s,True,55,5,True,24,False,31,False,0,False,5,
60,20,s,True,56,5,True,25,False,31,False,0,False,5,
61,46,n,True,57,5,False,25,True,32,False,0,False,5,
62,12,n,True,58,5,False,25,True,33,False,0,False,5,
63,3,n,True,59,5,False,25,True,34,False,0,False,5,
64,37,n,True,60,5,False,25,True,35,False,0,False,5,
65,34,s,True,61,5,True,26,False,35,False,0,False,5,
66,9,n,True,62,5,False,26,True,36,False,0,False,5,
67,44,n,True,63,5,False,26,True,37,False,0,False,5,
68,42,n,True,64,5,False,26,True,38,False,0,False,5,
69,44,n,True,65,5,False,26,True,39,False,0,False,5,
70,15,s,True,66,5,True,27,False,39,False,0,False,5,
71,43,n,True,67,5,False,27,True,40,False,0,False,5,
72,29,s,True,68,5,True,28,False,40,False,0,False,5,
73,36,s,True,69,5,True,29,False,40,False,0,False,5,
74,39,n,True,70,5,False,29,True,41,False,0,False,5,
75,31,s,True,71,5,True,30,False,41,False,0,False,5,
76,46,n,True,72,5,False,30,True,42,False,0,False,5,
77,17,s,True,73,5,True,31,False,42,False,0,False,5,
78,17,s,True,74,5,True,32,False,42,False,0,False,5,
