Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
13,7,n,1,10,4,False,140,1,81,False,3,False,28,
50,7,n,1,44,7,False,,1,,False,,False,,
93,7,n,1,81,13,False,,1,,False,,False,,
99,7,n,1,87,13,False,,1,,False,,False,,
139,7,n,1,120,20,False,,1,,False,,False,,
231,7,n,1,207,25,False,,1,,False,,False,,
295,7,n,1,267,29,False,,1,,False,,False,,
16,8,n,1,12,5,False,,1,,False,,False,,
21,8,n,1,17,5,False,,1,,False,,False,,
57,8,n,1,50,8,False,,1,,False,,False,,
87,8,n,1,76,12,False,,1,,False,,False,,
165,8,n,1,144,22,False,,1,,False,,False,,
229,8,n,1,205,25,False,,1,,False,,False,,
303,8,n,1,275,29,False,,1,,False,,False,,
1,9,n,1,1,1,False,,1,,False,,False,,
8,9,n,1,7,2,False,,1,,False,,False,,
105,9,n,1,92,14,False,,1,,False,,False,,
188,9,n,1,166,23,False,,1,,False,,False,,
256,9,n,1,229,28,False,,1,,False,,False,,
289,9,n,1,261,29,False,,1,,False,,False,,
294,9,n,1,266,29,False,,1,,False,,False,,
85,10,n,1,74,12,False,,1,,False,,False,,
110,10,n,1,97,14,False,,1,,False,,False,,
192,10,n,1,169,24,False,,1,,False,,False,,
221,10,n,1,198,24,False,,1,,False,,False,,
292,10,n,1,264,29,False,,1,,False,,False,,
300,10,n,1,272,29,False,,1,,False,,False,,
319,10,n,1,290,30,False,,1,,False,,False,,
3,11,n,1,2,2,False,,1,,False,,False,,
104,11,n,1,91,14,False,,1,,False,,False,,
109,11,n,1,96,14,False,,1,,False,,False,,
149,11,n,1,130,20,False,,1,,False,,False,,
161,11,n,1,142,20,False,,1,,False,,False,,
220,11,n,1,197,24,False,,1,,False,,False,,
250,11,n,1,223,28,False,,1,,False,,False,,
30,12,n,1,26,5,False,,1,,False,,False,,
135,12,n,1,116,20,False,,1,,False,,False,,
141,12,n,1,122,20,False,,1,,False,,False,,
209,12,n,1,186,24,False,,1,,False,,False,,
251,12,n,1,224,28,False,,1,,False,,False,,
301,12,n,1,273,29,False,,1,,False,,False,,
326,12,n,1,296,31,False,,1,,False,,False,,
34,13,s,1,29,6,1,,False,,False,,False,,
82,13,s,1,71,12,1,,False,,False,,False,,
83,13,s,1,72,12,1,,False,,False,,False,,
112,13,n,False,98,15,False,,False,,False,,1,,
158,13,s,1,139,20,1,,False,,False,,False,,
180,13,s,1,159,22,1,,False,,False,,False,,
193,13,s,1,170,24,1,,False,,False,,False,,
90,14,s,1,79,12,1,,False,,False,,False,,
129,14,n,False,110,20,False,,False,,False,,1,,
155,14,s,1,136,20,1,,False,,False,,False,,
196,14,s,1,173,24,1,,False,,False,,False,,
197,14,s,1,174,24,1,,False,,False,,False,,
218,14,s,1,195,24,1,,False,,False,,False,,
241,14,n,False,214,28,False,,False,,False,,1,,
2,15,n,False,1,2,False,,False,,False,,1,,
28,15,s,1,24,5,1,,False,,False,,False,,
63,15,s,1,55,9,1,,False,,False,,False,,
114,15,s,1,99,16,1,,False,,False,,False,,
136,15,s,1,117,20,1,,False,,False,,False,,
190,15,s,1,167,24,1,,False,,False,,False,,
309,15,s,1,280,30,1,,False,,False,,False,,
26,16,s,1,22,5,1,,False,,False,,False,,
47,16,s,1,41,7,1,,False,,False,,False,,
88,16,s,1,77,12,1,,False,,False,,False,,
107,16,s,1,94,14,1,,False,,False,,False,,
183,16,s,1,162,22,1,,False,,False,,False,,
233,16,s,1,209,25,1,,False,,False,,False,,
333,16,s,1,303,31,1,,False,,False,,False,,
14,17,n,False,10,5,False,,False,,False,,1,,
64,17,n,False,55,10,False,,False,,False,,1,,
94,17,s,1,82,13,1,,False,,False,,False,,
115,17,s,1,100,16,1,,False,,False,,False,,
157,17,s,1,138,20,1,,False,,False,,False,,
201,17,s,1,178,24,1,,False,,False,,False,,
335,17,s,1,305,31,1,,False,,False,,False,,
27,18,s,1,23,5,1,,False,,False,,False,,
39,18,s,1,34,6,1,,False,,False,,False,,
86,18,s,1,75,12,1,,False,,False,,False,,
130,18,s,1,111,20,1,,False,,False,,False,,
163,18,n,False,142,22,False,,False,,False,,1,,
205,18,s,1,182,24,1,,False,,False,,False,,
306,18,n,False,277,30,False,,False,,False,,1,,
131,19,s,1,112,20,1,,False,,False,,False,,
185,19,s,1,164,22,1,,False,,False,,False,,
189,19,n,False,166,24,False,,False,,False,,1,,
223,19,n,False,199,25,False,,False,,False,,1,,
246,19,s,1,219,28,1,,False,,False,,False,,
283,19,s,1,255,29,1,,False,,False,,False,,
327,19,s,1,297,31,1,,False,,False,,False,,
41,20,s,1,36,6,1,,False,,False,,False,,
66,20,s,1,57,10,1,,False,,False,,False,,
92,20,n,False,80,13,False,,False,,False,,1,,
122,20,n,False,105,18,False,,False,,False,,1,,
167,20,s,1,146,22,1,,False,,False,,False,,
186,20,n,False,164,23,False,,False,,False,,1,,
226,20,s,1,202,25,1,,False,,False,,False,,
9,21,s,1,8,2,1,,False,,False,,False,,
70,21,s,1,60,11,1,,False,,False,,False,,
91,21,s,1,80,12,1,,False,,False,,False,,
124,21,s,1,107,18,1,,False,,False,,False,,
282,21,s,1,254,29,1,,False,,False,,False,,
308,21,s,1,279,30,1,,False,,False,,False,,
323,21,s,1,294,30,1,,False,,False,,False,,
24,22,s,1,20,5,1,,False,,False,,False,,
55,22,s,1,48,8,1,,False,,False,,False,,
97,22,s,1,85,13,1,,False,,False,,False,,
142,22,s,1,123,20,1,,False,,False,,False,,
276,22,s,1,248,29,1,,False,,False,,False,,
299,22,s,1,271,29,1,,False,,False,,False,,
328,22,s,1,298,31,1,,False,,False,,False,,
116,23,n,False,100,17,False,,False,,False,,1,,
126,23,s,1,109,18,1,,False,,False,,False,,
140,23,s,1,121,20,1,,False,,False,,False,,
176,23,s,1,155,22,1,,False,,False,,False,,
261,23,s,1,233,29,1,,False,,False,,False,,
270,23,s,1,242,29,1,,False,,False,,False,,
320,23,s,1,291,30,1,,False,,False,,False,,
35,24,s,1,30,6,1,,False,,False,,False,,
37,24,s,1,32,6,1,,False,,False,,False,,
52,24,s,1,46,7,1,,False,,False,,False,,
76,24,s,1,66,11,1,,False,,False,,False,,
133,24,s,1,114,20,1,,False,,False,,False,,
146,24,s,1,127,20,1,,False,,False,,False,,
179,24,s,1,158,22,1,,False,,False,,False,,
100,25,s,1,88,13,1,,False,,False,,False,,
102,25,s,1,89,14,1,,False,,False,,False,,
113,25,n,False,98,16,False,,False,,False,,1,,
169,25,s,1,148,22,1,,False,,False,,False,,
195,25,s,1,172,24,1,,False,,False,,False,,
216,25,s,1,193,24,1,,False,,False,,False,,
264,25,s,1,236,29,1,,False,,False,,False,,
0,26,n,False,0,1,False,,False,,False,,1,,
33,26,n,False,28,6,False,,False,,False,,1,,
74,26,s,1,64,11,1,,False,,False,,False,,
162,26,n,False,142,21,False,,False,,False,,1,,
171,26,s,1,150,22,1,,False,,False,,False,,
212,26,s,1,189,24,1,,False,,False,,False,,
238,26,s,1,212,27,1,,False,,False,,False,,
31,27,s,1,27,5,1,,False,,False,,False,,
72,27,s,1,62,11,1,,False,,False,,False,,
137,27,s,1,118,20,1,,False,,False,,False,,
147,27,s,1,128,20,1,,False,,False,,False,,
182,27,s,1,161,22,1,,False,,False,,False,,
252,27,s,1,225,28,1,,False,,False,,False,,
266,27,s,1,238,29,1,,False,,False,,False,,
49,28,s,1,43,7,1,,False,,False,,False,,
53,28,n,False,46,8,False,,False,,False,,1,,
81,28,n,False,70,12,False,,False,,False,,1,,
202,28,s,1,179,24,1,,False,,False,,False,,
232,28,s,1,208,25,1,,False,,False,,False,,
234,28,n,False,209,26,False,,False,,False,,1,,
287,28,s,1,259,29,1,,False,,False,,False,,
62,29,s,1,54,9,1,,False,,False,,False,,
108,29,s,1,95,14,1,,False,,False,,False,,
168,29,s,1,147,22,1,,False,,False,,False,,
230,29,s,1,206,25,1,,False,,False,,False,,
288,29,s,1,260,29,1,,False,,False,,False,,
302,29,s,1,274,29,1,,False,,False,,False,,
322,29,s,1,293,30,1,,False,,False,,False,,
45,30,s,1,40,6,1,,False,,False,,False,,
78,30,s,1,68,11,1,,False,,False,,False,,
120,30,s,1,104,17,1,,False,,False,,False,,
237,30,n,False,211,27,False,,False,,False,,1,,
242,30,s,1,215,28,1,,False,,False,,False,,
278,30,s,1,250,29,1,,False,,False,,False,,
290,30,s,1,262,29,1,,False,,False,,False,,
22,31,s,1,18,5,1,,False,,False,,False,,
111,31,s,1,98,14,1,,False,,False,,False,,
184,31,s,1,163,22,1,,False,,False,,False,,
198,31,s,1,175,24,1,,False,,False,,False,,
262,31,s,1,234,29,1,,False,,False,,False,,
263,31,s,1,235,29,1,,False,,False,,False,,
281,31,s,1,253,29,1,,False,,False,,False,,
18,32,s,1,14,5,1,,False,,False,,False,,
29,32,s,1,25,5,1,,False,,False,,False,,
38,32,s,1,33,6,1,,False,,False,,False,,
173,32,s,1,152,22,1,,False,,False,,False,,
245,32,s,1,218,28,1,,False,,False,,False,,
255,32,s,1,228,28,1,,False,,False,,False,,
273,32,s,1,245,29,1,,False,,False,,False,,
11,33,n,False,8,4,False,,False,,False,,1,,
36,33,s,1,31,6,1,,False,,False,,False,,
154,33,s,1,135,20,1,,False,,False,,False,,
166,33,s,1,145,22,1,,False,,False,,False,,
227,33,s,1,203,25,1,,False,,False,,False,,
258,33,s,1,231,28,1,,False,,False,,False,,
259,33,s,1,232,28,1,,False,,False,,False,,
71,34,s,1,61,11,1,,False,,False,,False,,
153,34,s,1,134,20,1,,False,,False,,False,,
187,34,s,1,165,23,1,,False,,False,,False,,
224,34,s,1,200,25,1,,False,,False,,False,,
239,34,s,1,213,27,1,,False,,False,,False,,
284,34,s,1,256,29,1,,False,,False,,False,,
325,34,n,False,295,31,False,,False,,False,,1,,
69,35,n,False,59,11,False,,False,,False,,1,,
84,35,s,1,73,12,1,,False,,False,,False,,
101,35,n,False,88,14,False,,False,,False,,1,,
159,35,s,1,140,20,1,,False,,False,,False,,
208,35,s,1,185,24,1,,False,,False,,False,,
243,35,s,1,216,28,1,,False,,False,,False,,
312,35,s,1,283,30,1,,False,,False,,False,,
5,36,s,1,4,2,1,,False,,False,,False,,
46,36,n,False,40,7,False,,False,,False,,1,,
61,36,n,False,53,9,False,,False,,False,,1,,
96,36,s,1,84,13,1,,False,,False,,False,,
152,36,s,1,133,20,1,,False,,False,,False,,
211,36,s,1,188,24,1,,False,,False,,False,,
314,36,s,1,285,30,1,,False,,False,,False,,
42,37,n,1,37,6,False,,1,,False,,False,,
68,37,n,1,59,10,False,,1,,False,,False,,
75,37,n,1,65,11,False,,1,,False,,False,,
117,37,n,1,101,17,False,,1,,False,,False,,
127,37,n,1,110,18,False,,1,,False,,False,,
222,37,n,1,199,24,False,,1,,False,,False,,
296,37,n,1,268,29,False,,1,,False,,False,,
80,38,n,1,70,11,False,,1,,False,,False,,
177,38,n,1,156,22,False,,1,,False,,False,,
213,38,n,1,190,24,False,,1,,False,,False,,
235,38,n,1,210,26,False,,1,,False,,False,,
257,38,n,1,230,28,False,,1,,False,,False,,
260,38,s,False,232,29,False,,False,,1,,False,,
321,38,n,1,292,30,False,,1,,False,,False,,
4,39,n,1,3,2,False,,1,,False,,False,,
20,39,n,1,16,5,False,,1,,False,,False,,
25,39,n,1,21,5,False,,1,,False,,False,,
151,39,n,1,132,20,False,,1,,False,,False,,
174,39,n,1,153,22,False,,1,,False,,False,,
210,39,n,1,187,24,False,,1,,False,,False,,
315,39,n,1,286,30,False,,1,,False,,False,,
10,40,s,False,8,3,False,,False,,1,,False,,
15,40,n,1,11,5,False,,1,,False,,False,,
54,40,n,1,47,8,False,,1,,False,,False,,
59,40,n,1,52,8,False,,1,,False,,False,,
128,40,s,False,110,19,False,,False,,1,,False,,
219,40,n,1,196,24,False,,1,,False,,False,,
324,40,n,1,295,30,False,,1,,False,,False,,
7,41,n,1,6,2,False,,1,,False,,False,,
60,41,n,1,53,8,False,,1,,False,,False,,
194,41,n,1,171,24,False,,1,,False,,False,,
248,41,n,1,221,28,False,,1,,False,,False,,
297,41,n,1,269,29,False,,1,,False,,False,,
332,41,n,1,302,31,False,,1,,False,,False,,
334,41,n,1,304,31,False,,1,,False,,False,,
77,42,n,1,67,11,False,,1,,False,,False,,
103,42,n,1,90,14,False,,1,,False,,False,,
148,42,n,1,129,20,False,,1,,False,,False,,
199,42,n,1,176,24,False,,1,,False,,False,,
244,42,n,1,217,28,False,,1,,False,,False,,
249,42,n,1,222,28,False,,1,,False,,False,,
277,42,n,1,249,29,False,,1,,False,,False,,
65,43,n,1,56,10,False,,1,,False,,False,,
98,43,n,1,86,13,False,,1,,False,,False,,
123,43,n,1,106,18,False,,1,,False,,False,,
132,43,n,1,113,20,False,,1,,False,,False,,
143,43,n,1,124,20,False,,1,,False,,False,,
274,43,n,1,246,29,False,,1,,False,,False,,
329,43,n,1,299,31,False,,1,,False,,False,,
89,44,n,1,78,12,False,,1,,False,,False,,
119,44,n,1,103,17,False,,1,,False,,False,,
125,44,n,1,108,18,False,,1,,False,,False,,
240,44,n,1,214,27,False,,1,,False,,False,,
247,44,n,1,220,28,False,,1,,False,,False,,
267,44,n,1,239,29,False,,1,,False,,False,,
271,44,n,1,243,29,False,,1,,False,,False,,
6,45,n,1,5,2,False,,1,,False,,False,,
48,45,n,1,42,7,False,,1,,False,,False,,
67,45,n,1,58,10,False,,1,,False,,False,,
156,45,n,1,137,20,False,,1,,False,,False,,
172,45,n,1,151,22,False,,1,,False,,False,,
236,45,n,1,211,26,False,,1,,False,,False,,
291,45,n,1,263,29,False,,1,,False,,False,,
118,46,n,1,102,17,False,,1,,False,,False,,
254,46,n,1,227,28,False,,1,,False,,False,,
269,46,n,1,241,29,False,,1,,False,,False,,
305,46,n,1,277,29,False,,1,,False,,False,,
311,46,n,1,282,30,False,,1,,False,,False,,
330,46,n,1,300,31,False,,1,,False,,False,,
331,46,n,1,301,31,False,,1,,False,,False,,
44,47,n,1,39,6,False,,1,,False,,False,,
56,47,n,1,49,8,False,,1,,False,,False,,
121,47,n,1,105,17,False,,1,,False,,False,,
134,47,n,1,115,20,False,,1,,False,,False,,
285,47,n,1,257,29,False,,1,,False,,False,,
304,47,n,1,276,29,False,,1,,False,,False,,
318,47,n,1,289,30,False,,1,,False,,False,,
73,48,n,1,63,11,False,,1,,False,,False,,
178,48,n,1,157,22,False,,1,,False,,False,,
181,48,n,1,160,22,False,,1,,False,,False,,
228,48,n,1,204,25,False,,1,,False,,False,,
272,48,n,1,244,29,False,,1,,False,,False,,
279,48,n,1,251,29,False,,1,,False,,False,,
293,48,n,1,265,29,False,,1,,False,,False,,
