Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
3,7,s,False,2,2,False,167,False,50,1,34,False,1,
51,7,s,False,42,10,False,,False,,1,,False,,
206,7,s,False,181,26,False,,False,,1,,False,,
208,7,n,1,183,26,False,,1,,False,,False,,
242,7,s,False,214,29,False,,False,,1,,False,,
261,7,s,False,231,31,False,,False,,1,,False,,
262,7,s,False,231,32,False,,False,,1,,False,,
108,8,s,False,94,15,False,,False,,1,,False,,
175,8,n,1,154,22,False,,1,,False,,False,,
221,8,n,1,195,27,False,,1,,False,,False,,
228,8,n,1,202,27,False,,1,,False,,False,,
266,8,n,1,235,32,False,,1,,False,,False,,
303,8,n,1,269,35,False,,1,,False,,False,,
317,8,n,1,283,35,False,,1,,False,,False,,
0,9,n,1,1,0,False,,1,,False,,False,,
125,9,s,False,108,18,False,,False,,1,,False,,
132,9,s,False,114,19,False,,False,,1,,False,,
155,9,n,1,135,21,False,,1,,False,,False,,
236,9,n,1,210,27,False,,1,,False,,False,,
265,9,n,1,234,32,False,,1,,False,,False,,
315,9,n,1,281,35,False,,1,,False,,False,,
65,10,s,False,55,11,False,,False,,1,,False,,
149,10,s,False,129,21,False,,False,,1,,False,,
157,10,n,1,137,21,False,,1,,False,,False,,
159,10,s,False,138,22,False,,False,,1,,False,,
196,10,n,1,172,25,False,,1,,False,,False,,
219,10,n,1,193,27,False,,1,,False,,False,,
272,10,n,1,241,32,False,,1,,False,,False,,
7,11,n,1,5,3,False,,1,,False,,False,,
16,11,n,1,13,4,False,,1,,False,,False,,
30,11,n,1,27,4,False,,1,,False,,False,,
43,11,s,False,36,8,False,,False,,1,,False,,
134,11,n,1,116,19,False,,1,,False,,False,,
183,11,s,False,160,24,False,,False,,1,,False,,
252,11,n,1,224,29,False,,1,,False,,False,,
12,12,n,1,9,4,False,,1,,False,,False,,
115,12,n,1,101,15,False,,1,,False,,False,,
130,12,n,1,113,18,False,,1,,False,,False,,
152,12,n,1,132,21,False,,1,,False,,False,,
171,12,n,1,150,22,False,,1,,False,,False,,
199,12,n,1,175,25,False,,1,,False,,False,,
295,12,n,1,261,35,False,,1,,False,,False,,
24,13,s,1,21,4,1,,False,,False,,False,,
191,13,s,1,167,25,1,,False,,False,,False,,
195,13,s,1,171,25,1,,False,,False,,False,,
258,13,s,1,229,30,1,,False,,False,,False,,
263,13,s,1,232,32,1,,False,,False,,False,,
278,13,s,1,246,33,1,,False,,False,,False,,
329,13,s,1,294,36,1,,False,,False,,False,,
14,14,s,1,11,4,1,,False,,False,,False,,
66,14,s,1,56,11,1,,False,,False,,False,,
86,14,s,1,75,12,1,,False,,False,,False,,
142,14,s,1,124,19,1,,False,,False,,False,,
151,14,s,1,131,21,1,,False,,False,,False,,
226,14,s,1,200,27,1,,False,,False,,False,,
268,14,s,1,237,32,1,,False,,False,,False,,
28,15,s,1,25,4,1,,False,,False,,False,,
38,15,s,1,32,7,1,,False,,False,,False,,
58,15,s,1,49,10,1,,False,,False,,False,,
92,15,s,1,81,12,1,,False,,False,,False,,
180,15,s,1,158,23,1,,False,,False,,False,,
249,15,s,1,221,29,1,,False,,False,,False,,
269,15,s,1,238,32,1,,False,,False,,False,,
40,16,s,1,34,7,1,,False,,False,,False,,
46,16,s,1,39,8,1,,False,,False,,False,,
177,16,s,1,156,22,1,,False,,False,,False,,
241,16,s,1,214,28,1,,False,,False,,False,,
273,16,s,1,242,32,1,,False,,False,,False,,
323,16,s,1,288,36,1,,False,,False,,False,,
328,16,s,1,293,36,1,,False,,False,,False,,
75,17,s,1,64,12,1,,False,,False,,False,,
143,17,s,1,125,19,1,,False,,False,,False,,
168,17,s,1,147,22,1,,False,,False,,False,,
169,17,s,1,148,22,1,,False,,False,,False,,
187,17,s,1,164,24,1,,False,,False,,False,,
211,17,s,1,186,26,1,,False,,False,,False,,
311,17,s,1,277,35,1,,False,,False,,False,,
55,18,s,1,46,10,1,,False,,False,,False,,
135,18,s,1,117,19,1,,False,,False,,False,,
140,18,s,1,122,19,1,,False,,False,,False,,
147,18,s,1,128,20,1,,False,,False,,False,,
173,18,s,1,152,22,1,,False,,False,,False,,
201,18,s,1,177,25,1,,False,,False,,False,,
314,18,s,1,280,35,1,,False,,False,,False,,
11,19,s,1,8,4,1,,False,,False,,False,,
27,19,s,1,24,4,1,,False,,False,,False,,
61,19,s,1,52,10,1,,False,,False,,False,,
124,19,s,1,108,17,1,,False,,False,,False,,
186,19,s,1,163,24,1,,False,,False,,False,,
276,19,s,1,245,32,1,,False,,False,,False,,
306,19,s,1,272,35,1,,False,,False,,False,,
2,20,s,1,2,1,1,,False,,False,,False,,
37,20,s,1,31,7,1,,False,,False,,False,,
91,20,s,1,80,12,1,,False,,False,,False,,
161,20,s,1,140,22,1,,False,,False,,False,,
200,20,s,1,176,25,1,,False,,False,,False,,
213,20,s,1,188,26,1,,False,,False,,False,,
250,20,s,1,222,29,1,,False,,False,,False,,
26,21,s,1,23,4,1,,False,,False,,False,,
35,21,s,1,29,7,1,,False,,False,,False,,
63,21,s,1,54,10,1,,False,,False,,False,,
112,21,s,1,98,15,1,,False,,False,,False,,
114,21,s,1,100,15,1,,False,,False,,False,,
118,21,s,1,104,15,1,,False,,False,,False,,
197,21,s,1,173,25,1,,False,,False,,False,,
15,22,s,1,12,4,1,,False,,False,,False,,
54,22,s,1,45,10,1,,False,,False,,False,,
72,22,s,1,62,11,1,,False,,False,,False,,
77,22,s,1,66,12,1,,False,,False,,False,,
194,22,s,1,170,25,1,,False,,False,,False,,
202,22,s,1,178,25,1,,False,,False,,False,,
293,22,s,1,260,34,1,,False,,False,,False,,
81,23,s,1,70,12,1,,False,,False,,False,,
126,23,s,1,109,18,1,,False,,False,,False,,
229,23,s,1,203,27,1,,False,,False,,False,,
245,23,s,1,217,29,1,,False,,False,,False,,
255,23,s,1,226,30,1,,False,,False,,False,,
304,23,s,1,270,35,1,,False,,False,,False,,
305,23,s,1,271,35,1,,False,,False,,False,,
6,24,s,1,4,3,1,,False,,False,,False,,
57,24,s,1,48,10,1,,False,,False,,False,,
78,24,s,1,67,12,1,,False,,False,,False,,
127,24,s,1,110,18,1,,False,,False,,False,,
235,24,s,1,209,27,1,,False,,False,,False,,
283,24,s,1,250,34,1,,False,,False,,False,,
287,24,s,1,254,34,1,,False,,False,,False,,
44,25,s,1,37,8,1,,False,,False,,False,,
111,25,s,1,97,15,1,,False,,False,,False,,
166,25,s,1,145,22,1,,False,,False,,False,,
224,25,s,1,198,27,1,,False,,False,,False,,
238,25,s,1,211,28,1,,False,,False,,False,,
282,25,s,1,249,34,1,,False,,False,,False,,
290,25,s,1,257,34,1,,False,,False,,False,,
22,26,s,1,19,4,1,,False,,False,,False,,
71,26,s,1,61,11,1,,False,,False,,False,,
88,26,s,1,77,12,1,,False,,False,,False,,
212,26,s,1,187,26,1,,False,,False,,False,,
232,26,s,1,206,27,1,,False,,False,,False,,
300,26,s,1,266,35,1,,False,,False,,False,,
330,26,s,1,295,36,1,,False,,False,,False,,
64,27,s,1,55,10,1,,False,,False,,False,,
90,27,s,1,79,12,1,,False,,False,,False,,
94,27,s,1,83,12,1,,False,,False,,False,,
185,27,s,1,162,24,1,,False,,False,,False,,
189,27,s,1,165,25,1,,False,,False,,False,,
204,27,s,1,180,25,1,,False,,False,,False,,
335,27,s,1,300,36,1,,False,,False,,False,,
41,28,s,1,35,7,1,,False,,False,,False,,
73,28,s,1,63,11,1,,False,,False,,False,,
104,28,s,1,92,13,1,,False,,False,,False,,
117,28,s,1,103,15,1,,False,,False,,False,,
156,28,s,1,136,21,1,,False,,False,,False,,
248,28,s,1,220,29,1,,False,,False,,False,,
319,28,s,1,285,35,1,,False,,False,,False,,
34,29,s,1,28,7,1,,False,,False,,False,,
93,29,s,1,82,12,1,,False,,False,,False,,
102,29,s,1,90,13,1,,False,,False,,False,,
223,29,s,1,197,27,1,,False,,False,,False,,
230,29,s,1,204,27,1,,False,,False,,False,,
243,29,s,1,215,29,1,,False,,False,,False,,
301,29,s,1,267,35,1,,False,,False,,False,,
53,30,s,1,44,10,1,,False,,False,,False,,
103,30,s,1,91,13,1,,False,,False,,False,,
110,30,s,1,96,15,1,,False,,False,,False,,
190,30,s,1,166,25,1,,False,,False,,False,,
288,30,s,1,255,34,1,,False,,False,,False,,
309,30,s,1,275,35,1,,False,,False,,False,,
325,30,s,1,290,36,1,,False,,False,,False,,
13,31,s,1,10,4,1,,False,,False,,False,,
83,31,s,1,72,12,1,,False,,False,,False,,
129,31,s,1,112,18,1,,False,,False,,False,,
160,31,s,1,139,22,1,,False,,False,,False,,
192,31,s,1,168,25,1,,False,,False,,False,,
244,31,s,1,216,29,1,,False,,False,,False,,
251,31,s,1,223,29,1,,False,,False,,False,,
39,32,s,1,33,7,1,,False,,False,,False,,
45,32,s,1,38,8,1,,False,,False,,False,,
141,32,s,1,123,19,1,,False,,False,,False,,
146,32,s,1,127,20,1,,False,,False,,False,,
150,32,s,1,130,21,1,,False,,False,,False,,
296,32,s,1,262,35,1,,False,,False,,False,,
310,32,s,1,276,35,1,,False,,False,,False,,
18,33,s,1,15,4,1,,False,,False,,False,,
36,33,s,1,30,7,1,,False,,False,,False,,
174,33,s,1,153,22,1,,False,,False,,False,,
214,33,s,1,189,26,1,,False,,False,,False,,
225,33,s,1,199,27,1,,False,,False,,False,,
270,33,s,1,239,32,1,,False,,False,,False,,
331,33,s,1,296,36,1,,False,,False,,False,,
17,34,s,1,14,4,1,,False,,False,,False,,
47,34,s,1,40,8,1,,False,,False,,False,,
52,34,s,1,43,10,1,,False,,False,,False,,
70,34,s,1,60,11,1,,False,,False,,False,,
97,34,s,1,86,12,1,,False,,False,,False,,
158,34,s,1,138,21,1,,False,,False,,False,,
215,34,n,False,189,27,False,,False,,False,,1,,
9,35,s,1,6,4,1,,False,,False,,False,,
60,35,s,1,51,10,1,,False,,False,,False,,
198,35,s,1,174,25,1,,False,,False,,False,,
264,35,s,1,233,32,1,,False,,False,,False,,
267,35,s,1,236,32,1,,False,,False,,False,,
302,35,s,1,268,35,1,,False,,False,,False,,
327,35,s,1,292,36,1,,False,,False,,False,,
109,36,s,1,95,15,1,,False,,False,,False,,
148,36,s,1,129,20,1,,False,,False,,False,,
181,36,s,1,159,23,1,,False,,False,,False,,
205,36,s,1,181,25,1,,False,,False,,False,,
209,36,s,1,184,26,1,,False,,False,,False,,
239,36,s,1,212,28,1,,False,,False,,False,,
320,36,s,1,286,35,1,,False,,False,,False,,
48,37,n,1,41,8,False,,1,,False,,False,,
106,37,s,False,93,14,False,,False,,1,,False,,
153,37,n,1,133,21,False,,1,,False,,False,,
170,37,n,1,149,22,False,,1,,False,,False,,
178,37,s,False,156,23,False,,False,,1,,False,,
275,37,n,1,244,32,False,,1,,False,,False,,
279,37,n,1,247,33,False,,1,,False,,False,,
8,38,s,False,5,4,False,,False,,1,,False,,
