Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,1,n,True,1,0,False,0,True,1,False,0,False,0,
1,36,s,True,2,0,True,1,False,1,False,0,False,0,
2,42,n,True,3,0,False,1,True,2,False,0,False,0,
3,17,s,True,4,0,True,2,False,2,False,0,False,0,
4,43,n,True,5,0,False,2,True,3,False,0,False,0,
5,37,s,False,5,1,False,2,False,3,True,1,False,0,
6,15,s,True,6,1,True,3,False,3,False,1,False,0,
7,47,n,True,7,1,False,3,True,4,False,1,False,0,
8,41,s,False,7,2,False,3,False,4,True,2,False,0,
9,19,n,False,7,3,False,3,False,4,False,2,True,1,
10,40,s,False,7,4,False,3,False,4,True,3,False,1,
11,18,s,True,8,4,True,4,False,4,False,3,False,1,
12,47,n,True,9,4,False,4,True,5,False,3,False,1,
13,21,s,True,10,4,True,5,False,5,False,3,False,1,
14,19,s,True,11,4,True,6,False,5,False,3,False,1,
15,22,s,True,12,4,True,7,False,5,False,3,False,1,
16,37,s,False,12,5,False,7,False,5,True,4,False,1,
17,11,n,True,13,5,False,7,True,6,False,4,False,1,
18,23,n,False,13,6,False,7,False,6,False,4,True,2,
19,31,s,True,14,6,True,8,False,6,False,4,False,2,
20,28,n,False,14,7,False,8,False,6,False,4,True,3,
21,15,s,True,15,7,True,9,False,6,False,4,False,3,
22,46,n,True,16,7,False,9,True,7,False,4,False,3,
23,30,s,True,17,7,True,10,False,7,False,4,False,3,
24,4,n,True,18,7,False,10,True,8,False,4,False,3,
25,47,s,False,18,8,False,10,False,8,True,5,False,3,
26,45,s,False,18,9,False,10,False,8,True,6,False,3,
27,28,s,True,19,9,True,11,False,8,False,6,False,3,
28,41,s,False,19,10,False,11,False,8,True,7,False,3,
29,46,s,False,19,11,False,11,False,8,True,8,False,3,
30,18,s,True,20,11,True,12,False,8,False,8,False,3,
31,40,n,True,21,11,False,12,True,9,False,8,False,3,
32,1,s,False,21,12,False,12,False,9,True,9,False,3,
33,18,s,True,22,12,True,13,False,9,False,9,False,3,
34,33,s,True,23,12,True,14,False,9,False,9,False,3,
35,39,s,False,23,13,False,14,False,9,True,10,False,3,
36,22,s,True,24,13,True,15,False,9,False,10,False,3,
37,21,s,True,25,13,True,16,False,9,False,10,False,3,
38,32,s,True,26,13,True,17,False,9,False,10,False,3,
39,1,s,False,26,14,False,17,False,9,True,11,False,3,
40,10,n,True,27,14,False,17,True,10,False,11,False,3,
41,36,n,False,27,15,False,17,False,10,False,11,True,4,
42,42,n,True,28,15,False,17,True,11,False,11,False,4,
43,7,n,True,29,15,False,17,True,12,False,11,False,4,
44,23,s,True,30,15,True,18,False,12,False,11,False,4,
45,36,n,False,30,16,False,18,False,12,False,11,True,5,
46,7,s,False,30,17,False,18,False,12,True,12,False,5,
47,5,n,True,31,17,False,18,True,13,False,12,False,5,
48,33,s,True,32,17,True,19,False,13,False,12,False,5,
49,33,s,True,33,17,True,20,False,13,False,12,False,5,
50,47,s,False,33,18,False,20,False,13,True,13,False,5,
51,40,s,False,33,19,False,20,False,13,True,14,False,5,
52,18,s,True,34,19,True,21,False,13,False,14,False,5,
53,38,s,False,34,20,False,21,False,13,True,15,False,5,
54,45,s,False,34,21,False,21,False,13,True,16,False,5,
55,2,n,True,35,21,False,21,True,14,False,16,False,5,
56,48,s,False,35,22,False,21,False,14,True,17,False,5,
57,10,s,False,35,23,False,21,False,14,True,18,False,5,
58,9,n,True,36,23,False,21,True,15,False,18,False,5,
59,25,s,True,37,23,True,22,False,15,False,18,False,5,
60,40,s,False,37,24,False,22,False,15,True,19,False,5,
61,32,s,True,38,24,True,23,False,15,False,19,False,5,
62,46,s,False,38,25,False,23,False,15,True,20,False,5,
63,9,s,False,38,26,False,23,False,15,True,21,False,5,
64,22,s,True,39,26,True,24,False,15,False,21,False,5,
65,21,s,True,40,26,True,25,False,15,False,21,False,5,
66,4,s,False,40,27,False,25,False,15,True,22,False,5,
67,6,n,True,41,27,False,25,True,16,False,22,False,5,
68,37,n,True,42,27,False,25,True,17,False,22,False,5,
69,38,n,True,43,27,False,25,True,18,False,22,False,5,
70,1,n,True,44,27,False,25,True,19,False,22,False,5,
71,32,n,False,44,28,False,25,False,19,False,22,True,6,
72,30,n,False,44,29,False,25,False,19,False,22,True,7,
73,23,n,False,44,30,False,25,False,19,False,22,True,8,
74,13,s,True,45,30,True,26,False,19,False,22,False,8,
75,1,n,True,46,30,False,26,True,20,False,22,False,8,
76,44,s,False,46,31,False,26,False,20,True,23,False,8,
77,13,n,False,46,32,False,26,False,20,False,23,True,9,
78,44,s,False,46,33,False,26,False,20,True,24,False,9,
79,10,s,False,46,34,False,26,False,20,True,25,False,9,
80,3,s,False,46,35,False,26,False,20,True,26,False,9,
81,13,s,True,47,35,True,27,False,20,False,26,False,9,
82,3,s,False,47,36,False,27,False,20,True,27,False,9,
83,20,s,True,48,36,True,28,False,20,False,27,False,9,
84,38,s,False,48,37,False,28,False,20,True,28,False,9,
85,17,s,True,49,37,True,29,False,20,False,28,False,9,
86,3,s,False,49,38,False,29,False,20,True,29,False,9,
87,12,s,False,49,39,False,29,False,20,True,30,False,9,
88,21,s,True,50,39,True,30,False,20,False,30,False,9,
89,15,s,True,51,39,True,31,False,20,False,30,False,9,
90,16,s,True,52,39,True,32,False,20,False,30,False,9,
91,11,s,False,52,40,False,32,False,20,True,31,False,9,
92,11,s,False,52,41,False,32,False,20,True,32,False,9,
93,3,n,True,53,41,False,32,True,21,False,32,False,9,
94,30,s,True,54,41,True,33,False,21,False,32,False,9,
95,9,s,False,54,42,False,33,False,21,True,33,False,9,
96,24,s,True,55,42,True,34,False,21,False,33,False,9,
97,20,n,False,55,43,False,34,False,21,False,33,True,10,
98,34,s,True,56,43,True,35,False,21,False,33,False,10,
99,43,s,False,56,44,False,35,False,21,True,34,False,10,
100,9,n,True,57,44,False,35,True,22,False,34,False,10,
101,2,n,True,58,44,False,35,True,23,False,34,False,10,
102,4,n,True,59,44,False,35,True,24,False,34,False,10,
103,19,n,False,59,45,False,35,False,24,False,34,True,11,
104,34,n,False,59,46,False,35,False,24,False,34,True,12,
105,32,s,True,60,46,True,36,False,24,False,34,False,12,
106,48,n,True,61,46,False,36,True,25,False,34,False,12,
107,27,n,False,61,47,False,36,False,25,False,34,True,13,
108,13,s,True,62,47,True,37,False,25,False,34,False,13,
109,37,s,False,62,48,False,37,False,25,True,35,False,13,
110,26,s,True,63,48,True,38,False,25,False,35,False,13,
111,44,n,True,64,48,False,38,True,26,False,35,False,13,
112,27,n,False,64,49,False,38,False,26,False,35,True,14,
113,48,n,True,65,49,False,38,True,27,False,35,False,14,
114,40,n,True,66,49,False,38,True,28,False,35,False,14,
115,4,n,True,67,49,False,38,True,29,False,35,False,14,
116,12,n,True,68,49,False,38,True,30,False,35,False,14,
117,38,s,False,68,50,False,38,False,30,True,36,False,14,
118,4,n,True,69,50,False,38,True,31,False,36,False,14,
119,47,n,True,70,50,False,38,True,32,False,36,False,14,
120,9,s,False,70,51,False,38,False,32,True,37,False,14,
121,38,s,False,70,52,False,38,False,32,True,38,False,14,
122,14,s,True,71,52,True,39,False,32,False,38,False,14,
123,5,s,False,71,53,False,39,False,32,True,39,False,14,
124,30,s,True,72,53,True,40,False,32,False,39,False,14,
