Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,47,n,True,1,0,False,0,True,1,False,0,False,0,
1,38,s,False,1,1,False,0,False,1,True,1,False,0,
2,36,s,True,2,1,True,1,False,1,False,1,False,0,
3,7,n,True,3,1,False,1,True,2,False,1,False,0,
4,45,n,True,4,1,False,1,True,3,False,1,False,0,
5,12,n,True,5,1,False,1,True,4,False,1,False,0,
6,37,n,True,6,1,False,1,True,5,False,1,False,0,
7,20,s,True,7,1,True,2,False,5,False,1,False,0,
8,7,n,True,8,1,False,2,True,6,False,1,False,0,
9,40,n,True,9,1,False,2,True,7,False,1,False,0,
10,47,n,True,10,1,False,2,True,8,False,1,False,0,
11,19,s,True,11,1,True,3,False,8,False,1,False,0,
12,45,n,True,12,1,False,3,True,9,False,1,False,0,
13,23,n,False,12,2,False,3,False,9,False,1,True,1,
14,44,n,True,13,2,False,3,True,10,False,1,False,1,
15,28,n,False,13,3,False,3,False,10,False,1,True,2,
16,32,s,True,14,3,True,4,False,10,False,1,False,2,
17,6,n,True,15,3,False,4,True,11,False,1,False,2,
18,29,s,True,16,3,True,5,False,11,False,1,False,2,
19,40,s,False,16,4,False,5,False,11,True,2,False,2,
20,6,n,True,17,4,False,5,True,12,False,2,False,2,
21,22,s,True,18,4,True,6,False,12,False,2,False,2,
22,26,s,True,19,4,True,7,False,12,False,2,False,2,
23,47,n,True,20,4,False,7,True,13,False,2,False,2,
24,28,n,False,20,5,False,7,False,13,False,2,True,3,
25,48,n,True,21,5,False,7,True,14,False,2,False,3,
26,35,n,False,21,6,False,7,False,14,False,2,True,4,
27,31,s,True,22,6,True,8,False,14,False,2,False,4,
28,1,n,True,23,6,False,8,True,15,False,2,False,4,
29,37,n,True,24,6,False,8,True,16,False,2,False,4,
30,13,s,True,25,6,True,9,False,16,False,2,False,4,
31,44,n,True,26,6,False,9,True,17,False,2,False,4,
32,36,s,True,27,6,True,10,False,17,False,2,False,4,
33,13,n,False,27,7,False,10,False,17,False,2,True,5,
34,19,s,True,28,7,True,11,False,17,False,2,False,5,
35,39,n,True,29,7,False,11,True,18,False,2,False,5,
36,45,n,True,30,7,False,11,True,19,False,2,False,5,
37,42,s,False,30,8,False,11,False,19,True,3,False,5,
38,9,n,True,31,8,False,11,True,20,False,3,False,5,
39,23,s,True,32,8,True,12,False,20,False,3,False,5,
40,24,s,True,33,8,True,13,False,20,False,3,False,5,
41,30,s,True,34,8,True,14,False,20,False,3,False,5,
42,34,n,False,34,9,False,14,False,20,False,3,True,6,
43,13,s,True,35,9,True,15,False,20,False,3,False,6,
44,22,s,True,36,9,True,16,False,20,False,3,False,6,
45,11,n,True,37,9,False,16,True,21,False,3,False,6,
46,18,s,True,38,9,True,17,False,21,False,3,False,6,
47,45,n,True,39,9,False,17,True,22,False,3,False,6,
48,31,s,True,40,9,True,18,False,22,False,3,False,6,
49,10,n,True,41,9,False,18,True,23,False,3,False,6,
50,20,s,True,42,9,True,19,False,23,False,3,False,6,
51,27,n,False,42,10,False,19,False,23,False,3,True,7,
52,6,n,True,43,10,False,19,True,24,False,3,False,7,
53,34,s,True,44,10,True,20,False,24,False,3,False,7,
54,28,n,False,44,11,False,20,False,24,False,3,True,8,
55,17,n,False,44,12,False,20,False,24,False,3,True,9,
56,5,n,True,45,12,False,20,True,25,False,3,False,9,
57,3,n,True,46,12,False,20,True,26,False,3,False,9,
58,22,s,True,47,12,True,21,False,26,False,3,False,9,
59,3,n,True,48,12,False,21,True,27,False,3,False,9,
60,2,n,True,49,12,False,21,True,28,False,3,False,9,
61,2,n,True,50,12,False,21,True,29,False,3,False,9,
62,40,s,False,50,13,False,21,False,29,True,4,False,9,
63,35,n,False,50,14,False,21,False,29,False,4,True,10,
