Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,43,n,True,1,0,False,0,True,1,False,0,False,0,
1,30,s,True,2,0,True,1,False,1,False,0,False,0,
2,20,s,True,3,0,True,2,False,1,False,0,False,0,
3,23,s,True,4,0,True,3,False,1,False,0,False,0,
4,43,n,True,5,0,False,3,True,2,False,0,False,0,
5,30,s,True,6,0,True,4,False,2,False,0,False,0,
6,36,s,True,7,0,True,5,False,2,False,0,False,0,
7,48,n,True,8,0,False,5,True,3,False,0,False,0,
8,19,s,True,9,0,True,6,False,3,False,0,False,0,
9,6,n,True,10,0,False,6,True,4,False,0,False,0,
10,25,s,True,11,0,True,7,False,4,False,0,False,0,
11,22,s,True,12,0,True,8,False,4,False,0,False,0,
12,12,n,True,13,0,False,8,True,5,False,0,False,0,
13,34,s,True,14,0,True,9,False,5,False,0,False,0,
14,13,s,True,15,0,True,10,False,5,False,0,False,0,
15,26,s,True,16,0,True,11,False,5,False,0,False,0,
16,40,n,True,17,0,False,11,True,6,False,0,False,0,
17,25,s,True,18,0,True,12,False,6,False,0,False,0,
18,39,n,True,19,0,False,12,True,7,False,0,False,0,
19,47,n,True,20,0,False,12,True,8,False,0,False,0,
20,43,n,True,21,0,False,12,True,9,False,0,False,0,
21,40,s,False,21,1,False,12,False,9,True,1,False,0,
22,45,n,True,22,1,False,12,True,10,False,1,False,0,
23,11,n,True,23,1,False,12,True,11,False,1,False,0,
24,44,s,False,23,2,False,12,False,11,True,2,False,0,
25,24,s,True,24,2,True,13,False,11,False,2,False,0,
26,35,s,True,25,2,True,14,False,11,False,2,False,0,
27,14,s,True,26,2,True,15,False,11,False,2,False,0,
28,18,s,True,27,2,True,16,False,11,False,2,False,0,
29,32,s,True,28,2,True,17,False,11,False,2,False,0,
30,35,s,True,29,2,True,18,False,11,False,2,False,0,
31,8,n,True,30,2,False,18,True,12,False,2,False,0,
32,5,n,True,31,2,False,18,True,13,False,2,False,0,
33,14,n,False,31,3,False,18,False,13,False,2,True,1,
34,11,n,True,32,3,False,18,True,14,False,2,False,1,
35,14,s,True,33,3,True,19,False,14,False,2,False,1,
36,11,n,True,34,3,False,19,True,15,False,2,False,1,
37,48,n,True,35,3,False,19,True,16,False,2,False,1,
38,17,n,False,35,4,False,19,False,16,False,2,True,2,
39,9,n,True,36,4,False,19,True,17,False,2,False,2,
40,26,s,True,37,4,True,20,False,17,False,2,False,2,
41,16,n,False,37,5,False,20,False,17,False,2,True,3,
42,6,n,True,38,5,False,20,True,18,False,2,False,3,
43,37,n,True,39,5,False,20,True,19,False,2,False,3,
44,40,n,True,40,5,False,20,True,20,False,2,False,3,
45,36,s,True,41,5,True,21,False,20,False,2,False,3,
46,31,s,True,42,5,True,22,False,20,False,2,False,3,
47,33,s,True,43,5,True,23,False,20,False,2,False,3,
48,11,n,True,44,5,False,23,True,21,False,2,False,3,
49,39,n,True,45,5,False,23,True,22,False,2,False,3,
50,6,n,True,46,5,False,23,True,23,False,2,False,3,
51,10,n,True,47,5,False,23,True,24,False,2,False,3,
52,10,n,True,48,5,False,23,True,25,False,2,False,3,
53,3,n,True,49,5,False,23,True,26,False,2,False,3,
54,9,n,True,50,5,False,23,True,27,False,2,False,3,
55,4,n,True,51,5,False,23,True,28,False,2,False,3,
56,38,n,True,52,5,False,23,True,29,False,2,False,3,
57,21,n,False,52,6,False,23,False,29,False,2,True,4,
58,34,n,False,52,7,False,23,False,29,False,2,True,5,
59,24,s,True,53,7,True,24,False,29,False,2,False,5,
60,22,s,True,54,7,True,25,False,29,False,2,False,5,
61,41,n,True,55,7,False,25,True,30,False,2,False,5,
62,25,s,True,56,7,True,26,False,30,False,2,False,5,
63,18,s,True,57,7,True,27,False,30,False,2,False,5,
64,5,n,True,58,7,False,27,True,31,False,2,False,5,
65,21,s,True,59,7,True,28,False,31,False,2,False,5,
66,21,n,False,59,8,False,28,False,31,False,2,True,6,
67,4,n,True,60,8,False,28,True,32,False,2,False,6,
68,7,n,True,61,8,False,28,True,33,False,2,False,6,
69,46,s,False,61,9,False,28,False,33,True,3,False,6,
70,12,n,True,62,9,False,28,True,34,False,3,False,6,
71,16,n,False,62,10,False,28,False,34,False,3,True,7,
72,48,n,True,63,10,False,28,True,35,False,3,False,7,
73,27,n,False,63,11,False,28,False,35,False,3,True,8,
74,33,n,False,63,12,False,28,False,35,False,3,True,9,
75,4,n,True,64,12,False,28,True,36,False,3,False,9,
76,29,s,True,65,12,True,29,False,36,False,3,False,9,
77,4,n,True,66,12,False,29,True,37,False,3,False,9,
78,40,s,False,66,13,False,29,False,37,True,4,False,9,
79,23,n,False,66,14,False,29,False,37,False,4,True,10,
80,36,s,True,67,14,True,30,False,37,False,4,False,10,
81,37,n,True,68,14,False,30,True,38,False,4,False,10,
82,20,s,True,69,14,True,31,False,38,False,4,False,10,
83,20,s,True,70,14,True,32,False,38,False,4,False,10,
84,26,s,True,71,14,True,33,False,38,False,4,False,10,
85,45,n,True,72,14,False,33,True,39,False,4,False,10,
86,42,s,False,72,15,False,33,False,39,True,5,False,10,
87,26,s,True,73,15,True,34,False,39,False,5,False,10,
88,17,s,True,74,15,True,35,False,39,False,5,False,10,
89,2,n,True,75,15,False,35,True,40,False,5,False,10,
90,23,s,True,76,15,True,36,False,40,False,5,False,10,
91,37,n,True,77,15,False,36,True,41,False,5,False,10,
92,10,n,True,78,15,False,36,True,42,False,5,False,10,
93,22,n,False,78,16,False,36,False,42,False,5,True,11,
94,14,s,True,79,16,True,37,False,42,False,5,False,11,
95,46,n,True,80,16,False,37,True,43,False,5,False,11,
96,16,s,True,81,16,True,38,False,43,False,5,False,11,
97,30,s,True,82,16,True,39,False,43,False,5,False,11,
98,1,n,True,83,16,False,39,True,44,False,5,False,11,
99,41,s,False,83,17,False,39,False,44,True,6,False,11,
100,1,s,False,83,18,False,39,False,44,True,7,False,11,
101,5,n,True,84,18,False,39,True,45,False,7,False,11,
102,28,s,True,85,18,True,40,False,45,False,7,False,11,
103,12,n,True,86,18,False,40,True,46,False,7,False,11,
104,18,s,True,87,18,True,41,False,46,False,7,False,11,
105,4,n,True,88,18,False,41,True,47,False,7,False,11,
106,15,s,True,89,18,True,42,False,47,False,7,False,11,
107,36,n,False,89,19,False,42,False,47,False,7,True,12,
108,44,n,True,90,19,False,42,True,48,False,7,False,12,
109,33,n,False,90,20,False,42,False,48,False,7,True,13,
110,29,s,True,91,20,True,43,False,48,False,7,False,13,
111,20,s,True,92,20,True,44,False,48,False,7,False,13,
112,12,s,False,92,21,False,44,False,48,True,8,False,13,
113,21,s,True,93,21,True,45,False,48,False,8,False,13,
114,13,s,True,94,21,True,46,False,48,False,8,False,13,
115,17,s,True,95,21,True,47,False,48,False,8,False,13,
116,8,s,False,95,22,False,47,False,48,True,9,False,13,
117,5,n,True,96,22,False,47,True,49,False,9,False,13,
118,43,n,True,97,22,False,47,True,50,False,9,False,13,
119,12,n,True,98,22,False,47,True,51,False,9,False,13,
120,27,s,True,99,22,True,48,False,51,False,9,False,13,
121,25,s,True,100,22,True,49,False,51,False,9,False,13,
122,9,n,True,101,22,False,49,True,52,False,9,False,13,
123,27,s,True,102,22,True,50,False,52,False,9,False,13,
124,16,s,True,103,22,True,51,False,52,False,9,False,13,
125,29,s,True,104,22,True,52,False,52,False,9,False,13,
126,35,s,True,105,22,True,53,False,52,False,9,False,13,
127,14,s,True,106,22,True,54,False,52,False,9,False,13,
128,9,n,True,107,22,False,54,True,53,False,9,False,13,
129,8,n,True,108,22,False,54,True,54,False,9,False,13,
130,26,s,True,109,22,True,55,False,54,False,9,False,13,
131,32,s,True,110,22,True,56,False,54,False,9,False,13,
132,38,n,True,111,22,False,56,True,55,False,9,False,13,
133,40,n,True,112,22,False,56,True,56,False,9,False,13,
134,46,n,True,113,22,False,56,True,57,False,9,False,13,
135,23,s,True,114,22,True,57,False,57,False,9,False,13,
136,39,s,False,114,23,False,57,False,57,True,10,False,13,
137,34,n,False,114,24,False,57,False,57,False,10,True,14,
138,30,s,True,115,24,True,58,False,57,False,10,False,14,
139,30,s,True,116,24,True,59,False,57,False,10,False,14,
140,44,n,True,117,24,False,59,True,58,False,10,False,14,
141,42,s,False,117,25,False,59,False,58,True,11,False,14,
142,36,s,True,118,25,True,60,False,58,False,11,False,14,
143,41,s,False,118,26,False,60,False,58,True,12,False,14,
144,43,n,True,119,26,False,60,True,59,False,12,False,14,
145,7,n,True,120,26,False,60,True,60,False,12,False,14,
146,37,n,True,121,26,False,60,True,61,False,12,False,14,
147,42,s,False,121,27,False,60,False,61,True,13,False,14,
148,45,n,True,122,27,False,60,True,62,False,13,False,14,
149,33,s,True,123,27,True,61,False,62,False,13,False,14,
150,39,n,True,124,27,False,61,True,63,False,13,False,14,
