Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,38,s,False,0,1,False,0,False,0,True,1,False,0,
1,34,s,True,1,1,True,1,False,0,False,1,False,0,
2,8,n,True,2,1,False,1,True,1,False,1,False,0,
3,23,s,True,3,1,True,2,False,1,False,1,False,0,
4,32,s,True,4,1,True,3,False,1,False,1,False,0,
5,47,n,True,5,1,False,3,True,2,False,1,False,0,
6,40,n,True,6,1,False,3,True,3,False,1,False,0,
7,35,s,True,7,1,True,4,False,3,False,1,False,0,
8,37,n,True,8,1,False,4,True,4,False,1,False,0,
9,26,s,True,9,1,True,5,False,4,False,1,False,0,
10,6,n,True,10,1,False,5,True,5,False,1,False,0,
11,35,s,True,11,1,True,6,False,5,False,1,False,0,
12,12,n,True,12,1,False,6,True,6,False,1,False,0,
13,39,n,True,13,1,False,6,True,7,False,1,False,0,
14,22,s,True,14,1,True,7,False,7,False,1,False,0,
15,15,s,True,15,1,True,8,False,7,False,1,False,0,
16,27,s,True,16,1,True,9,False,7,False,1,False,0,
17,14,s,True,17,1,True,10,False,7,False,1,False,0,
18,28,s,True,18,1,True,11,False,7,False,1,False,0,
19,9,n,True,19,1,False,11,True,8,False,1,False,0,
20,2,n,True,20,1,False,11,True,9,False,1,False,0,
21,12,n,True,21,1,False,11,True,10,False,1,False,0,
22,36,s,True,22,1,True,12,False,10,False,1,False,0,
23,15,s,True,23,1,True,13,False,10,False,1,False,0,
24,10,n,True,24,1,False,13,True,11,False,1,False,0,
25,19,s,True,25,1,True,14,False,11,False,1,False,0,
26,26,s,True,26,1,True,15,False,11,False,1,False,0,
27,16,s,True,27,1,True,16,False,11,False,1,False,0,
28,47,n,True,28,1,False,16,True,12,False,1,False,0,
29,23,s,True,29,1,True,17,False,12,False,1,False,0,
30,28,s,True,30,1,True,18,False,12,False,1,False,0,
31,10,n,True,31,1,False,18,True,13,False,1,False,0,
32,43,n,True,32,1,False,18,True,14,False,1,False,0,
33,6,n,True,33,1,False,18,True,15,False,1,False,0,
34,33,s,True,34,1,True,19,False,15,False,1,False,0,
35,34,s,True,35,1,True,20,False,15,False,1,False,0,
36,15,s,True,36,1,True,21,False,15,False,1,False,0,
37,17,s,True,37,1,True,22,False,15,False,1,False,0,
38,14,s,True,38,1,True,23,False,15,False,1,False,0,
39,19,s,True,39,1,True,24,False,15,False,1,False,0,
40,21,s,True,40,1,True,25,False,15,False,1,False,0,
41,12,n,True,41,1,False,25,True,16,False,1,False,0,
42,38,n,True,42,1,False,25,True,17,False,1,False,0,
43,46,n,True,43,1,False,25,True,18,False,1,False,0,
44,25,s,True,44,1,True,26,False,18,False,1,False,0,
45,9,n,True,45,1,False,26,True,19,False,1,False,0,
46,3,n,True,46,1,False,26,True,20,False,1,False,0,
47,30,s,True,47,1,True,27,False,20,False,1,False,0,
48,9,n,True,48,1,False,27,True,21,False,1,False,0,
