Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,37,n,True,1,0,False,0,True,1,False,0,False,0,
1,4,n,True,2,0,False,0,True,2,False,0,False,0,
2,36,s,True,3,0,True,1,False,2,False,0,False,0,
3,22,s,True,4,0,True,2,False,2,False,0,False,0,
4,33,s,True,5,0,True,3,False,2,False,0,False,0,
5,36,s,True,6,0,True,4,False,2,False,0,False,0,
6,31,s,True,7,0,True,5,False,2,False,0,False,0,
7,45,n,True,8,0,False,5,True,3,False,0,False,0,
8,36,s,True,9,0,True,6,False,3,False,0,False,0,
9,27,s,True,10,0,True,7,False,3,False,0,False,0,
10,35,s,True,11,0,True,8,False,3,False,0,False,0,
11,35,s,True,12,0,True,9,False,3,False,0,False,0,
12,48,n,True,13,0,False,9,True,4,False,0,False,0,
13,40,n,True,14,0,False,9,True,5,False,0,False,0,
14,34,s,True,15,0,True,10,False,5,False,0,False,0,
15,26,s,True,16,0,True,11,False,5,False,0,False,0,
16,31,s,True,17,0,True,12,False,5,False,0,False,0,
17,9,n,True,18,0,False,12,True,6,False,0,False,0,
18,9,n,True,19,0,False,12,True,7,False,0,False,0,
19,48,n,True,20,0,False,12,True,8,False,0,False,0,
20,14,s,True,21,0,True,13,False,8,False,0,False,0,
21,48,n,True,22,0,False,13,True,9,False,0,False,0,
22,21,s,True,23,0,True,14,False,9,False,0,False,0,
23,38,n,True,24,0,False,14,True,10,False,0,False,0,
24,22,s,True,25,0,True,15,False,10,False,0,False,0,
25,11,n,True,26,0,False,15,True,11,False,0,False,0,
26,22,s,True,27,0,True,16,False,11,False,0,False,0,
27,35,s,True,28,0,True,17,False,11,False,0,False,0,
28,39,n,True,29,0,False,17,True,12,False,0,False,0,
29,4,n,True,30,0,False,17,True,13,False,0,False,0,
30,38,n,True,31,0,False,17,True,14,False,0,False,0,
31,15,s,True,32,0,True,18,False,14,False,0,False,0,
32,17,s,True,33,0,True,19,False,14,False,0,False,0,
33,30,s,True,34,0,True,20,False,14,False,0,False,0,
34,32,s,True,35,0,True,21,False,14,False,0,False,0,
35,17,s,True,36,0,True,22,False,14,False,0,False,0,
36,45,n,True,37,0,False,22,True,15,False,0,False,0,
37,14,s,True,38,0,True,23,False,15,False,0,False,0,
