Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,8,n,True,1,0,False,0,True,1,False,0,False,0,
1,41,n,True,2,0,False,0,True,2,False,0,False,0,
2,28,s,True,3,0,True,1,False,2,False,0,False,0,
3,35,s,True,4,0,True,2,False,2,False,0,False,0,
4,42,s,False,4,1,False,2,False,2,True,1,False,0,
5,9,n,True,5,1,False,2,True,3,False,1,False,0,
6,14,s,True,6,1,True,3,False,3,False,1,False,0,
7,47,n,True,7,1,False,3,True,4,False,1,False,0,
8,19,s,True,8,1,True,4,False,4,False,1,False,0,
9,40,s,False,8,2,False,4,False,4,True,2,False,0,
10,45,n,True,9,2,False,4,True,5,False,2,False,0,
11,22,s,True,10,2,True,5,False,5,False,2,False,0,
12,1,n,True,11,2,False,5,True,6,False,2,False,0,
13,11,n,True,12,2,False,5,True,7,False,2,False,0,
14,4,n,True,13,2,False,5,True,8,False,2,False,0,
15,2,n,True,14,2,False,5,True,9,False,2,False,0,
16,27,s,True,15,2,True,6,False,9,False,2,False,0,
17,15,s,True,16,2,True,7,False,9,False,2,False,0,
18,37,n,True,17,2,False,7,True,10,False,2,False,0,
19,29,s,True,18,2,True,8,False,10,False,2,False,0,
20,6,n,True,19,2,False,8,True,11,False,2,False,0,
21,17,s,True,20,2,True,9,False,11,False,2,False,0,
22,43,n,True,21,2,False,9,True,12,False,2,False,0,
23,12,n,True,22,2,False,9,True,13,False,2,False,0,
24,23,s,True,23,2,True,10,False,13,False,2,False,0,
25,24,s,True,24,2,True,11,False,13,False,2,False,0,
26,38,s,False,24,3,False,11,False,13,True,3,False,0,
27,31,s,True,25,3,True,12,False,13,False,3,False,0,
28,48,n,True,26,3,False,12,True,14,False,3,False,0,
29,13,s,True,27,3,True,13,False,14,False,3,False,0,
30,34,s,True,28,3,True,14,False,14,False,3,False,0,
31,18,s,True,29,3,True,15,False,14,False,3,False,0,
32,44,n,True,30,3,False,15,True,15,False,3,False,0,
33,16,s,True,31,3,True,16,False,15,False,3,False,0,
34,3,n,True,32,3,False,16,True,16,False,3,False,0,
35,26,s,True,33,3,True,17,False,16,False,3,False,0,
36,5,n,True,34,3,False,17,True,17,False,3,False,0,
37,32,s,True,35,3,True,18,False,17,False,3,False,0,
38,39,n,True,36,3,False,18,True,18,False,3,False,0,
39,46,n,True,37,3,False,18,True,19,False,3,False,0,
40,7,s,False,37,4,False,18,False,19,True,4,False,0,
41,25,n,False,37,5,False,18,False,19,False,4,True,1,
42,30,n,False,37,6,False,18,False,19,False,4,True,2,
43,36,s,True,38,6,True,19,False,19,False,4,False,2,
44,21,s,True,39,6,True,20,False,19,False,4,False,2,
45,33,s,True,40,6,True,21,False,19,False,4,False,2,
46,20,s,True,41,6,True,22,False,19,False,4,False,2,
47,10,n,True,42,6,False,22,True,20,False,4,False,2,
0,47,n,True,43,6,False,22,True,21,False,4,False,2,
1,29,s,True,44,6,True,23,False,21,False,4,False,2,
2,39,n,True,45,6,False,23,True,22,False,4,False,2,
3,40,s,False,45,7,False,23,False,22,True,5,False,2,
4,15,s,True,46,7,True,24,False,22,False,5,False,2,
5,45,n,True,47,7,False,24,True,23,False,5,False,2,
6,21,s,True,48,7,True,25,False,23,False,5,False,2,
7,1,n,True,49,7,False,25,True,24,False,5,False,2,
8,18,n,False,49,8,False,25,False,24,False,5,True,3,
9,36,s,True,50,8,True,26,False,24,False,5,False,3,
10,10,n,True,51,8,False,26,True,25,False,5,False,3,
11,43,n,True,52,8,False,26,True,26,False,5,False,3,
12,13,n,False,52,9,False,26,False,26,False,5,True,4,
13,26,s,True,53,9,True,27,False,26,False,5,False,4,
14,41,n,True,54,9,False,27,True,27,False,5,False,4,
15,12,n,True,55,9,False,27,True,28,False,5,False,4,
16,33,s,True,56,9,True,28,False,28,False,5,False,4,
17,4,n,True,57,9,False,28,True,29,False,5,False,4,
18,11,n,True,58,9,False,28,True,30,False,5,False,4,
19,8,n,True,59,9,False,28,True,31,False,5,False,4,
20,30,s,True,60,9,True,29,False,31,False,5,False,4,
21,24,s,True,61,9,True,30,False,31,False,5,False,4,
22,44,n,True,62,9,False,30,True,32,False,5,False,4,
23,37,s,False,62,10,False,30,False,32,True,6,False,4,
24,16,s,True,63,10,True,31,False,32,False,6,False,4,
25,2,n,True,64,10,False,31,True,33,False,6,False,4,
26,7,n,True,65,10,False,31,True,34,False,6,False,4,
27,14,s,True,66,10,True,32,False,34,False,6,False,4,
28,34,s,True,67,10,True,33,False,34,False,6,False,4,
29,6,n,True,68,10,False,33,True,35,False,6,False,4,
30,46,n,True,69,10,False,33,True,36,False,6,False,4,
31,38,n,True,70,10,False,33,True,37,False,6,False,4,
32,35,s,True,71,10,True,34,False,37,False,6,False,4,
33,5,n,True,72,10,False,34,True,38,False,6,False,4,
34,20,s,True,73,10,True,35,False,38,False,6,False,4,
35,28,n,False,73,11,False,35,False,38,False,6,True,5,
36,27,s,True,74,11,True,36,False,38,False,6,False,5,
37,9,n,True,75,11,False,36,True,39,False,6,False,5,
38,17,s,True,76,11,True,37,False,39,False,6,False,5,
39,25,s,True,77,11,True,38,False,39,False,6,False,5,
40,19,s,True,78,11,True,39,False,39,False,6,False,5,
41,48,n,True,79,11,False,39,True,40,False,6,False,5,
