Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,32,s,True,1,0,True,1,False,0,False,0,False,0,
1,35,s,True,2,0,True,2,False,0,False,0,False,0,
2,2,n,True,3,0,False,2,True,1,False,0,False,0,
3,47,n,True,4,0,False,2,True,2,False,0,False,0,
4,15,n,False,4,1,False,2,False,2,False,0,True,1,
5,43,n,True,5,1,False,2,True,3,False,0,False,1,
6,22,s,True,6,1,True,3,False,3,False,0,False,1,
7,20,s,True,7,1,True,4,False,3,False,0,False,1,
8,44,n,True,8,1,False,4,True,4,False,0,False,1,
9,27,s,True,9,1,True,5,False,4,False,0,False,1,
10,5,n,True,10,1,False,5,True,5,False,0,False,1,
11,7,s,False,10,2,False,5,False,5,True,1,False,1,
12,26,s,True,11,2,True,6,False,5,False,1,False,1,
13,1,n,True,12,2,False,6,True,6,False,1,False,1,
14,16,s,True,13,2,True,7,False,6,False,1,False,1,
15,14,s,True,14,2,True,8,False,6,False,1,False,1,
16,48,n,True,15,2,False,8,True,7,False,1,False,1,
17,37,n,True,16,2,False,8,True,8,False,1,False,1,
18,39,n,True,17,2,False,8,True,9,False,1,False,1,
19,21,s,True,18,2,True,9,False,9,False,1,False,1,
20,42,n,True,19,2,False,9,True,10,False,1,False,1,
21,28,n,False,19,3,False,9,False,10,False,1,True,2,
22,23,s,True,20,3,True,10,False,10,False,1,False,2,
23,10,n,True,21,3,False,10,True,11,False,1,False,2,
24,41,n,True,22,3,False,10,True,12,False,1,False,2,
25,24,s,True,23,3,True,11,False,12,False,1,False,2,
26,45,n,True,24,3,False,11,True,13,False,1,False,2,
27,40,n,True,25,3,False,11,True,14,False,1,False,2,
28,31,s,True,26,3,True,12,False,14,False,1,False,2,
29,34,s,True,27,3,True,13,False,14,False,1,False,2,
30,38,n,True,28,3,False,13,True,15,False,1,False,2,
31,13,s,True,29,3,True,14,False,15,False,1,False,2,
32,17,n,False,29,4,False,14,False,15,False,1,True,3,
33,6,n,True,30,4,False,14,True,16,False,1,False,3,
34,29,s,True,31,4,True,15,False,16,False,1,False,3,
35,8,n,True,32,4,False,15,True,17,False,1,False,3,
36,9,n,True,33,4,False,15,True,18,False,1,False,3,
37,46,n,True,34,4,False,15,True,19,False,1,False,3,
38,36,s,True,35,4,True,16,False,19,False,1,False,3,
39,11,n,True,36,4,False,16,True,20,False,1,False,3,
40,3,n,True,37,4,False,16,True,21,False,1,False,3,
41,19,s,True,38,4,True,17,False,21,False,1,False,3,
42,4,n,True,39,4,False,17,True,22,False,1,False,3,
43,33,s,True,40,4,True,18,False,22,False,1,False,3,
44,30,n,False,40,5,False,18,False,22,False,1,True,4,
45,12,s,False,40,6,False,18,False,22,True,2,False,4,
46,25,s,True,41,6,True,19,False,22,False,2,False,4,
47,18,s,True,42,6,True,20,False,22,False,2,False,4,
0,9,n,True,43,6,False,20,True,23,False,2,False,4,
1,33,s,True,44,6,True,21,False,23,False,2,False,4,
2,36,n,False,44,7,False,21,False,23,False,2,True,5,
3,34,s,True,45,7,True,22,False,23,False,2,False,5,
4,28,n,False,45,8,False,22,False,23,False,2,True,6,
5,16,n,False,45,9,False,22,False,23,False,2,True,7,
6,37,n,True,46,9,False,22,True,24,False,2,False,7,
7,25,s,True,47,9,True,23,False,24,False,2,False,7,
8,35,s,True,48,9,True,24,False,24,False,2,False,7,
9,19,s,True,49,9,True,25,False,24,False,2,False,7,
10,3,n,True,50,9,False,25,True,25,False,2,False,7,
11,2,n,True,51,9,False,25,True,26,False,2,False,7,
12,43,n,True,52,9,False,25,True,27,False,2,False,7,
13,14,s,True,53,9,True,26,False,27,False,2,False,7,
14,21,n,False,53,10,False,26,False,27,False,2,True,8,
15,47,n,True,54,10,False,26,True,28,False,2,False,8,
16,18,s,True,55,10,True,27,False,28,False,2,False,8,
17,7,s,False,55,11,False,27,False,28,True,3,False,8,
18,29,s,True,56,11,True,28,False,28,False,3,False,8,
19,15,s,True,57,11,True,29,False,28,False,3,False,8,
20,10,n,True,58,11,False,29,True,29,False,3,False,8,
21,8,n,True,59,11,False,29,True,30,False,3,False,8,
22,46,s,False,59,12,False,29,False,30,True,4,False,8,
23,26,s,True,60,12,True,30,False,30,False,4,False,8,
24,48,n,True,61,12,False,30,True,31,False,4,False,8,
25,39,n,True,62,12,False,30,True,32,False,4,False,8,
26,44,n,True,63,12,False,30,True,33,False,4,False,8,
27,4,n,True,64,12,False,30,True,34,False,4,False,8,
28,13,n,False,64,13,False,30,False,34,False,4,True,9,
29,40,n,True,65,13,False,30,True,35,False,4,False,9,
30,23,s,True,66,13,True,31,False,35,False,4,False,9,
31,32,s,True,67,13,True,32,False,35,False,4,False,9,
32,41,n,True,68,13,False,32,True,36,False,4,False,9,
33,17,n,False,68,14,False,32,False,36,False,4,True,10,
34,30,s,True,69,14,True,33,False,36,False,4,False,10,
35,22,s,True,70,14,True,34,False,36,False,4,False,10,
36,20,s,True,71,14,True,35,False,36,False,4,False,10,
37,11,n,True,72,14,False,35,True,37,False,4,False,10,
38,27,s,True,73,14,True,36,False,37,False,4,False,10,
39,24,s,True,74,14,True,37,False,37,False,4,False,10,
40,12,n,True,75,14,False,37,True,38,False,4,False,10,
41,1,n,True,76,14,False,37,True,39,False,4,False,10,
42,38,s,False,76,15,False,37,False,39,True,5,False,10,
43,5,n,True,77,15,False,37,True,40,False,5,False,10,
44,6,n,True,78,15,False,37,True,41,False,5,False,10,
45,42,n,True,79,15,False,37,True,42,False,5,False,10,
46,45,n,True,80,15,False,37,True,43,False,5,False,10,
47,31,s,True,81,15,True,38,False,43,False,5,False,10,
0,17,s,True,82,15,True,39,False,43,False,5,False,10,
1,44,n,True,83,15,False,39,True,44,False,5,False,10,
2,9,n,True,84,15,False,39,True,45,False,5,False,10,
3,39,n,True,85,15,False,39,True,46,False,5,False,10,
4,33,s,True,86,15,True,40,False,46,False,5,False,10,
5,11,n,True,87,15,False,40,True,47,False,5,False,10,
6,46,n,True,88,15,False,40,True,48,False,5,False,10,
7,31,s,True,89,15,True,41,False,48,False,5,False,10,
8,24,s,True,90,15,True,42,False,48,False,5,False,10,
9,16,s,True,91,15,True,43,False,48,False,5,False,10,
10,42,n,True,92,15,False,43,True,49,False,5,False,10,
11,14,s,True,93,15,True,44,False,49,False,5,False,10,
12,25,s,True,94,15,True,45,False,49,False,5,False,10,
13,32,n,False,94,16,False,45,False,49,False,5,True,11,
14,3,n,True,95,16,False,45,True,50,False,5,False,11,
15,19,s,True,96,16,True,46,False,50,False,5,False,11,
