Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,44,n,True,1,0,False,0,True,1,False,0,False,0,
1,38,s,False,1,1,False,0,False,1,True,1,False,0,
2,37,n,True,2,1,False,0,True,2,False,1,False,0,
3,18,s,True,3,1,True,1,False,2,False,1,False,0,
4,42,n,True,4,1,False,1,True,3,False,1,False,0,
5,15,s,True,5,1,True,2,False,3,False,1,False,0,
6,39,n,True,6,1,False,2,True,4,False,1,False,0,
7,4,n,True,7,1,False,2,True,5,False,1,False,0,
8,26,n,False,7,2,False,2,False,5,False,1,True,1,
9,32,s,True,8,2,True,3,False,5,False,1,False,1,
10,14,s,True,9,2,True,4,False,5,False,1,False,1,
11,9,n,True,10,2,False,4,True,6,False,1,False,1,
12,37,n,True,11,2,False,4,True,7,False,1,False,1,
13,43,n,True,12,2,False,4,True,8,False,1,False,1,
14,42,s,False,12,3,False,4,False,8,True,2,False,1,
15,25,n,False,12,4,False,4,False,8,False,2,True,2,
16,1,n,True,13,4,False,4,True,9,False,2,False,2,
17,44,n,True,14,4,False,4,True,10,False,2,False,2,
18,17,s,True,15,4,True,5,False,10,False,2,False,2,
19,7,n,True,16,4,False,5,True,11,False,2,False,2,
20,31,s,True,17,4,True,6,False,11,False,2,False,2,
21,26,s,True,18,4,True,7,False,11,False,2,False,2,
22,3,n,True,19,4,False,7,True,12,False,2,False,2,
23,45,n,True,20,4,False,7,True,13,False,2,False,2,
24,3,n,True,21,4,False,7,True,14,False,2,False,2,
25,33,s,True,22,4,True,8,False,14,False,2,False,2,
26,41,n,True,23,4,False,8,True,15,False,2,False,2,
27,1,n,True,24,4,False,8,True,16,False,2,False,2,
28,20,s,True,25,4,True,9,False,16,False,2,False,2,
29,41,n,True,26,4,False,9,True,17,False,2,False,2,
30,32,s,True,27,4,True,10,False,17,False,2,False,2,
31,2,n,True,28,4,False,10,True,18,False,2,False,2,
32,32,s,True,29,4,True,11,False,18,False,2,False,2,
33,37,n,True,30,4,False,11,True,19,False,2,False,2,
34,40,s,False,30,5,False,11,False,19,True,3,False,2,
35,19,n,False,30,6,False,11,False,19,False,3,True,3,
36,48,n,True,31,6,False,11,True,20,False,3,False,3,
37,9,n,True,32,6,False,11,True,21,False,3,False,3,
38,10,n,True,33,6,False,11,True,22,False,3,False,3,
39,26,s,True,34,6,True,12,False,22,False,3,False,3,
40,47,n,True,35,6,False,12,True,23,False,3,False,3,
41,12,n,True,36,6,False,12,True,24,False,3,False,3,
42,37,n,True,37,6,False,12,True,25,False,3,False,3,
43,27,s,True,38,6,True,13,False,25,False,3,False,3,
44,21,s,True,39,6,True,14,False,25,False,3,False,3,
45,34,n,False,39,7,False,14,False,25,False,3,True,4,
46,34,s,True,40,7,True,15,False,25,False,3,False,4,
47,39,n,True,41,7,False,15,True,26,False,3,False,4,
48,8,n,True,42,7,False,15,True,27,False,3,False,4,
49,5,n,True,43,7,False,15,True,28,False,3,False,4,
50,34,s,True,44,7,True,16,False,28,False,3,False,4,
51,30,s,True,45,7,True,17,False,28,False,3,False,4,
52,46,n,True,46,7,False,17,True,29,False,3,False,4,
53,21,s,True,47,7,True,18,False,29,False,3,False,4,
54,13,s,True,48,7,True,19,False,29,False,3,False,4,
55,45,n,True,49,7,False,19,True,30,False,3,False,4,
56,33,s,True,50,7,True,20,False,30,False,3,False,4,
57,36,n,False,50,8,False,20,False,30,False,3,True,5,
58,43,n,True,51,8,False,20,True,31,False,3,False,5,
59,38,s,False,51,9,False,20,False,31,True,4,False,5,
60,36,n,False,51,10,False,20,False,31,False,4,True,6,
61,31,s,True,52,10,True,21,False,31,False,4,False,6,
62,16,s,True,53,10,True,22,False,31,False,4,False,6,
63,10,n,True,54,10,False,22,True,32,False,4,False,6,
64,1,n,True,55,10,False,22,True,33,False,4,False,6,
65,2,n,True,56,10,False,22,True,34,False,4,False,6,
66,6,n,True,57,10,False,22,True,35,False,4,False,6,
67,41,n,True,58,10,False,22,True,36,False,4,False,6,
68,30,s,True,59,10,True,23,False,36,False,4,False,6,
69,33,n,False,59,11,False,23,False,36,False,4,True,7,
70,35,n,False,59,12,False,23,False,36,False,4,True,8,
71,43,n,True,60,12,False,23,True,37,False,4,False,8,
72,14,s,True,61,12,True,24,False,37,False,4,False,8,
73,46,n,True,62,12,False,24,True,38,False,4,False,8,
74,18,n,False,62,13,False,24,False,38,False,4,True,9,
75,30,s,True,63,13,True,25,False,38,False,4,False,9,
76,25,n,False,63,14,False,25,False,38,False,4,True,10,
77,15,s,True,64,14,True,26,False,38,False,4,False,10,
78,2,n,True,65,14,False,26,True,39,False,4,False,10,
79,48,n,True,66,14,False,26,True,40,False,4,False,10,
80,43,n,True,67,14,False,26,True,41,False,4,False,10,
81,48,n,True,68,14,False,26,True,42,False,4,False,10,
82,27,s,True,69,14,True,27,False,42,False,4,False,10,
83,47,n,True,70,14,False,27,True,43,False,4,False,10,
84,10,n,True,71,14,False,27,True,44,False,4,False,10,
85,39,n,True,72,14,False,27,True,45,False,4,False,10,
86,8,n,True,73,14,False,27,True,46,False,4,False,10,
87,35,s,True,74,14,True,28,False,46,False,4,False,10,
88,24,s,True,75,14,True,29,False,46,False,4,False,10,
89,11,n,True,76,14,False,29,True,47,False,4,False,10,
90,8,n,True,77,14,False,29,True,48,False,4,False,10,
91,17,s,True,78,14,True,30,False,48,False,4,False,10,
92,33,s,True,79,14,True,31,False,48,False,4,False,10,
93,11,n,True,80,14,False,31,True,49,False,4,False,10,
94,32,s,True,81,14,True,32,False,49,False,4,False,10,
95,3,n,True,82,14,False,32,True,50,False,4,False,10,
96,20,s,True,83,14,True,33,False,50,False,4,False,10,
97,7,n,True,84,14,False,33,True,51,False,4,False,10,
98,44,n,True,85,14,False,33,True,52,False,4,False,10,
