Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,12,n,True,1,0,False,0,True,1,False,0,False,0,
1,21,s,True,2,0,True,1,False,1,False,0,False,0,
2,1,n,True,3,0,False,1,True,2,False,0,False,0,
3,47,n,True,4,0,False,1,True,3,False,0,False,0,
4,35,s,True,5,0,True,2,False,3,False,0,False,0,
5,11,n,True,6,0,False,2,True,4,False,0,False,0,
6,27,s,True,7,0,True,3,False,4,False,0,False,0,
7,45,s,False,7,1,False,3,False,4,True,1,False,0,
8,40,n,True,8,1,False,3,True,5,False,1,False,0,
9,20,n,False,8,2,False,3,False,5,False,1,True,1,
10,38,s,False,8,3,False,3,False,5,True,2,False,1,
11,8,n,True,9,3,False,3,True,6,False,2,False,1,
12,2,n,True,10,3,False,3,True,7,False,2,False,1,
13,34,s,True,11,3,True,4,False,7,False,2,False,1,
14,3,n,True,12,3,False,4,True,8,False,2,False,1,
15,43,n,True,13,3,False,4,True,9,False,2,False,1,
16,9,s,False,13,4,False,4,False,9,True,3,False,1,
17,26,s,True,14,4,True,5,False,9,False,3,False,1,
18,22,s,True,15,4,True,6,False,9,False,3,False,1,
19,39,n,True,16,4,False,6,True,10,False,3,False,1,
20,6,n,True,17,4,False,6,True,11,False,3,False,1,
21,46,n,True,18,4,False,6,True,12,False,3,False,1,
22,33,n,False,18,5,False,6,False,12,False,3,True,2,
23,4,n,True,19,5,False,6,True,13,False,3,False,2,
24,28,n,False,19,6,False,6,False,13,False,3,True,3,
25,37,n,True,20,6,False,6,True,14,False,3,False,3,
26,31,s,True,21,6,True,7,False,14,False,3,False,3,
27,14,s,True,22,6,True,8,False,14,False,3,False,3,
28,16,s,True,23,6,True,9,False,14,False,3,False,3,
29,5,n,True,24,6,False,9,True,15,False,3,False,3,
30,17,n,False,24,7,False,9,False,15,False,3,True,4,
31,24,n,False,24,8,False,9,False,15,False,3,True,5,
32,18,n,False,24,9,False,9,False,15,False,3,True,6,
33,41,n,True,25,9,False,9,True,16,False,3,False,6,
34,25,n,False,25,10,False,9,False,16,False,3,True,7,
35,15,s,True,26,10,True,10,False,16,False,3,False,7,
36,29,s,True,27,10,True,11,False,16,False,3,False,7,
37,44,n,True,28,10,False,11,True,17,False,3,False,7,
38,42,s,False,28,11,False,11,False,17,True,4,False,7,
39,36,s,True,29,11,True,12,False,17,False,4,False,7,
40,10,n,True,30,11,False,12,True,18,False,4,False,7,
41,19,n,False,30,12,False,12,False,18,False,4,True,8,
42,23,n,False,30,13,False,12,False,18,False,4,True,9,
43,7,s,False,30,14,False,12,False,18,True,5,False,9,
44,30,s,True,31,14,True,13,False,18,False,5,False,9,
45,48,n,True,32,14,False,13,True,19,False,5,False,9,
46,32,s,True,33,14,True,14,False,19,False,5,False,9,
47,13,n,False,33,15,False,14,False,19,False,5,True,10,
0,26,s,True,34,15,True,15,False,19,False,5,False,10,
1,2,n,True,35,15,False,15,True,20,False,5,False,10,
2,46,n,True,36,15,False,15,True,21,False,5,False,10,
3,14,s,True,37,15,True,16,False,21,False,5,False,10,
4,45,n,True,38,15,False,16,True,22,False,5,False,10,
5,48,n,True,39,15,False,16,True,23,False,5,False,10,
6,13,s,True,40,15,True,17,False,23,False,5,False,10,
7,5,n,True,41,15,False,17,True,24,False,5,False,10,
8,23,n,False,41,16,False,17,False,24,False,5,True,11,
9,24,n,False,41,17,False,17,False,24,False,5,True,12,
10,43,s,False,41,18,False,17,False,24,True,6,False,12,
11,10,n,True,42,18,False,17,True,25,False,6,False,12,
12,7,n,True,43,18,False,17,True,26,False,6,False,12,
13,47,n,True,44,18,False,17,True,27,False,6,False,12,
14,20,n,False,44,19,False,17,False,27,False,6,True,13,
15,36,n,False,44,20,False,17,False,27,False,6,True,14,
16,29,s,True,45,20,True,18,False,27,False,6,False,14,
17,39,s,False,45,21,False,18,False,27,True,7,False,14,
18,19,n,False,45,22,False,18,False,27,False,7,True,15,
19,40,s,False,45,23,False,18,False,27,True,8,False,15,
20,15,s,True,46,23,True,19,False,27,False,8,False,15,
21,9,n,True,47,23,False,19,True,28,False,8,False,15,
22,42,s,False,47,24,False,19,False,28,True,9,False,15,
23,1,n,True,48,24,False,19,True,29,False,9,False,15,
24,28,n,False,48,25,False,19,False,29,False,9,True,16,
25,33,n,False,48,26,False,19,False,29,False,9,True,17,
26,16,s,True,49,26,True,20,False,29,False,9,False,17,
27,21,s,True,50,26,True,21,False,29,False,9,False,17,
28,32,s,True,51,26,True,22,False,29,False,9,False,17,
29,17,n,False,51,27,False,22,False,29,False,9,True,18,
30,41,s,False,51,28,False,22,False,29,True,10,False,18,
31,18,n,False,51,29,False,22,False,29,False,10,True,19,
32,27,n,False,51,30,False,22,False,29,False,10,True,20,
33,37,n,True,52,30,False,22,True,30,False,10,False,20,
34,35,s,True,53,30,True,23,False,30,False,10,False,20,
35,22,s,True,54,30,True,24,False,30,False,10,False,20,
36,44,s,False,54,31,False,24,False,30,True,11,False,20,
37,12,n,True,55,31,False,24,True,31,False,11,False,20,
38,4,n,True,56,31,False,24,True,32,False,11,False,20,
39,25,s,True,57,31,True,25,False,32,False,11,False,20,
40,11,n,True,58,31,False,25,True,33,False,11,False,20,
41,34,n,False,58,32,False,25,False,33,False,11,True,21,
42,30,n,False,58,33,False,25,False,33,False,11,True,22,
