Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,32,n,False,0,1,False,0,False,0,False,0,True,1,
1,16,s,True,1,1,True,1,False,0,False,0,False,1,
2,6,n,True,2,1,False,1,True,1,False,0,False,1,
3,43,n,True,3,1,False,1,True,2,False,0,False,1,
4,13,s,True,4,1,True,2,False,2,False,0,False,1,
5,36,n,False,4,2,False,2,False,2,False,0,True,2,
6,33,n,False,4,3,False,2,False,2,False,0,True,3,
7,18,s,True,5,3,True,3,False,2,False,0,False,3,
8,26,n,False,5,4,False,3,False,2,False,0,True,4,
9,14,s,True,6,4,True,4,False,2,False,0,False,4,
10,34,s,True,7,4,True,5,False,2,False,0,False,4,
11,11,n,True,8,4,False,5,True,3,False,0,False,4,
12,20,s,True,9,4,True,6,False,3,False,0,False,4,
13,48,n,True,10,4,False,6,True,4,False,0,False,4,
14,45,n,True,11,4,False,6,True,5,False,0,False,4,
15,3,n,True,12,4,False,6,True,6,False,0,False,4,
16,39,n,True,13,4,False,6,True,7,False,0,False,4,
17,15,s,True,14,4,True,7,False,7,False,0,False,4,
18,41,n,True,15,4,False,7,True,8,False,0,False,4,
19,12,n,True,16,4,False,7,True,9,False,0,False,4,
20,42,n,True,17,4,False,7,True,10,False,0,False,4,
21,9,n,True,18,4,False,7,True,11,False,0,False,4,
22,27,n,False,18,5,False,7,False,11,False,0,True,5,
23,29,s,True,19,5,True,8,False,11,False,0,False,5,
24,8,n,True,20,5,False,8,True,12,False,0,False,5,
25,10,n,True,21,5,False,8,True,13,False,0,False,5,
26,44,n,True,22,5,False,8,True,14,False,0,False,5,
27,38,n,True,23,5,False,8,True,15,False,0,False,5,
28,24,n,False,23,6,False,8,False,15,False,0,True,6,
29,4,n,True,24,6,False,8,True,16,False,0,False,6,
30,25,n,False,24,7,False,8,False,16,False,0,True,7,
31,37,s,False,24,8,False,8,False,16,True,1,False,7,
32,47,n,True,25,8,False,8,True,17,False,1,False,7,
33,23,s,True,26,8,True,9,False,17,False,1,False,7,
34,40,s,False,26,9,False,9,False,17,True,2,False,7,
35,31,s,True,27,9,True,10,False,17,False,2,False,7,
36,17,s,True,28,9,True,11,False,17,False,2,False,7,
37,5,n,True,29,9,False,11,True,18,False,2,False,7,
38,35,n,False,29,10,False,11,False,18,False,2,True,8,
39,1,n,True,30,10,False,11,True,19,False,2,False,8,
40,7,n,True,31,10,False,11,True,20,False,2,False,8,
41,19,n,False,31,11,False,11,False,20,False,2,True,9,
42,21,n,False,31,12,False,11,False,20,False,2,True,10,
43,46,n,True,32,12,False,11,True,21,False,2,False,10,
44,30,n,False,32,13,False,11,False,21,False,2,True,11,
45,22,n,False,32,14,False,11,False,21,False,2,True,12,
