Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,22,s,True,1,0,True,1,False,0,False,0,False,0,
1,48,n,True,2,0,False,1,True,1,False,0,False,0,
2,3,n,True,3,0,False,1,True,2,False,0,False,0,
3,45,n,True,4,0,False,1,True,3,False,0,False,0,
4,10,n,True,5,0,False,1,True,4,False,0,False,0,
5,31,s,True,6,0,True,2,False,4,False,0,False,0,
6,14,s,True,7,0,True,3,False,4,False,0,False,0,
7,37,n,True,8,0,False,3,True,5,False,0,False,0,
8,12,n,True,9,0,False,3,True,6,False,0,False,0,
9,20,s,True,10,0,True,4,False,6,False,0,False,0,
10,38,n,True,11,0,False,4,True,7,False,0,False,0,
11,29,s,True,12,0,True,5,False,7,False,0,False,0,
12,7,n,True,13,0,False,5,True,8,False,0,False,0,
13,11,n,True,14,0,False,5,True,9,False,0,False,0,
14,5,n,True,15,0,False,5,True,10,False,0,False,0,
15,6,n,True,16,0,False,5,True,11,False,0,False,0,
16,2,n,True,17,0,False,5,True,12,False,0,False,0,
17,9,n,True,18,0,False,5,True,13,False,0,False,0,
18,41,n,True,19,0,False,5,True,14,False,0,False,0,
19,36,n,False,19,1,False,5,False,14,False,0,True,1,
20,28,s,True,20,1,True,6,False,14,False,0,False,1,
21,47,n,True,21,1,False,6,True,15,False,0,False,1,
22,1,n,True,22,1,False,6,True,16,False,0,False,1,
23,33,s,True,23,1,True,7,False,16,False,0,False,1,
24,8,s,False,23,2,False,7,False,16,True,1,False,1,
25,27,s,True,24,2,True,8,False,16,False,1,False,1,
26,43,n,True,25,2,False,8,True,17,False,1,False,1,
27,42,n,True,26,2,False,8,True,18,False,1,False,1,
28,15,s,True,27,2,True,9,False,18,False,1,False,1,
29,34,s,True,28,2,True,10,False,18,False,1,False,1,
30,44,n,True,29,2,False,10,True,19,False,1,False,1,
31,35,s,True,30,2,True,11,False,19,False,1,False,1,
32,19,s,True,31,2,True,12,False,19,False,1,False,1,
33,16,s,True,32,2,True,13,False,19,False,1,False,1,
34,4,n,True,33,2,False,13,True,20,False,1,False,1,
35,30,s,True,34,2,True,14,False,20,False,1,False,1,
36,46,n,True,35,2,False,14,True,21,False,1,False,1,
37,25,s,True,36,2,True,15,False,21,False,1,False,1,
38,21,s,True,37,2,True,16,False,21,False,1,False,1,
39,26,s,True,38,2,True,17,False,21,False,1,False,1,
40,24,s,True,39,2,True,18,False,21,False,1,False,1,
41,32,s,True,40,2,True,19,False,21,False,1,False,1,
42,17,s,True,41,2,True,20,False,21,False,1,False,1,
43,23,s,True,42,2,True,21,False,21,False,1,False,1,
44,18,n,False,42,3,False,21,False,21,False,1,True,2,
45,13,s,True,43,3,True,22,False,21,False,1,False,2,
46,39,n,True,44,3,False,22,True,22,False,1,False,2,
47,40,n,True,45,3,False,22,True,23,False,1,False,2,
0,10,n,True,46,3,False,22,True,24,False,1,False,2,
1,40,n,True,47,3,False,22,True,25,False,1,False,2,
2,4,n,True,48,3,False,22,True,26,False,1,False,2,
3,19,s,True,49,3,True,23,False,26,False,1,False,2,
4,29,s,True,50,3,True,24,False,26,False,1,False,2,
