Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,32,s,True,1,0,True,1,False,0,False,0,False,0,
1,46,s,False,1,1,False,1,False,0,True,1,False,0,
2,30,s,True,2,1,True,2,False,0,False,1,False,0,
3,14,s,True,3,1,True,3,False,0,False,1,False,0,
4,34,s,True,4,1,True,4,False,0,False,1,False,0,
5,3,n,True,5,1,False,4,True,1,False,1,False,0,
6,16,s,True,6,1,True,5,False,1,False,1,False,0,
7,28,s,True,7,1,True,6,False,1,False,1,False,0,
8,25,s,True,8,1,True,7,False,1,False,1,False,0,
9,26,s,True,9,1,True,8,False,1,False,1,False,0,
10,18,s,True,10,1,True,9,False,1,False,1,False,0,
11,10,n,True,11,1,False,9,True,2,False,1,False,0,
12,12,s,False,11,2,False,9,False,2,True,2,False,0,
13,36,s,True,12,2,True,10,False,2,False,2,False,0,
14,33,s,True,13,2,True,11,False,2,False,2,False,0,
15,48,n,True,14,2,False,11,True,3,False,2,False,0,
16,21,s,True,15,2,True,12,False,3,False,2,False,0,
17,23,s,True,16,2,True,13,False,3,False,2,False,0,
18,1,n,True,17,2,False,13,True,4,False,2,False,0,
19,42,s,False,17,3,False,13,False,4,True,3,False,0,
20,6,n,True,18,3,False,13,True,5,False,3,False,0,
21,22,s,True,19,3,True,14,False,5,False,3,False,0,
22,41,n,True,20,3,False,14,True,6,False,3,False,0,
23,35,s,True,21,3,True,15,False,6,False,3,False,0,
24,47,n,True,22,3,False,15,True,7,False,3,False,0,
25,4,n,True,23,3,False,15,True,8,False,3,False,0,
26,45,n,True,24,3,False,15,True,9,False,3,False,0,
27,11,n,True,25,3,False,15,True,10,False,3,False,0,
28,9,n,True,26,3,False,15,True,11,False,3,False,0,
29,27,s,True,27,3,True,16,False,11,False,3,False,0,
30,8,n,True,28,3,False,16,True,12,False,3,False,0,
31,13,s,True,29,3,True,17,False,12,False,3,False,0,
32,39,n,True,30,3,False,17,True,13,False,3,False,0,
33,31,s,True,31,3,True,18,False,13,False,3,False,0,
34,7,n,True,32,3,False,18,True,14,False,3,False,0,
35,15,s,True,33,3,True,19,False,14,False,3,False,0,
36,38,n,True,34,3,False,19,True,15,False,3,False,0,
37,17,s,True,35,3,True,20,False,15,False,3,False,0,
38,2,n,True,36,3,False,20,True,16,False,3,False,0,
39,43,n,True,37,3,False,20,True,17,False,3,False,0,
40,29,s,True,38,3,True,21,False,17,False,3,False,0,
41,20,s,True,39,3,True,22,False,17,False,3,False,0,
42,19,s,True,40,3,True,23,False,17,False,3,False,0,
43,37,n,True,41,3,False,23,True,18,False,3,False,0,
44,24,s,True,42,3,True,24,False,18,False,3,False,0,
45,40,n,True,43,3,False,24,True,19,False,3,False,0,
46,44,n,True,44,3,False,24,True,20,False,3,False,0,
47,5,n,True,45,3,False,24,True,21,False,3,False,0,
0,20,s,True,46,3,True,25,False,21,False,3,False,0,
1,35,s,True,47,3,True,26,False,21,False,3,False,0,
2,18,s,True,48,3,True,27,False,21,False,3,False,0,
3,45,n,True,49,3,False,27,True,22,False,3,False,0,
4,17,s,True,50,3,True,28,False,22,False,3,False,0,
5,33,s,True,51,3,True,29,False,22,False,3,False,0,
6,14,s,True,52,3,True,30,False,22,False,3,False,0,
7,46,n,True,53,3,False,30,True,23,False,3,False,0,
8,34,s,True,54,3,True,31,False,23,False,3,False,0,
9,19,s,True,55,3,True,32,False,23,False,3,False,0,
10,47,n,True,56,3,False,32,True,24,False,3,False,0,
11,21,s,True,57,3,True,33,False,24,False,3,False,0,
12,8,n,True,58,3,False,33,True,25,False,3,False,0,
13,30,s,True,59,3,True,34,False,25,False,3,False,0,
14,38,n,True,60,3,False,34,True,26,False,3,False,0,
15,28,n,False,60,4,False,34,False,26,False,3,True,1,
16,31,s,True,61,4,True,35,False,26,False,3,False,1,
17,41,n,True,62,4,False,35,True,27,False,3,False,1,
18,23,s,True,63,4,True,36,False,27,False,3,False,1,
19,37,n,True,64,4,False,36,True,28,False,3,False,1,
20,7,n,True,65,4,False,36,True,29,False,3,False,1,
21,26,s,True,66,4,True,37,False,29,False,3,False,1,
22,2,n,True,67,4,False,37,True,30,False,3,False,1,
23,42,n,True,68,4,False,37,True,31,False,3,False,1,
24,43,n,True,69,4,False,37,True,32,False,3,False,1,
25,15,s,True,70,4,True,38,False,32,False,3,False,1,
26,16,s,True,71,4,True,39,False,32,False,3,False,1,
27,32,s,True,72,4,True,40,False,32,False,3,False,1,
28,4,n,True,73,4,False,40,True,33,False,3,False,1,
29,29,s,True,74,4,True,41,False,33,False,3,False,1,
