Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,38,n,True,1,0,False,0,True,1,False,0,False,0,
1,44,n,True,2,0,False,0,True,2,False,0,False,0,
2,27,s,True,3,0,True,1,False,2,False,0,False,0,
3,25,s,True,4,0,True,2,False,2,False,0,False,0,
4,30,s,True,5,0,True,3,False,2,False,0,False,0,
5,42,s,False,5,1,False,3,False,2,True,1,False,0,
6,10,n,True,6,1,False,3,True,3,False,1,False,0,
7,39,s,False,6,2,False,3,False,3,True,2,False,0,
8,28,n,False,6,3,False,3,False,3,False,2,True,1,
9,18,s,True,7,3,True,4,False,3,False,2,False,1,
10,17,s,True,8,3,True,5,False,3,False,2,False,1,
11,7,n,True,9,3,False,5,True,4,False,2,False,1,
12,13,n,False,9,4,False,5,False,4,False,2,True,2,
13,12,n,True,10,4,False,5,True,5,False,2,False,2,
14,24,n,False,10,5,False,5,False,5,False,2,True,3,
15,2,n,True,11,5,False,5,True,6,False,2,False,3,
16,23,s,True,12,5,True,6,False,6,False,2,False,3,
17,3,n,True,13,5,False,6,True,7,False,2,False,3,
18,11,n,True,14,5,False,6,True,8,False,2,False,3,
19,33,n,False,14,6,False,6,False,8,False,2,True,4,
20,14,s,True,15,6,True,7,False,8,False,2,False,4,
21,35,s,True,16,6,True,8,False,8,False,2,False,4,
22,26,s,True,17,6,True,9,False,8,False,2,False,4,
23,1,n,True,18,6,False,9,True,9,False,2,False,4,
24,47,n,True,19,6,False,9,True,10,False,2,False,4,
25,8,n,True,20,6,False,9,True,11,False,2,False,4,
26,15,s,True,21,6,True,10,False,11,False,2,False,4,
27,32,s,True,22,6,True,11,False,11,False,2,False,4,
28,31,s,True,23,6,True,12,False,11,False,2,False,4,
29,46,n,True,24,6,False,12,True,12,False,2,False,4,
30,48,n,True,25,6,False,12,True,13,False,2,False,4,
31,29,s,True,26,6,True,13,False,13,False,2,False,4,
32,6,n,True,27,6,False,13,True,14,False,2,False,4,
33,5,n,True,28,6,False,13,True,15,False,2,False,4,
34,22,n,False,28,7,False,13,False,15,False,2,True,5,
35,20,s,True,29,7,True,14,False,15,False,2,False,5,
36,37,n,True,30,7,False,14,True,16,False,2,False,5,
37,36,n,False,30,8,False,14,False,16,False,2,True,6,
38,34,s,True,31,8,True,15,False,16,False,2,False,6,
39,45,n,True,32,8,False,15,True,17,False,2,False,6,
40,19,s,True,33,8,True,16,False,17,False,2,False,6,
41,21,s,True,34,8,True,17,False,17,False,2,False,6,
42,43,n,True,35,8,False,17,True,18,False,2,False,6,
43,9,n,True,36,8,False,17,True,19,False,2,False,6,
44,41,s,False,36,9,False,17,False,19,True,3,False,6,
45,4,n,True,37,9,False,17,True,20,False,3,False,6,
46,16,s,True,38,9,True,18,False,20,False,3,False,6,
47,40,n,True,39,9,False,18,True,21,False,3,False,6,
0,37,n,True,40,9,False,18,True,22,False,3,False,6,
1,20,s,True,41,9,True,19,False,22,False,3,False,6,
2,2,n,True,42,9,False,19,True,23,False,3,False,6,
3,38,n,True,43,9,False,19,True,24,False,3,False,6,
4,10,n,True,44,9,False,19,True,25,False,3,False,6,
5,4,n,True,45,9,False,19,True,26,False,3,False,6,
6,28,n,False,45,10,False,19,False,26,False,3,True,7,
7,11,n,True,46,10,False,19,True,27,False,3,False,7,
8,34,n,False,46,11,False,19,False,27,False,3,True,8,
9,43,n,True,47,11,False,19,True,28,False,3,False,8,
10,41,n,True,48,11,False,19,True,29,False,3,False,8,
11,9,n,True,49,11,False,19,True,30,False,3,False,8,
12,35,n,False,49,12,False,19,False,30,False,3,True,9,
13,27,s,True,50,12,True,20,False,30,False,3,False,9,
14,46,n,True,51,12,False,20,True,31,False,3,False,9,
15,1,n,True,52,12,False,20,True,32,False,3,False,9,
16,47,n,True,53,12,False,20,True,33,False,3,False,9,
17,5,n,True,54,12,False,20,True,34,False,3,False,9,
18,17,s,True,55,12,True,21,False,34,False,3,False,9,
19,30,s,True,56,12,True,22,False,34,False,3,False,9,
20,42,s,False,56,13,False,22,False,34,True,4,False,9,
21,22,s,True,57,13,True,23,False,34,False,4,False,9,
22,23,s,True,58,13,True,24,False,34,False,4,False,9,
23,7,n,True,59,13,False,24,True,35,False,4,False,9,
24,44,n,True,60,13,False,24,True,36,False,4,False,9,
25,48,n,True,61,13,False,24,True,37,False,4,False,9,
26,19,s,True,62,13,True,25,False,37,False,4,False,9,
27,33,s,True,63,13,True,26,False,37,False,4,False,9,
28,8,n,True,64,13,False,26,True,38,False,4,False,9,
29,12,n,True,65,13,False,26,True,39,False,4,False,9,
30,13,s,True,66,13,True,27,False,39,False,4,False,9,
31,25,s,True,67,13,True,28,False,39,False,4,False,9,
