Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,48,s,False,0,1,False,0,False,0,True,1,False,0,
1,32,s,True,1,1,True,1,False,0,False,1,False,0,
2,18,s,True,2,1,True,2,False,0,False,1,False,0,
3,12,s,True,3,1,True,3,False,0,False,1,False,0,
4,1,n,True,4,1,False,3,True,1,False,1,False,0,
5,11,n,False,4,2,False,3,False,1,False,1,True,1,
6,43,n,True,5,2,False,3,True,2,False,1,False,1,
7,16,s,True,6,2,True,4,False,2,False,1,False,1,
8,33,s,True,7,2,True,5,False,2,False,1,False,1,
9,7,s,True,8,2,True,6,False,2,False,1,False,1,
10,10,s,True,9,2,True,7,False,2,False,1,False,1,
11,42,n,False,9,3,False,7,False,2,False,1,True,2,
12,2,n,True,10,3,False,7,True,3,False,1,False,2,
13,29,n,True,11,3,False,7,True,4,False,1,False,2,
14,31,s,True,12,3,True,8,False,4,False,1,False,2,
15,45,n,True,13,3,False,8,True,5,False,1,False,2,
16,14,n,False,13,4,False,8,False,5,False,1,True,3,
17,6,n,True,14,4,False,8,True,6,False,1,False,3,
18,47,n,True,15,4,False,8,True,7,False,1,False,3,
19,28,n,True,16,4,False,8,True,8,False,1,False,3,
20,34,s,True,17,4,True,9,False,8,False,1,False,3,
21,4,n,True,18,4,False,9,True,9,False,1,False,3,
22,44,n,True,19,4,False,9,True,10,False,1,False,3,
23,9,s,True,20,4,True,10,False,10,False,1,False,3,
24,15,s,True,21,4,True,11,False,10,False,1,False,3,
25,8,s,True,22,4,True,12,False,10,False,1,False,3,
26,20,s,False,22,5,False,12,False,10,True,2,False,3,
27,13,s,True,23,5,True,13,False,10,False,2,False,3,
28,30,n,True,24,5,False,13,True,11,False,2,False,3,
29,17,s,True,25,5,True,14,False,11,False,2,False,3,
30,35,s,True,26,5,True,15,False,11,False,2,False,3,
31,25,n,True,27,5,False,15,True,12,False,2,False,3,
32,21,n,True,28,5,False,15,True,13,False,2,False,3,
33,36,s,True,29,5,True,16,False,13,False,2,False,3,
34,5,n,True,30,5,False,16,True,14,False,2,False,3,
35,3,n,True,31,5,False,16,True,15,False,2,False,3,
36,26,n,True,32,5,False,16,True,16,False,2,False,3,
37,46,n,True,33,5,False,16,True,17,False,2,False,3,
38,19,n,True,34,5,False,16,True,18,False,2,False,3,
39,41,s,True,35,5,True,17,False,18,False,2,False,3,
40,37,s,True,36,5,True,18,False,18,False,2,False,3,
41,39,s,True,37,5,True,19,False,18,False,2,False,3,
42,40,s,True,38,5,True,20,False,18,False,2,False,3,
43,27,n,True,39,5,False,20,True,19,False,2,False,3,
44,24,n,True,40,5,False,20,True,20,False,2,False,3,
45,38,s,True,41,5,True,21,False,20,False,2,False,3,
46,22,s,False,41,6,False,21,False,20,True,3,False,3,
47,23,n,True,42,6,False,21,True,21,False,3,False,3,
0,27,n,True,43,6,False,21,True,22,False,3,False,3,
1,17,s,True,44,6,True,22,False,22,False,3,False,3,
2,1,n,True,45,6,False,22,True,23,False,3,False,3,
3,18,s,True,46,6,True,23,False,23,False,3,False,3,
4,12,s,True,47,6,True,24,False,23,False,3,False,3,
5,42,s,True,48,6,True,25,False,23,False,3,False,3,
6,9,s,True,49,6,True,26,False,23,False,3,False,3,
7,22,s,False,49,7,False,26,False,23,True,4,False,3,
8,25,n,True,50,7,False,26,True,24,False,4,False,3,
9,8,s,True,51,7,True,27,False,24,False,4,False,3,
10,14,n,False,51,8,False,27,False,24,False,4,True,4,
11,37,s,True,52,8,True,28,False,24,False,4,False,4,
12,19,n,True,53,8,False,28,True,25,False,4,False,4,
13,6,n,True,54,8,False,28,True,26,False,4,False,4,
14,5,n,True,55,8,False,28,True,27,False,4,False,4,
15,48,s,False,55,9,False,28,False,27,True,5,False,4,
16,38,s,True,56,9,True,29,False,27,False,5,False,4,
17,46,n,True,57,9,False,29,True,28,False,5,False,4,
18,10,n,False,57,10,False,29,False,28,False,5,True,5,
19,44,n,True,58,10,False,29,True,29,False,5,False,5,
20,2,n,True,59,10,False,29,True,30,False,5,False,5,
21,7,s,True,60,10,True,30,False,30,False,5,False,5,
22,15,s,True,61,10,True,31,False,30,False,5,False,5,
23,13,n,False,61,11,False,31,False,30,False,5,True,6,
24,45,n,True,62,11,False,31,True,31,False,5,False,6,
25,47,n,True,63,11,False,31,True,32,False,5,False,6,
26,43,n,True,64,11,False,31,True,33,False,5,False,6,
27,16,s,True,65,11,True,32,False,33,False,5,False,6,
28,26,n,True,66,11,False,32,True,34,False,5,False,6,
29,33,s,True,67,11,True,33,False,34,False,5,False,6,
30,29,n,True,68,11,False,33,True,35,False,5,False,6,
31,4,n,True,69,11,False,33,True,36,False,5,False,6,
32,20,n,True,70,11,False,33,True,37,False,5,False,6,
33,23,n,True,71,11,False,33,True,38,False,5,False,6,
34,39,s,True,72,11,True,34,False,38,False,5,False,6,
35,30,n,True,73,11,False,34,True,39,False,5,False,6,
36,3,n,True,74,11,False,34,True,40,False,5,False,6,
37,35,s,True,75,11,True,35,False,40,False,5,False,6,
38,24,s,False,75,12,False,35,False,40,True,6,False,6,
39,32,s,True,76,12,True,36,False,40,False,6,False,6,
40,28,n,True,77,12,False,36,True,41,False,6,False,6,
41,41,s,True,78,12,True,37,False,41,False,6,False,6,
42,11,s,True,79,12,True,38,False,41,False,6,False,6,
43,40,s,True,80,12,True,39,False,41,False,6,False,6,
44,21,n,True,81,12,False,39,True,42,False,6,False,6,
45,36,s,True,82,12,True,40,False,42,False,6,False,6,
46,34,s,True,83,12,True,41,False,42,False,6,False,6,
47,31,s,True,84,12,True,42,False,42,False,6,False,6,
0,48,n,True,85,12,False,42,True,43,False,6,False,6,
1,8,s,True,86,12,True,43,False,43,False,6,False,6,
2,6,n,True,87,12,False,43,True,44,False,6,False,6,
3,21,n,True,88,12,False,43,True,45,False,6,False,6,
4,1,n,True,89,12,False,43,True,46,False,6,False,6,
5,11,s,True,90,12,True,44,False,46,False,6,False,6,
6,40,s,True,91,12,True,45,False,46,False,6,False,6,
7,20,s,False,91,13,False,45,False,46,True,7,False,6,
8,29,n,True,92,13,False,45,True,47,False,7,False,6,
9,42,s,True,93,13,True,46,False,47,False,7,False,6,
10,38,s,True,94,13,True,47,False,47,False,7,False,6,
11,25,n,True,95,13,False,47,True,48,False,7,False,6,
12,30,n,True,96,13,False,47,True,49,False,7,False,6,
13,19,n,True,97,13,False,47,True,50,False,7,False,6,
14,17,s,True,98,13,True,48,False,50,False,7,False,6,
15,34,s,True,99,13,True,49,False,50,False,7,False,6,
16,10,s,True,100,13,True,50,False,50,False,7,False,6,
17,27,n,True,101,13,False,50,True,51,False,7,False,6,
18,7,s,True,102,13,True,51,False,51,False,7,False,6,
19,47,n,True,103,13,False,51,True,52,False,7,False,6,
