Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,12,s,True,1,0,True,1,False,0,False,0,False,0,
1,4,n,True,2,0,False,1,True,1,False,0,False,0,
2,26,n,True,3,0,False,1,True,2,False,0,False,0,
3,18,s,True,4,0,True,2,False,2,False,0,False,0,
4,44,s,False,4,1,False,2,False,2,True,1,False,0,
5,36,s,True,5,1,True,3,False,2,False,1,False,0,
6,32,s,True,6,1,True,4,False,2,False,1,False,0,
7,41,s,True,7,1,True,5,False,2,False,1,False,0,
8,43,n,True,8,1,False,5,True,3,False,1,False,0,
9,28,n,True,9,1,False,5,True,4,False,1,False,0,
10,48,s,False,9,2,False,5,False,4,True,2,False,0,
11,20,s,False,9,3,False,5,False,4,True,3,False,0,
12,22,s,False,9,4,False,5,False,4,True,4,False,0,
13,37,n,False,9,5,False,5,False,4,False,4,True,1,
14,2,n,True,10,5,False,5,True,5,False,4,False,1,
15,23,s,False,10,6,False,5,False,5,True,5,False,1,
16,30,n,True,11,6,False,5,True,6,False,5,False,1,
17,14,n,False,11,7,False,5,False,6,False,5,True,2,
18,34,s,True,12,7,True,6,False,6,False,5,False,2,
19,16,s,True,13,7,True,7,False,6,False,5,False,2,
20,46,s,False,13,8,False,7,False,6,True,6,False,2,
21,40,s,True,14,8,True,8,False,6,False,6,False,2,
22,5,n,True,15,8,False,8,True,7,False,6,False,2,
23,27,n,True,16,8,False,8,True,8,False,6,False,2,
24,8,s,True,17,8,True,9,False,8,False,6,False,2,
25,1,n,True,18,8,False,9,True,9,False,6,False,2,
26,19,s,False,18,9,False,9,False,9,True,7,False,2,
27,25,n,True,19,9,False,9,True,10,False,7,False,2,
28,47,s,False,19,10,False,9,False,10,True,8,False,2,
29,17,s,True,20,10,True,10,False,10,False,8,False,2,
30,42,s,True,21,10,True,11,False,10,False,8,False,2,
31,11,s,True,22,10,True,12,False,10,False,8,False,2,
32,6,n,True,23,10,False,12,True,11,False,8,False,2,
33,33,s,True,24,10,True,13,False,11,False,8,False,2,
34,24,s,False,24,11,False,13,False,11,True,9,False,2,
35,29,n,True,25,11,False,13,True,12,False,9,False,2,
36,45,s,False,25,12,False,13,False,12,True,10,False,2,
37,39,s,True,26,12,True,14,False,12,False,10,False,2,
38,31,s,True,27,12,True,15,False,12,False,10,False,2,
39,13,n,False,27,13,False,15,False,12,False,10,True,3,
40,15,s,True,28,13,True,16,False,12,False,10,False,3,
41,3,n,True,29,13,False,16,True,13,False,10,False,3,
42,38,s,True,30,13,True,17,False,13,False,10,False,3,
43,21,s,False,30,14,False,17,False,13,True,11,False,3,
44,10,s,True,31,14,True,18,False,13,False,11,False,3,
45,9,s,True,32,14,True,19,False,13,False,11,False,3,
46,35,s,True,33,14,True,20,False,13,False,11,False,3,
47,7,s,True,34,14,True,21,False,13,False,11,False,3,
0,39,s,True,35,14,True,22,False,13,False,11,False,3,
1,43,n,True,36,14,False,22,True,14,False,11,False,3,
2,11,s,True,37,14,True,23,False,14,False,11,False,3,
3,48,s,False,37,15,False,23,False,14,True,12,False,3,
4,29,n,True,38,15,False,23,True,15,False,12,False,3,
5,5,n,True,39,15,False,23,True,16,False,12,False,3,
6,16,s,True,40,15,True,24,False,16,False,12,False,3,
7,36,s,True,41,15,True,25,False,16,False,12,False,3,
8,1,n,True,42,15,False,25,True,17,False,12,False,3,
9,6,n,True,43,15,False,25,True,18,False,12,False,3,
10,17,s,True,44,15,True,26,False,18,False,12,False,3,
11,27,n,True,45,15,False,26,True,19,False,12,False,3,
12,28,n,True,46,15,False,26,True,20,False,12,False,3,
13,34,s,True,47,15,True,27,False,20,False,12,False,3,
14,14,s,True,48,15,True,28,False,20,False,12,False,3,
15,40,s,True,49,15,True,29,False,20,False,12,False,3,
16,44,s,False,49,16,False,29,False,20,True,13,False,3,
17,26,n,True,50,16,False,29,True,21,False,13,False,3,
18,22,s,False,50,17,False,29,False,21,True,14,False,3,
19,18,n,False,50,18,False,29,False,21,False,14,True,4,
20,2,n,True,51,18,False,29,True,22,False,14,False,4,
21,13,s,True,52,18,True,30,False,22,False,14,False,4,
22,31,s,True,53,18,True,31,False,22,False,14,False,4,
23,32,s,True,54,18,True,32,False,22,False,14,False,4,
24,21,s,False,54,19,False,32,False,22,True,15,False,4,
25,41,s,True,55,19,True,33,False,22,False,15,False,4,
26,42,s,True,56,19,True,34,False,22,False,15,False,4,
27,46,s,False,56,20,False,34,False,22,True,16,False,4,
28,24,s,False,56,21,False,34,False,22,True,17,False,4,
29,30,n,True,57,21,False,34,True,23,False,17,False,4,
30,9,s,True,58,21,True,35,False,23,False,17,False,4,
31,4,n,True,59,21,False,35,True,24,False,17,False,4,
32,3,n,True,60,21,False,35,True,25,False,17,False,4,
33,47,s,False,60,22,False,35,False,25,True,18,False,4,
34,37,n,False,60,23,False,35,False,25,False,18,True,5,
35,10,n,False,60,24,False,35,False,25,False,18,True,6,
36,33,s,True,61,24,True,36,False,25,False,18,False,6,
37,19,s,False,61,25,False,36,False,25,True,19,False,6,
38,15,n,False,61,26,False,36,False,25,False,19,True,7,
39,45,n,True,62,26,False,36,True,26,False,19,False,7,
40,38,s,True,63,26,True,37,False,26,False,19,False,7,
41,23,n,True,64,26,False,37,True,27,False,19,False,7,
42,25,n,True,65,26,False,37,True,28,False,19,False,7,
43,20,s,False,65,27,False,37,False,28,True,20,False,7,
44,8,s,True,66,27,True,38,False,28,False,20,False,7,
45,7,s,True,67,27,True,39,False,28,False,20,False,7,
46,35,s,True,68,27,True,40,False,28,False,20,False,7,
47,12,s,True,69,27,True,41,False,28,False,20,False,7,
0,12,s,True,70,27,True,42,False,28,False,20,False,7,
1,32,s,True,71,27,True,43,False,28,False,20,False,7,
2,2,n,True,72,27,False,43,True,29,False,20,False,7,
3,15,n,False,72,28,False,43,False,29,False,20,True,8,
4,6,n,True,73,28,False,43,True,30,False,20,False,8,
5,29,n,True,74,28,False,43,True,31,False,20,False,8,
6,4,n,True,75,28,False,43,True,32,False,20,False,8,
7,48,s,False,75,29,False,43,False,32,True,21,False,8,
8,46,s,False,75,30,False,43,False,32,True,22,False,8,
9,14,s,True,76,30,True,44,False,32,False,22,False,8,
10,47,s,False,76,31,False,44,False,32,True,23,False,8,
11,10,n,False,76,32,False,44,False,32,False,23,True,9,
12,30,n,True,77,32,False,44,True,33,False,23,False,9,
13,41,s,True,78,32,True,45,False,33,False,23,False,9,
14,24,s,False,78,33,False,45,False,33,True,24,False,9,
15,22,s,False,78,34,False,45,False,33,True,25,False,9,
16,17,n,False,78,35,False,45,False,33,False,25,True,10,
17,8,s,True,79,35,True,46,False,33,False,25,False,10,
18,43,n,True,80,35,False,46,True,34,False,25,False,10,
19,20,s,False,80,36,False,46,False,34,True,26,False,10,
20,11,s,True,81,36,True,47,False,34,False,26,False,10,
21,45,n,True,82,36,False,47,True,35,False,26,False,10,
22,18,n,False,82,37,False,47,False,35,False,26,True,11,
23,35,s,True,83,37,True,48,False,35,False,26,False,11,
24,7,s,True,84,37,True,49,False,35,False,26,False,11,
25,21,n,True,85,37,False,49,True,36,False,26,False,11,
26,9,n,False,85,38,False,49,False,36,False,26,True,12,
27,1,n,True,86,38,False,49,True,37,False,26,False,12,
28,34,s,True,87,38,True,50,False,37,False,26,False,12,
29,37,s,True,88,38,True,51,False,37,False,26,False,12,
30,16,s,True,89,38,True,52,False,37,False,26,False,12,
31,28,n,True,90,38,False,52,True,38,False,26,False,12,
32,5,n,True,91,38,False,52,True,39,False,26,False,12,
33,42,n,False,91,39,False,52,False,39,False,26,True,13,
34,13,n,False,91,40,False,52,False,39,False,26,True,14,
35,27,n,True,92,40,False,52,True,40,False,26,False,14,
36,40,s,True,93,40,True,53,False,40,False,26,False,14,
37,36,s,True,94,40,True,54,False,40,False,26,False,14,
38,33,s,True,95,40,True,55,False,40,False,26,False,14,
39,38,s,True,96,40,True,56,False,40,False,26,False,14,
40,25,n,True,97,40,False,56,True,41,False,26,False,14,
41,23,s,False,97,41,False,56,False,41,True,27,False,14,
42,26,n,True,98,41,False,56,True,42,False,27,False,14,
43,39,s,True,99,41,True,57,False,42,False,27,False,14,
44,3,n,True,100,41,False,57,True,43,False,27,False,14,
45,31,s,True,101,41,True,58,False,43,False,27,False,14,
46,44,n,True,102,41,False,58,True,44,False,27,False,14,
47,19,n,True,103,41,False,58,True,45,False,27,False,14,
0,35,s,True,104,41,True,59,False,45,False,27,False,14,
1,32,n,False,104,42,False,59,False,45,False,27,True,15,
2,15,n,False,104,43,False,59,False,45,False,27,True,16,
3,19,s,False,104,44,False,59,False,45,True,28,False,16,
4,48,s,False,104,45,False,59,False,45,True,29,False,16,
5,25,n,True,105,45,False,59,True,46,False,29,False,16,
6,9,n,False,105,46,False,59,False,46,False,29,True,17,
7,12,n,False,105,47,False,59,False,46,False,29,True,18,
8,47,s,False,105,48,False,59,False,46,True,30,False,18,
9,14,n,False,105,49,False,59,False,46,False,30,True,19,
10,38,s,True,106,49,True,60,False,46,False,30,False,19,
11,7,s,True,107,49,True,61,False,46,False,30,False,19,
12,4,n,True,108,49,False,61,True,47,False,30,False,19,
13,34,s,True,109,49,True,62,False,47,False,30,False,19,
14,16,s,True,110,49,True,63,False,47,False,30,False,19,
15,45,n,True,111,49,False,63,True,48,False,30,False,19,
16,37,s,True,112,49,True,64,False,48,False,30,False,19,
17,26,n,True,113,49,False,64,True,49,False,30,False,19,
18,2,n,True,114,49,False,64,True,50,False,30,False,19,
19,11,s,True,115,49,True,65,False,50,False,30,False,19,
20,5,n,True,116,49,False,65,True,51,False,30,False,19,
21,27,n,True,117,49,False,65,True,52,False,30,False,19,
22,31,n,False,117,50,False,65,False,52,False,30,True,20,
23,24,s,False,117,51,False,65,False,52,True,31,False,20,
24,20,s,False,117,52,False,65,False,52,True,32,False,20,
25,18,n,False,117,53,False,65,False,52,False,32,True,21,
26,23,s,False,117,54,False,65,False,52,True,33,False,21,
27,43,n,True,118,54,False,65,True,53,False,33,False,21,
28,6,n,True,119,54,False,65,True,54,False,33,False,21,
29,28,n,True,120,54,False,65,True,55,False,33,False,21,
30,17,s,True,121,54,True,66,False,55,False,33,False,21,
31,40,s,True,122,54,True,67,False,55,False,33,False,21,
32,21,n,True,123,54,False,67,True,56,False,33,False,21,
33,36,s,True,124,54,True,68,False,56,False,33,False,21,
34,33,s,True,125,54,True,69,False,56,False,33,False,21,
35,13,s,True,126,54,True,70,False,56,False,33,False,21,
36,44,n,True,127,54,False,70,True,57,False,33,False,21,
37,39,n,False,127,55,False,70,False,57,False,33,True,22,
38,42,n,False,127,56,False,70,False,57,False,33,True,23,
39,41,n,False,127,57,False,70,False,57,False,33,True,24,
40,1,n,True,128,57,False,70,True,58,False,33,False,24,
41,29,n,True,129,57,False,70,True,59,False,33,False,24,
42,46,n,True,130,57,False,70,True,60,False,33,False,24,
43,3,n,True,131,57,False,70,True,61,False,33,False,24,
44,8,s,True,132,57,True,71,False,61,False,33,False,24,
45,22,s,False,132,58,False,71,False,61,True,34,False,24,
46,10,s,True,133,58,True,72,False,61,False,34,False,24,
47,30,n,True,134,58,False,72,True,62,False,34,False,24,
0,19,s,False,134,59,False,72,False,62,True,35,False,24,
1,37,s,True,135,59,True,73,False,62,False,35,False,24,
2,24,n,True,136,59,False,73,True,63,False,35,False,24,
3,22,s,False,136,60,False,73,False,63,True,36,False,24,
4,46,n,True,137,60,False,73,True,64,False,36,False,24,
5,28,n,True,138,60,False,73,True,65,False,36,False,24,
6,9,n,False,138,61,False,73,False,65,False,36,True,25,
7,26,n,True,139,61,False,73,True,66,False,36,False,25,
8,25,n,True,140,61,False,73,True,67,False,36,False,25,
9,12,s,True,141,61,True,74,False,67,False,36,False,25,
10,8,s,True,142,61,True,75,False,67,False,36,False,25,
11,18,s,True,143,61,True,76,False,67,False,36,False,25,
12,17,n,False,143,62,False,76,False,67,False,36,True,26,
13,15,s,True,144,62,True,77,False,67,False,36,False,26,
14,44,s,False,144,63,False,77,False,67,True,37,False,26,
15,34,s,True,145,63,True,78,False,67,False,37,False,26,
16,33,s,True,146,63,True,79,False,67,False,37,False,26,
17,6,n,True,147,63,False,79,True,68,False,37,False,26,
18,14,n,False,147,64,False,79,False,68,False,37,True,27,
19,3,n,True,148,64,False,79,True,69,False,37,False,27,
20,13,n,False,148,65,False,79,False,69,False,37,True,28,
21,20,s,False,148,66,False,79,False,69,True,38,False,28,
22,40,s,True,149,66,True,80,False,69,False,38,False,28,
23,21,n,True,150,66,False,80,True,70,False,38,False,28,
24,41,n,False,150,67,False,80,False,70,False,38,True,29,
25,5,n,True,151,67,False,80,True,71,False,38,False,29,
26,30,n,True,152,67,False,80,True,72,False,38,False,29,
27,35,s,True,153,67,True,81,False,72,False,38,False,29,
28,42,s,True,154,67,True,82,False,72,False,38,False,29,
29,2,n,True,155,67,False,82,True,73,False,38,False,29,
30,31,n,False,155,68,False,82,False,73,False,38,True,30,
31,43,n,True,156,68,False,82,True,74,False,38,False,30,
32,4,n,True,157,68,False,82,True,75,False,38,False,30,
33,16,s,True,158,68,True,83,False,75,False,38,False,30,
34,23,s,False,158,69,False,83,False,75,True,39,False,30,
35,32,s,True,159,69,True,84,False,75,False,39,False,30,
36,29,n,True,160,69,False,84,True,76,False,39,False,30,
37,45,n,True,161,69,False,84,True,77,False,39,False,30,
38,11,n,False,161,70,False,84,False,77,False,39,True,31,
39,39,s,True,162,70,True,85,False,77,False,39,False,31,
40,38,n,False,162,71,False,85,False,77,False,39,True,32,
41,10,s,True,163,71,True,86,False,77,False,39,False,32,
42,7,s,True,164,71,True,87,False,77,False,39,False,32,
43,48,s,False,164,72,False,87,False,77,True,40,False,32,
44,36,s,True,165,72,True,88,False,77,False,40,False,32,
45,1,n,True,166,72,False,88,True,78,False,40,False,32,
46,27,n,True,167,72,False,88,True,79,False,40,False,32,
47,47,n,True,168,72,False,88,True,80,False,40,False,32,
0,19,n,True,169,72,False,88,True,81,False,40,False,32,
1,14,n,False,169,73,False,88,False,81,False,40,True,33,
2,2,n,True,170,73,False,88,True,82,False,40,False,33,
3,8,s,True,171,73,True,89,False,82,False,40,False,33,
4,10,n,False,171,74,False,89,False,82,False,40,True,34,
5,12,s,True,172,74,True,90,False,82,False,40,False,34,
6,11,s,True,173,74,True,91,False,82,False,40,False,34,
7,38,s,True,174,74,True,92,False,82,False,40,False,34,
8,37,s,True,175,74,True,93,False,82,False,40,False,34,
9,24,s,False,175,75,False,93,False,82,True,41,False,34,
10,46,s,False,175,76,False,93,False,82,True,42,False,34,
11,35,s,True,176,76,True,94,False,82,False,42,False,34,
12,7,s,True,177,76,True,95,False,82,False,42,False,34,
13,4,n,True,178,76,False,95,True,83,False,42,False,34,
14,20,s,False,178,77,False,95,False,83,True,43,False,34,
15,26,s,False,178,78,False,95,False,83,True,44,False,34,
16,36,s,True,179,78,True,96,False,83,False,44,False,34,
17,47,n,True,180,78,False,96,True,84,False,44,False,34,
18,15,s,True,181,78,True,97,False,84,False,44,False,34,
19,29,n,True,182,78,False,97,True,85,False,44,False,34,
20,34,s,True,183,78,True,98,False,85,False,44,False,34,
21,48,n,True,184,78,False,98,True,86,False,44,False,34,
22,31,s,True,185,78,True,99,False,86,False,44,False,34,
23,41,s,True,186,78,True,100,False,86,False,44,False,34,
24,17,n,False,186,79,False,100,False,86,False,44,True,35,
25,42,s,True,187,79,True,101,False,86,False,44,False,35,
26,6,n,True,188,79,False,101,True,87,False,44,False,35,
27,45,n,True,189,79,False,101,True,88,False,44,False,35,
28,16,s,True,190,79,True,102,False,88,False,44,False,35,
29,27,n,True,191,79,False,102,True,89,False,44,False,35,
30,18,n,False,191,80,False,102,False,89,False,44,True,36,
31,39,s,True,192,80,True,103,False,89,False,44,False,36,
32,40,s,True,193,80,True,104,False,89,False,44,False,36,
33,3,n,True,194,80,False,104,True,90,False,44,False,36,
34,28,n,True,195,80,False,104,True,91,False,44,False,36,
35,23,s,False,195,81,False,104,False,91,True,45,False,36,
36,21,s,False,195,82,False,104,False,91,True,46,False,36,
37,9,n,False,195,83,False,104,False,91,False,46,True,37,
38,5,n,True,196,83,False,104,True,92,False,46,False,37,
39,43,n,True,197,83,False,104,True,93,False,46,False,37,
40,25,n,True,198,83,False,104,True,94,False,46,False,37,
41,32,s,True,199,83,True,105,False,94,False,46,False,37,
42,33,s,True,200,83,True,106,False,94,False,46,False,37,
43,30,n,True,201,83,False,106,True,95,False,46,False,37,
44,22,s,False,201,84,False,106,False,95,True,47,False,37,
45,1,n,True,202,84,False,106,True,96,False,47,False,37,
46,44,n,True,203,84,False,106,True,97,False,47,False,37,
