Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, ,
3,1,s,False,0,4,False,0,False,0,1,4,False,0,,
9,1,s,False,29,29,False,29,False,0,1,29,False,0,,
16,1,s,False,54,59,False,54,False,0,1,59,False,0,,
17,1,s,False,82,80,False,82,False,0,1,80,False,0,,
26,1,s,False,109,110,False,109,False,0,1,110,False,0,,
45,1,s,False,142,144,False,142,False,0,1,144,False,0,,
44,1,s,False,165,168,False,165,False,0,1,168,False,0,,
46,2,s,False,24,23,False,24,False,0,1,23,False,0,,
40,2,s,False,45,44,False,45,False,0,1,44,False,0,,
10,2,s,False,51,56,False,51,False,0,1,56,False,0,,
34,2,s,False,89,90,False,89,False,0,1,90,False,0,,
11,2,s,False,101,103,False,101,False,0,1,103,False,0,,
0,2,s,False,120,121,False,120,False,0,1,121,False,0,,
17,2,s,False,153,153,False,153,False,0,1,153,False,0,,
11,3,s,False,3,9,False,3,False,0,1,9,False,0,,
28,3,s,False,39,38,False,39,False,0,1,38,False,0,,
6,3,s,False,50,53,False,50,False,0,1,53,False,0,,
13,3,s,False,79,79,False,79,False,0,1,79,False,0,,
6,3,s,False,99,100,False,99,False,0,1,100,False,0,,
10,3,s,False,125,126,False,125,False,0,1,126,False,0,,
29,3,s,False,158,160,False,158,False,0,1,160,False,0,,
31,4,s,False,14,18,False,14,False,0,1,18,False,0,,
34,4,s,False,41,42,False,41,False,0,1,42,False,0,,
11,4,s,False,51,57,False,51,False,0,1,57,False,0,,
32,4,s,False,88,89,False,88,False,0,1,89,False,0,,
46,4,s,False,119,120,False,119,False,0,1,120,False,0,,
25,4,s,False,130,136,False,130,False,0,1,136,False,0,,
31,4,s,False,158,162,False,158,False,0,1,162,False,0,,
44,5,s,False,23,22,False,23,False,0,1,22,False,0,,
13,5,s,False,30,32,False,30,False,0,1,32,False,0,,
5,5,s,False,50,52,False,50,False,0,1,52,False,0,,
4,5,s,False,74,75,False,74,False,0,1,75,False,0,,
43,5,s,False,118,118,False,118,False,0,1,118,False,0,,
18,5,s,False,128,131,False,128,False,0,1,131,False,0,,
41,5,s,False,164,166,False,164,False,0,1,166,False,0,,
37,6,s,0,18,20,0,18,False,0,1,20,False,0,,
41,6,s,0,46,44,0,46,False,0,1,44,False,0,,
14,6,s,0,54,57,0,54,False,0,1,57,False,0,,
21,6,s,0,86,80,0,86,False,0,1,80,False,0,,
39,6,s,0,116,116,0,116,False,0,1,116,False,0,,
47,6,s,0,144,144,0,144,False,0,1,144,False,0,,
47,6,s,0,168,168,0,168,False,0,1,168,False,0,,
36,7,s,1,17,20,1,17,False,0,False,20,False,0,,
38,7,s,1,45,42,1,45,False,0,False,42,False,0,,
46,7,s,1,71,72,1,71,False,0,False,72,False,0,,
47,7,s,1,96,96,1,96,False,0,False,96,False,0,,
32,7,s,1,111,114,1,111,False,0,False,114,False,0,,
35,7,s,1,135,141,1,135,False,0,False,141,False,0,,
36,7,s,1,161,164,1,161,False,0,False,164,False,0,,
8,8,s,1,2,7,1,2,False,0,False,7,False,0,,
15,8,s,1,32,32,1,32,False,0,False,32,False,0,,
30,8,s,1,62,65,1,62,False,0,False,65,False,0,,
43,8,s,1,94,94,1,94,False,0,False,94,False,0,,
10,8,s,1,101,102,1,101,False,0,False,102,False,0,,
42,8,s,1,141,142,1,141,False,0,False,142,False,0,,
37,8,s,1,162,164,1,162,False,0,False,164,False,0,,
23,9,s,1,10,14,1,10,False,0,False,14,False,0,,
37,9,s,1,44,42,1,44,False,0,False,42,False,0,,
20,9,s,1,57,60,1,57,False,0,False,60,False,0,,
16,9,s,1,82,79,1,82,False,0,False,79,False,0,,
1,9,s,1,97,97,1,97,False,0,False,97,False,0,,
3,9,s,1,122,122,1,122,False,0,False,122,False,0,,
45,9,s,1,166,168,1,166,False,0,False,168,False,0,,
4,10,s,1,1,4,1,1,False,0,False,4,False,0,,
0,10,s,1,25,24,1,25,False,0,False,24,False,0,,
42,10,s,1,69,70,1,69,False,0,False,70,False,0,,
37,10,s,1,91,91,1,91,False,0,False,91,False,0,,
40,10,s,1,117,116,1,117,False,0,False,116,False,0,,
38,10,s,1,137,142,1,137,False,0,False,142,False,0,,
6,10,s,1,147,148,1,147,False,0,False,148,False,0,,
17,11,s,1,7,11,1,7,False,0,False,11,False,0,,
4,11,s,1,26,27,1,26,False,0,False,27,False,0,,
43,11,s,1,70,70,1,70,False,0,False,70,False,0,,
11,11,s,1,79,77,1,79,False,0,False,77,False,0,,
30,11,s,1,110,113,1,110,False,0,False,113,False,0,,
