Treatment,Session,Period,Subject,Profit,TotalProfit,Guess,Average,TargetValue,Diff,IsWinner,NumWinners
1,1,1,1,0,15,23,40.76470588,27.17647059,4.176470588,0,1
1,1,1,2,0,15,49,40.76470588,27.17647059,21.82352941,0,1
1,1,1,3,0,15,31,40.76470588,27.17647059,3.823529412,0,1
1,1,1,4,0,15,56,40.76470588,27.17647059,28.82352941,0,1
1,1,1,5,0,15,87,40.76470588,27.17647059,59.82352941,0,1
1,1,1,6,0,15,20,40.76470588,27.17647059,7.176470588,0,1
1,1,1,7,0,15,25,40.76470588,27.17647059,2.176470588,0,1
1,1,1,8,0,15,45,40.76470588,27.17647059,17.82352941,0,1
1,1,1,9,0,15,7,40.76470588,27.17647059,20.17647059,0,1
1,1,1,10,0,15,48,40.76470588,27.17647059,20.82352941,0,1
1,1,1,11,20,35,29,40.76470588,27.17647059,1.823529412,1,1
1,1,1,12,0,15,55,40.76470588,27.17647059,27.82352941,0,1
1,1,1,13,0,15,88,40.76470588,27.17647059,60.82352941,0,1
1,1,1,14,0,15,15,40.76470588,27.17647059,12.17647059,0,1
1,1,1,15,0,15,88,40.76470588,27.17647059,60.82352941,0,1
1,1,1,16,0,15,23,40.76470588,27.17647059,4.176470588,0,1
1,1,1,17,0,15,4,40.76470588,27.17647059,23.17647059,0,1
1,1,2,1,0,15,13,30.35294118,20.23529412,7.235294118,0,1
1,1,2,2,0,15,17,30.35294118,20.23529412,3.235294118,0,1
1,1,2,3,0,15,19,30.35294118,20.23529412,1.235294118,0,1
1,1,2,4,0,15,34,30.35294118,20.23529412,13.76470588,0,1
1,1,2,5,0,15,56,30.35294118,20.23529412,35.76470588,0,1
1,1,2,6,0,15,30,30.35294118,20.23529412,9.764705882,0,1
1,1,2,7,0,15,27,30.35294118,20.23529412,6.764705882,0,1
1,1,2,8,0,15,25,30.35294118,20.23529412,4.764705882,0,1
1,1,2,9,0,15,49,30.35294118,20.23529412,28.76470588,0,1
1,1,2,10,20,35,20,30.35294118,20.23529412,0.235294118,1,1
1,1,2,11,0,35,50,30.35294118,20.23529412,29.76470588,0,1
1,1,2,12,0,15,25,30.35294118,20.23529412,4.764705882,0,1
1,1,2,13,0,15,41,30.35294118,20.23529412,20.76470588,0,1
1,1,2,14,0,15,23,30.35294118,20.23529412,2.764705882,0,1
1,1,2,15,0,15,44,30.35294118,20.23529412,23.76470588,0,1
1,1,2,16,0,15,30,30.35294118,20.23529412,9.764705882,0,1
1,1,2,17,0,15,13,30.35294118,20.23529412,7.235294118,0,1
1,1,3,1,0,15,16,18.05882353,12.03921569,3.960784314,0,1
1,1,3,2,0,15,23,18.05882353,12.03921569,10.96078431,0,1
1,1,3,3,0,15,16,18.05882353,12.03921569,3.960784314,0,1
1,1,3,4,0,15,15,18.05882353,12.03921569,2.960784314,0,1
