Treatment,Session,Period,Subject,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10, Profit , TotalProfit ,Guess1,FinalGuess, Average , TargetValue , Diff ,IsWinner,NumWinners,Players
2,1,1,1,0,2,2,4,7,1,1,1,1,1,3,3,2,4,5,0,0,0,0,3, 2.95 , 17.95 ,50,50, 45.10 , 30.07 , 19.93 ,0,1,20
2,1,1,2,0,2,2,4,7,1,1,1,1,1,1,1,14,3,1,0,0,0,0,0, 2.53 , 17.53 ,32,32, 45.10 , 30.07 , 1.93 ,0,1,20
2,1,1,3,0,2,2,4,7,1,1,1,1,1,3,1,5,3,4,2,1,1,0,0, 2.92 , 17.92 ,23,23, 45.10 , 30.07 , 7.07 ,0,1,20
2,1,1,4,0,2,2,4,7,1,1,1,1,1,0,1,2,4,5,4,2,1,1,0, 22.96 , 37.96 ,31,31, 45.10 , 30.07 , 0.93 ,1,1,20
2,1,1,5,0,2,2,4,7,1,1,1,1,1,0,0,0,3,10,3,3,0,0,1, 2.93 , 17.93 ,75,75, 45.10 , 30.07 , 44.93 ,0,1,20
2,1,1,6,0,2,2,4,7,1,1,1,1,1,0,2,5,4,6,3,0,0,0,0, 2.96 , 17.96 ,100,100, 45.10 , 30.07 , 69.93 ,0,1,20
2,1,1,7,0,2,2,4,7,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2, 2.91 , 17.91 ,54,54, 45.10 , 30.07 , 23.93 ,0,1,20
2,1,1,8,0,2,2,4,7,1,1,1,1,1,0,0,0,0,4,4,7,5,0,0, 2.76 , 17.76 ,45,45, 45.10 , 30.07 , 14.93 ,0,1,20
2,1,1,9,0,2,2,4,7,1,1,1,1,1,2,2,2,5,3,3,1,1,1,0, 2.94 , 17.94 ,42,42, 45.10 , 30.07 , 11.93 ,0,1,20
2,1,1,10,0,2,2,4,7,1,1,1,1,1,0,0,2,2,1,2,2,7,2,2, 2.79 , 17.79 ,70,70, 45.10 , 30.07 , 39.93 ,0,1,20
2,1,1,11,0,2,2,4,7,1,1,1,1,1,0,3,7,1,1,3,0,5,0,0, 2.77 , 17.77 ,17,17, 45.10 , 30.07 , 13.07 ,0,1,20
2,1,1,12,0,2,2,4,7,1,1,1,1,1,1,1,2,2,4,5,2,2,1,0, 2.92 , 17.92 ,85,85, 45.10 , 30.07 , 54.93 ,0,1,20
2,1,1,13,0,2,2,4,7,1,1,1,1,1,0,2,10,2,2,2,2,0,0,0, 2.76 , 17.76 ,43,43, 45.10 , 30.07 , 12.93 ,0,1,20
2,1,1,14,0,2,2,4,7,1,1,1,1,1,0,2,1,3,5,4,3,1,1,0, 2.95 , 17.95 ,43,43, 45.10 , 30.07 , 12.93 ,0,1,20
2,1,1,15,0,2,2,4,7,1,1,1,1,1,0,1,1,2,4,4,3,2,2,1, 2.93 , 17.93 ,43,43, 45.10 , 30.07 , 12.93 ,0,1,20
2,1,1,16,0,2,2,4,7,1,1,1,1,1,2,4,5,4,4,1,0,0,0,0, 2.93 , 17.93 ,17,17, 45.10 , 30.07 , 13.07 ,0,1,20
2,1,1,17,0,2,2,4,7,1,1,1,1,1,0,0,0,8,7,4,1,0,0,0, 2.91 , 17.91 ,35,35, 45.10 , 30.07 , 4.93 ,0,1,20
2,1,1,18,0,2,2,4,7,1,1,1,1,1,0,0,5,8,7,0,0,0,0,0, 2.92 , 17.92 ,23,23, 45.10 , 30.07 , 7.07 ,0,1,20
2,1,1,19,0,2,2,4,7,1,1,1,1,1,0,2,3,2,2,1,3,2,3,2, 2.90 , 17.90 ,32,32, 45.10 , 30.07 , 1.93 ,0,1,20
2,1,1,20,0,2,2,4,7,1,1,1,1,1,0,0,2,4,8,2,2,2,0,0, 2.98 , 17.98 ,42,42, 45.10 , 30.07 , 11.93 ,0,1,20
2,1,2,1,2,3,5,5,4,0,1,0,0,0,1,1,2,5,5,0,0,1,2,3, 22.93 , 40.87 ,20,20, 31.85 , 21.23 , 1.23 ,1,1,20
2,1,2,2,2,3,5,5,4,0,1,0,0,0,1,0,6,6,4,1,1,1,0,0, 2.97 , 20.50 ,41,41, 31.85 , 21.23 , 19.77 ,0,1,20
2,1,2,3,2,3,5,5,4,0,1,0,0,0,4,4,8,1,0,0,0,1,1,1, 2.88 , 20.80 ,18,18, 31.85 , 21.23 , 3.23 ,0,1,20
2,1,2,4,2,3,5,5,4,0,1,0,0,0,0,0,3,4,4,4,4,1,0,0, 2.89 , 40.85 ,45,45, 31.85 , 21.23 , 23.77 ,0,1,20
2,1,2,5,2,3,5,5,4,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0, 2.20 , 20.13 ,50,50, 31.85 , 21.23 , 28.77 ,0,1,20
2,1,2,6,2,3,5,5,4,0,1,0,0,0,0,0,5,5,5,5,0,0,0,0, 2.90 , 20.86 ,40,40, 31.85 , 21.23 , 18.77 ,0,1,20
2,1,2,7,2,3,5,5,4,0,1,0,0,0,0,2,3,3,2,3,1,2,2,2, 2.91 , 20.81 ,45,45, 31.85 , 21.23 , 23.77 ,0,1,20
2,1,2,8,2,3,5,5,4,0,1,0,0,0,0,10,4,4,2,0,0,0,0,0, 2.85 , 20.61 ,13,13, 31.85 , 21.23 , 8.23 ,0,1,20
