Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,312,s,False,0,1,False,0,False,0,True,1,False,0,5,
1,124,s,True,1,1,True,1,False,0,False,1,False,0,5,
2,435,s,True,2,1,True,2,False,0,False,1,False,0,5,
3,699,s,False,2,2,False,2,False,0,True,2,False,0,5,
4,84,s,True,3,2,True,3,False,0,False,2,False,0,5,
5,549,s,True,4,2,True,4,False,0,False,2,False,0,5,
6,694,s,False,4,3,False,4,False,0,True,3,False,0,5,
7,562,s,True,5,3,True,5,False,0,False,3,False,0,5,
8,291,s,False,5,4,False,5,False,0,True,4,False,0,4,
9,489,s,True,6,4,True,6,False,0,False,4,False,0,5,
10,583,s,True,7,4,True,7,False,0,False,4,False,0,5,
11,65,s,True,8,4,True,8,False,0,False,4,False,0,4,
12,571,s,True,9,4,True,9,False,0,False,4,False,0,5,
13,246,s,False,9,5,False,9,False,0,True,5,False,0,4,
14,415,s,True,10,5,True,10,False,0,False,5,False,0,5,
15,243,s,False,10,6,False,10,False,0,True,6,False,0,5,
16,708,s,False,10,7,False,10,False,0,True,7,False,0,5,
17,457,s,True,11,7,True,11,False,0,False,7,False,0,5,
18,604,s,False,11,8,False,11,False,0,True,8,False,0,5,
19,675,s,False,11,9,False,11,False,0,True,9,False,0,5,
20,277,s,False,11,10,False,11,False,0,True,10,False,0,5,
21,289,s,False,11,11,False,11,False,0,True,11,False,0,5,
22,166,s,True,12,11,True,12,False,0,False,11,False,0,5,
23,308,s,False,12,12,False,12,False,0,True,12,False,0,5,
24,208,s,False,12,13,False,12,False,0,True,13,False,0,5,
25,351,s,False,12,14,False,12,False,0,True,14,False,0,5,
26,328,s,False,12,15,False,12,False,0,True,15,False,0,5,
27,199,s,True,13,15,True,13,False,0,False,15,False,0,5,
28,434,s,True,14,15,True,14,False,0,False,15,False,0,5,
29,548,s,True,15,15,True,15,False,0,False,15,False,0,5,
30,745,s,False,15,16,False,15,False,0,True,16,False,0,5,
31,550,s,True,16,16,True,16,False,0,False,16,False,0,5,
32,28,s,True,17,16,True,17,False,0,False,16,False,0,5,
33,620,s,False,17,17,False,17,False,0,True,17,False,0,5,
34,651,s,False,17,18,False,17,False,0,True,18,False,0,5,
35,298,s,False,17,19,False,17,False,0,True,19,False,0,5,
36,334,s,False,17,20,False,17,False,0,True,20,False,0,4,
37,324,s,False,17,21,False,17,False,0,True,21,False,0,5,
38,102,s,True,18,21,True,18,False,0,False,21,False,0,5,
39,74,s,True,19,21,True,19,False,0,False,21,False,0,5,
40,165,s,True,20,21,True,20,False,0,False,21,False,0,5,
41,718,s,False,20,22,False,20,False,0,True,22,False,0,5,
42,638,s,False,20,23,False,20,False,0,True,23,False,0,5,
