Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,222,s,False,0,1,False,0,False,0,True,1,False,0,
1,206,5,False,0,2,False,0,False,0,False,1,False,0,
2,70,s,False,0,3,True,1,False,0,False,1,False,0,
3,208,5,False,0,4,False,1,False,0,False,1,False,0,
4,47,5,False,0,5,False,1,False,0,False,1,False,0,
5,84,5,False,0,6,False,1,False,0,False,1,False,0,
6,91,4,False,0,7,False,1,False,0,False,1,False,0,
7,288,5,False,0,8,False,1,False,0,False,1,False,0,
8,283,5,False,0,9,False,1,False,0,False,1,False,0,
9,173,4,False,0,10,False,1,False,0,False,1,False,0,
10,262,5,False,0,11,False,1,False,0,False,1,False,0,
11,82,5,False,0,12,False,1,False,0,False,1,False,0,
12,249,5,False,0,13,False,1,False,0,False,1,False,0,
13,15,4,False,0,14,False,1,False,0,False,1,False,0,
14,76,5,False,0,15,False,1,False,0,False,1,False,0,
15,294,s,False,0,16,False,1,False,0,True,2,False,0,
16,258,s,False,0,17,False,1,False,0,True,3,False,0,
17,278,5,False,0,18,False,1,False,0,False,3,False,0,
18,164,5,False,0,19,False,1,False,0,False,3,False,0,
19,230,5,False,0,20,False,1,False,0,False,3,False,0,
20,273,5,False,0,21,False,1,False,0,False,3,False,0,
21,135,5,False,0,22,False,1,False,0,False,3,False,0,
22,185,4,False,0,23,False,1,False,0,False,3,False,0,
