Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, Confidence, RTime1, RTime1b, RTime2, Color, ,,,,
337,1,s,1,225,113,1,97,False,128,False,40,False,73,6,2.955060005,1.453965902,0.501466036,Naranja,,,,,
421,2,n,False,284,138,False,128,False,156,False,56,1,82,3,2.954824924,1.453728199,0.902311087,Verde,,,,,
283,3,s,1,181,103,1,73,False,108,False,35,False,68,6,2.253084898,0.75195384,0.602153063,Purpura,,RT1,RT2,RT3,
537,4,s,1,372,166,1,183,False,189,False,78,False,88,5,1.652527094,0.151453018,0.300931931,Azul,A,2.142151122,0.641090217,0.740430602,
381,5,s,1,255,127,1,112,False,143,False,52,False,75,6,1.75201416,0.250848055,0.701786995,Verde,,,,,
431,6,s,1,292,140,1,134,False,158,False,56,False,84,6,1.752275944,0.251206875,0.701622963,Purpura,AS,2.167720281,0.666663408,0.743877521,
248,7,s,1,156,93,1,63,False,93,False,29,False,64,6,1.752453089,0.251255989,0.701761961,Azul,AN,2.116581963,0.615517026,0.736983684,
515,8,s,1,358,158,1,173,False,185,False,71,False,87,6,1.651588917,0.150534868,0.601465225,Naranja,,,,,
149,9,s,1,81,69,1,18,False,63,False,8,False,61,5,2.843775988,1.343423128,0.300903082,Purpura,,,,,
426,10,s,1,288,139,1,131,False,157,False,56,False,83,6,2.650501013,1.149333,2.205568075,Azul,,,,,
4,11,n,False,2,3,False,0,False,2,False,0,1,3,1,2.541706085,1.040638924,2.506278992,Naranja,B,2.179138424,0.678195486,0.756739917,
464,12,s,1,321,144,1,150,False,171,False,59,False,85,4,2.648836136,1.148422956,1.303020954,Verde,,,,,
132,13,s,1,70,63,1,15,False,55,False,5,False,58,6,2.348841906,0.847778082,0.701770067,Azul,BS,2.244723912,0.743768311,0.782753828,
20,14,n,False,9,12,False,0,False,9,False,0,1,12,1,2.149329185,0.648946047,0.601521015,Naranja,BN,2.113552935,0.612622662,0.730726005,
433,15,s,1,294,140,1,135,False,159,False,56,False,84,6,1.748466015,0.247390985,0.60128212,Verde,,,,,
199,16,s,1,117,83,1,37,False,80,False,19,False,64,6,1.747352123,0.246040106,1.003035784,Purpura,,,,,
157,17,s,1,89,69,1,21,False,68,False,8,False,61,6,1.648387909,0.147286892,0.60168314,Naranja,,Hits,F.Alarmas,Rechazos,Omisiones
585,18,s,1,404,182,1,198,False,206,False,89,False,93,6,3.250778914,1.74960804,0.501746893,Verde,A,125,47,113,35
557,19,s,1,382,176,1,188,False,194,False,86,False,90,6,2.743505001,1.24287796,0.501254082,Purpura,B,98,54,106,62
400,20,s,1,270,131,1,121,False,149,False,53,False,78,6,1.646575212,0.145414114,0.50109601,Azul,,,,,
204,21,s,1,122,83,1,39,False,83,False,19,False,64,5,1.646328926,0.145244122,0.501241207,Verde,,,,,
102,22,n,False,47,56,False,4,False,43,False,2,1,54,1,2.24846983,0.748302937,0.501526117,Purpura,,,,,
