Ensayo, Estimulo, Comparacion, Respuesta, Eleccion, Correcto, OpcionPredicha, Aciertos, Errores, RTime1, RTime2, SignallPosition, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,90,2 AS-BN,right,AS,1,1,1,0,9.35226512,7.351283073,Right,1,1,1,1,0,0,0,0,
1,101,4 BS-AN,left,BS,1,1,2,0,2.235234022,0.23467803,Left,1,2,1,2,0,0,0,0,
2,153,5 AS-BS,right,BS,NA,0,2,0,2.136120796,0.135648012,Both,NA,2,NA,2,NA,0,NA,0,
3,160,5 AS-BS,right,AS,NA,0,2,0,2.13533783,0.13439703,Both,NA,2,NA,2,NA,0,NA,0,
4,164,6 AN-BN,right,AN,NA,0,2,0,2.519676924,0.519415855,None,NA,2,NA,2,NA,0,NA,0,
5,78,2 AS-BN,right,AS,1,1,3,0,2.118592024,0.118379831,Right,1,3,1,3,0,0,0,0,
6,71,2 AS-BN,left,AS,1,1,4,0,2.135807991,0.134959936,Left,1,4,1,4,0,0,0,0,
7,110,4 BS-AN,right,BS,1,1,5,0,2.118597984,0.118411064,Right,1,5,1,5,0,0,0,0,
8,18,1 AS-AN,right,AS,1,1,6,0,2.135260105,0.134388924,Right,1,6,1,6,0,0,0,0,
9,187,6 AN-BN,left,AN,NA,0,6,0,2.438449144,0.437745094,None,NA,6,NA,6,NA,0,NA,0,
10,147,5 AS-BS,right,BS,NA,0,6,0,2.720477104,0.72024703,Both,NA,6,NA,6,NA,0,NA,0,
11,19,1 AS-AN,left,AS,1,1,7,0,2.135229111,0.13497901,Left,1,7,1,7,0,0,0,0,
12,15,1 AS-AN,left,AS,1,1,8,0,2.135298967,0.134710073,Left,1,8,1,8,0,0,0,0,
13,79,2 AS-BN,left,AS,1,1,9,0,2.135612965,0.135320187,Left,1,9,1,9,0,0,0,0,
14,159,5 AS-BS,right,BS,NA,0,9,0,2.23520112,0.234241009,Both,NA,9,NA,9,NA,0,NA,0,
15,106,4 BS-AN,right,BS,1,1,10,0,2.133327007,0.132113934,Right,1,10,1,10,0,0,0,0,
16,23,1 AS-AN,left,AS,1,1,11,0,2.118527889,0.118286848,Left,1,11,1,11,0,0,0,0,
17,132,5 AS-BS,right,AS,NA,1,11,0,2.534496069,0.533283949,Both,NA,11,NA,11,NA,0,NA,0,
18,5,1 AS-AN,left,AS,1,1,12,0,2.118505955,0.118207932,Left,1,12,1,12,0,0,0,0,
19,12,1 AS-AN,right,AS,1,1,13,0,2.135138988,0.134285927,Right,1,13,1,13,0,0,0,0,
20,131,5 AS-BS,right,BS,NA,0,13,0,2.118673086,0.118382931,Both,NA,13,NA,13,NA,0,NA,0,
21,83,2 AS-BN,left,AS,1,1,14,0,2.131134987,0.130023956,Left,1,14,1,14,0,0,0,0,
22,69,2 AS-BN,left,AS,1,1,15,0,2.135414124,0.134198904,Left,1,15,1,15,0,0,0,0,
23,144,5 AS-BS,right,AS,NA,1,15,0,2.133324862,0.132236004,Both,NA,15,NA,15,NA,0,NA,0,
24,168,6 AN-BN,right,AN,NA,0,15,0,2.720053196,0.719863176,None,NA,15,NA,15,NA,0,NA,0,
25,32,1 AS-AN,right,AS,1,1,16,0,2.119020939,0.118665934,Right,1,16,1,16,0,0,0,0,
26,33,3 BS-BN,left,BS,1,1,17,0,2.133320093,0.132200956,Left,1,17,1,17,0,0,0,0,
27,115,4 BS-AN,left,BS,1,1,18,0,2.118584156,0.118304014,Left,1,18,1,18,0,0,0,0,
28,175,6 AN-BN,left,AN,NA,0,18,0,2.235840082,0.235651016,None,NA,18,NA,18,NA,0,NA,0,
29,54,3 BS-BN,right,BS,1,1,19,0,2.119062901,0.118849039,Right,1,19,1,19,0,0,0,0,
30,46,3 BS-BN,right,BS,1,1,20,0,2.135321856,0.134497166,Right,1,20,1,20,0,0,0,0,
31,99,4 BS-AN,left,BS,1,1,21,0,2.118593931,0.118435144,Left,1,21,1,21,0,0,0,0,
32,31,1 AS-AN,left,AS,1,1,22,0,2.130678177,0.129579067,Left,1,22,1,22,0,0,0,0,
33,65,2 AS-BN,left,AS,1,1,23,0,2.11907196,0.11887598,Left,1,23,1,23,0,0,0,0,
34,96,2 AS-BN,right,AS,1,1,24,0,2.1352911,0.134433985,Right,1,24,1,24,0,0,0,0,
35,57,3 BS-BN,left,BS,1,1,25,0,2.118639946,0.118373871,Left,1,25,1,25,0,0,0,0,
36,81,2 AS-BN,left,AS,1,1,26,0,2.135756969,0.135463953,Left,1,26,1,26,0,0,0,0,
37,171,6 AN-BN,right,BN,NA,1,26,0,2.119009972,0.118819952,None,NA,26,NA,26,NA,0,NA,0,
38,192,6 AN-BN,left,BN,NA,1,26,0,2.132836103,0.131636143,None,NA,26,NA,26,NA,0,NA,0,
39,116,4 BS-AN,right,BS,1,1,27,0,2.135368109,0.135127068,Right,1,27,1,27,0,0,0,0,
40,128,4 BS-AN,right,BS,1,1,28,0,2.135182142,0.134312153,Right,1,28,1,28,0,0,0,0,
41,48,3 BS-BN,right,BS,1,1,29,0,2.119041204,0.118827105,Right,1,29,1,29,0,0,0,0,
42,89,2 AS-BN,left,AS,1,1,30,0,2.135292053,0.134335041,Left,1,30,1,30,0,0,0,0,
43,190,6 AN-BN,right,AN,NA,0,30,0,2.118492842,0.118229866,None,NA,30,NA,30,NA,0,NA,0,
44,145,5 AS-BS,right,BS,NA,0,30,0,2.135602951,0.135407209,Both,NA,30,NA,30,NA,0,NA,0,
45,51,3 BS-BN,left,BS,1,1,31,0,2.11914897,0.118799925,Left,1,31,1,31,0,0,0,0,
46,113,4 BS-AN,left,BS,1,1,32,0,2.135423899,0.134502172,Left,1,32,1,32,0,0,0,0,
47,68,2 AS-BN,right,AS,1,1,33,0,2.118704081,0.118453026,Right,1,33,1,33,0,0,0,0,
48,157,5 AS-BS,left,AS,NA,1,33,0,2.135277987,0.134385109,Both,NA,33,NA,33,NA,0,NA,0,
49,125,4 BS-AN,left,BS,1,1,34,0,2.119020939,0.118834019,Left,1,34,1,34,0,0,0,0,
50,26,1 AS-AN,right,AS,1,1,35,0,2.135295153,0.134418964,Right,1,35,1,35,0,0,0,0,
51,28,1 AS-AN,right,AS,1,1,36,0,2.118543863,0.118344784,Right,1,36,1,36,0,0,0,0,
52,1,1 AS-AN,left,AS,1,1,37,0,2.135240793,0.134214163,Left,1,37,1,37,0,0,0,0,
53,97,4 BS-AN,left,BS,1,1,38,0,2.119070053,0.118757963,Left,1,38,1,38,0,0,0,0,
54,150,5 AS-BS,right,AS,NA,1,38,0,2.135374069,0.134429932,Both,NA,38,NA,38,NA,0,NA,0,
55,185,6 AN-BN,right,BN,NA,1,38,0,2.118564844,0.118284941,None,NA,38,NA,38,NA,0,NA,0,
56,4,1 AS-AN,right,AS,1,1,39,0,2.135377884,0.134429216,Right,1,39,1,39,0,0,0,0,
57,95,2 AS-BN,left,AS,1,1,40,0,2.119076014,0.118829966,Left,1,40,1,40,0,0,0,0,
58,6,1 AS-AN,right,AS,1,1,41,0,2.134881973,0.13399291,Right,1,41,1,41,0,0,0,0,
59,173,6 AN-BN,left,AN,NA,0,41,0,2.135627031,0.135340929,None,NA,41,NA,41,NA,0,NA,0,
60,191,6 AN-BN,right,BN,NA,1,41,0,2.118578196,0.11827898,None,NA,41,NA,41,NA,0,NA,0,
61,53,3 BS-BN,left,BS,1,1,42,0,2.135917902,0.134844065,Left,1,42,1,42,0,0,0,0,
62,137,5 AS-BS,right,BS,NA,0,42,0,2.118643045,0.118494987,Both,NA,42,NA,42,NA,0,NA,0,
63,146,5 AS-BS,left,BS,NA,0,42,0,2.736603022,0.735462904,Both,NA,42,NA,42,NA,0,NA,0,
64,82,2 AS-BN,right,AS,1,1,43,0,2.135601997,0.135396957,Right,1,43,1,43,0,0,0,0,
65,152,5 AS-BS,right,AS,NA,1,43,0,2.134878874,0.134109974,Both,NA,43,NA,43,NA,0,NA,0,
66,37,3 BS-BN,left,BS,1,1,44,0,3.836323977,1.835207939,Left,1,44,1,44,0,0,0,0,
67,103,4 BS-AN,left,BS,1,1,45,0,2.118553877,0.118219852,Left,1,45,1,45,0,0,0,0,
68,64,3 BS-BN,right,BS,1,1,46,0,2.135849953,0.135653019,Right,1,46,1,46,0,0,0,0,
69,129,5 AS-BS,right,BS,NA,0,46,0,2.118587017,0.118279219,Both,NA,46,NA,46,NA,0,NA,0,
70,165,6 AN-BN,right,BN,NA,1,46,0,2.135669947,0.135382891,None,NA,46,NA,46,NA,0,NA,0,
71,118,4 BS-AN,right,BS,1,1,47,0,2.118510962,0.118336916,Right,1,47,1,47,0,0,0,0,
72,80,2 AS-BN,right,AS,1,1,48,0,3.638509035,1.63764596,Right,1,48,1,48,0,0,0,0,
73,148,5 AS-BS,right,AS,NA,1,48,0,2.135301113,0.135087013,Both,NA,48,NA,48,NA,0,NA,0,
74,30,1 AS-AN,right,AS,1,1,49,0,2.13533783,0.134432077,Right,1,49,1,49,0,0,0,0,
75,21,1 AS-AN,right,AN,0,0,49,1,2.118606091,0.118334055,Left,0,49,0,49,1,1,1,1,
76,10,1 AS-AN,right,AS,1,1,50,1,2.136063099,0.134821177,Right,1,50,1,50,0,1,0,1,
77,151,5 AS-BS,right,BS,NA,0,50,1,2.135400057,0.134227991,Both,NA,50,NA,50,NA,1,NA,1,
78,22,1 AS-AN,right,AS,1,1,51,1,2.135308981,0.134420872,Right,1,51,1,51,0,1,0,1,
79,76,2 AS-BN,left,BN,0,0,51,2,2.135231972,0.134003878,Right,0,51,0,51,1,2,1,2,
80,41,3 BS-BN,left,BS,1,1,52,2,2.534827948,0.533734083,Left,1,52,1,52,0,2,0,2,
81,17,1 AS-AN,left,AS,1,1,53,2,3.138075113,1.137825966,Left,1,53,1,53,0,2,0,2,
82,184,6 AN-BN,right,AN,NA,0,53,2,2.118608952,0.118476868,None,NA,53,NA,53,NA,2,NA,2,
83,20,1 AS-AN,right,AS,1,1,54,2,2.119044065,0.118728876,Right,1,54,1,54,0,2,0,2,
84,108,4 BS-AN,right,BS,1,1,55,2,2.13536787,0.135211945,Right,1,55,1,55,0,2,0,2,
85,94,2 AS-BN,right,AS,1,1,56,2,2.118629932,0.11834383,Right,1,56,1,56,0,2,0,2,
86,169,6 AN-BN,right,BN,NA,1,56,2,2.135231018,0.134297132,None,NA,56,NA,56,NA,2,NA,2,
87,141,5 AS-BS,left,AS,NA,1,56,2,2.118966818,0.118752003,Both,NA,56,NA,56,NA,2,NA,2,
88,63,3 BS-BN,left,BS,1,1,57,2,2.13320899,0.132096052,Left,1,57,1,57,0,2,0,2,
89,25,1 AS-AN,left,AS,1,1,58,2,2.118597984,0.118292093,Left,1,58,1,58,0,2,0,2,
90,154,5 AS-BS,left,BS,NA,1,58,2,2.135597229,0.135259151,Both,NA,58,NA,58,NA,2,NA,2,
91,49,3 BS-BN,left,BS,1,1,59,2,2.135751963,0.134680986,Left,1,59,1,59,0,2,0,2,
92,72,2 AS-BN,right,AS,1,1,60,2,2.132768154,0.131578922,Right,1,60,1,60,0,2,0,2,
93,149,5 AS-BS,right,BS,NA,0,60,2,2.118700981,0.11837697,Both,NA,60,NA,60,NA,2,NA,2,
94,186,6 AN-BN,left,BN,NA,1,60,2,2.135201216,0.134276152,None,NA,60,NA,60,NA,2,NA,2,
95,104,4 BS-AN,right,BS,1,1,61,2,2.119185925,0.118590117,Right,1,61,1,61,0,2,0,2,
96,189,6 AN-BN,left,AN,NA,0,61,2,2.135358095,0.13476491,None,NA,61,NA,61,NA,2,NA,2,
97,105,4 BS-AN,left,BS,1,1,62,2,2.118644953,0.118427992,Left,1,62,1,62,0,2,0,2,
98,86,2 AS-BN,right,AS,1,1,63,2,2.131887913,0.130815029,Right,1,63,1,63,0,2,0,2,
99,50,3 BS-BN,right,BS,1,1,64,2,2.119103909,0.118906021,Right,1,64,1,64,0,2,0,2,
100,52,3 BS-BN,right,BS,1,1,65,2,2.132380962,0.131152868,Right,1,65,1,65,0,2,0,2,
101,11,1 AS-AN,left,AS,1,1,66,2,2.135715008,0.135541916,Left,1,66,1,66,0,2,0,2,
102,133,5 AS-BS,left,AS,NA,1,66,2,2.118649006,0.118407011,Both,NA,66,NA,66,NA,2,NA,2,
103,3,1 AS-AN,left,AS,1,1,67,2,2.135795116,0.134670019,Left,1,67,1,67,0,2,0,2,
104,172,6 AN-BN,left,BN,NA,1,67,2,2.118688107,0.118452072,None,NA,67,NA,67,NA,2,NA,2,
105,36,3 BS-BN,right,BS,1,1,68,2,2.131035089,0.129922867,Right,1,68,1,68,0,2,0,2,
106,111,4 BS-AN,left,BS,1,1,69,2,2.136172056,0.135979891,Left,1,69,1,69,0,2,0,2,
107,59,3 BS-BN,left,BS,1,1,70,2,2.920329094,0.920099974,Left,1,70,1,70,0,2,0,2,
108,16,1 AS-AN,right,AS,1,1,71,2,2.118532896,0.118345976,Right,1,71,1,71,0,2,0,2,
109,135,5 AS-BS,right,BS,NA,0,71,2,2.135289192,0.134307146,Both,NA,71,NA,71,NA,2,NA,2,
110,188,6 AN-BN,right,AN,NA,0,71,2,2.13579607,0.134665012,None,NA,71,NA,71,NA,2,NA,2,
111,39,3 BS-BN,left,BS,1,1,72,2,2.131574869,0.130475044,Left,1,72,1,72,0,2,0,2,
112,182,6 AN-BN,left,BN,NA,1,72,2,2.118532896,0.118379116,None,NA,72,NA,72,NA,2,NA,2,
113,180,6 AN-BN,right,AN,NA,0,72,2,2.135353088,0.134368896,None,NA,72,NA,72,NA,2,NA,2,
114,77,2 AS-BN,left,AS,1,1,73,2,2.118916988,0.118757963,Left,1,73,1,73,0,2,0,2,
115,139,5 AS-BS,right,BS,NA,0,73,2,2.135635853,0.135443926,Both,NA,73,NA,73,NA,2,NA,2,
116,166,6 AN-BN,left,BN,NA,1,73,2,2.118604898,0.118362188,None,NA,73,NA,73,NA,2,NA,2,
117,58,3 BS-BN,right,BS,1,1,74,2,2.135324001,0.134283066,Right,1,74,1,74,0,2,0,2,
118,34,3 BS-BN,right,BS,1,1,75,2,2.119332075,0.118942976,Right,1,75,1,75,0,2,0,2,
119,142,5 AS-BS,right,AS,NA,1,75,2,2.135235071,0.134135962,Both,NA,75,NA,75,NA,2,NA,2,
120,109,4 BS-AN,right,AN,0,0,75,3,2.135571957,0.135246038,Left,0,75,0,75,1,3,1,3,
121,174,6 AN-BN,right,AN,NA,0,75,3,2.118546009,0.118412971,None,NA,75,NA,75,NA,3,NA,3,
122,181,6 AN-BN,left,AN,NA,0,75,3,2.132179022,0.130993843,None,NA,75,NA,75,NA,3,NA,3,
