 Estimulo, Respuesta,Confidence,,,,,,Confidence,
1,s,6,,,,,,1,
2,n,1,,,,,,1,
3,n,1,,,,,,1,
4,n,2,,,,,,1,
5,s,6,,,,,,1,
6,s,6,,,,,,1,
7,s,6,,,,,,1,
8,n,1,,,,,,1,
9,s,6,,,,,,1,
10,s,6,,,,,,1,
11,s,5,,,,,,1,
12,s,5,,,,,,1,
13,s,6,,,,,,1,
14,s,6,,,,,,1,
15,s,6,,,,,,1,
16,s,5,,,,,,1,
17,n,2,,,,,,1,
18,n,1,,,,,,1,
19,n,2,,,,,,1,
20,s,6,,,,,,1,
21,s,6,,,,,,1,
22,n,1,,,,,,1,
23,n,1,,,,,,1,
24,n,1,,,,,,1,
25,s,6,,,,,,1,
26,s,5,,,,,,1,
27,s,5,,,,,,1,
28,n,2,,,,,,1,
29,s,6,,,,,,1,
30,s,6,,,,,,1,
31,s,6,,,,,,1,
32,s,6,,,,,,1,
33,s,5,,,,,,1,
34,s,6,,,,,,1,
35,n,1,,,,,,1,
36,n,3,,,,,,1,
37,s,6,,,,,,1,
38,n,1,,,,,,1,
39,s,6,,,,,,1,
40,n,1,,,,,,1,
41,s,6,,,,,,1,
42,s,6,,,,,,1,
43,n,1,,,,,,1,
44,s,6,,,,,,1,
45,n,2,,,,,,1,
46,n,2,,,,,,1,
47,s,6,,,,,,1,
48,s,5,,,,,,1,
49,s,6,,,,,,1,
50,s,6,,,,,,1,
51,n,1,,,,,,1,
52,n,1,,,,,,1,
53,s,6,,,,,,1,
54,s,5,,,,,,1,
55,n,2,,,,,,1,
56,s,6,,,,,,1,
57,n,1,,,,,,1,
58,s,6,,,,,,1,
59,s,6,,,,,,1,
60,s,6,,,,,,1,
61,n,2,,,,,,1,
62,s,6,,,,,,1,
63,s,6,,,,,,1,
64,n,2,,,,,,1,
65,s,5,,,,,,1,
66,s,5,,,,,,1,
67,s,6,,,,,,1,
68,n,2,,,,,,1,
69,s,6,,,,,,1,
70,s,5,,,,,,1,
71,s,6,,,,,,1,
72,s,6,,,,,,1,
73,s,6,,,,,,1,
74,s,5,,,,,,1,
75,s,6,,,,,,1,
76,n,2,,,,,,1,
77,n,1,,,,,,1,
78,s,6,,,,,,1,
79,s,6,,,,,,1,
80,s,6,,,,,,1,
81,s,5,,,,,,1,
82,s,5,,,,,,1,
83,s,6,,,,,,1,
84,n,2,,,,,,1,
85,s,6,,,,,,1,
86,n,1,,,,,,1,
87,s,6,,,,,,1,
88,s,6,,,,,,1,
89,s,6,,,,,,1,
90,n,1,,,,,,1,
91,s,6,,,,,,1,
92,s,5,,,,,,1,
93,s,6,,,,,,1,
94,s,6,,,,,,1,
95,n,1,,,,,,1,
96,n,2,,,,,,1,
97,s,6,,,,,,1,
98,n,1,,,,,,1,
99,s,6,,,,,,1,
100,s,6,,,,,,1,
101,s,6,,,,,,1,
102,s,6,,,,,,1,
103,s,6,,,,,,1,
104,n,2,,,,,,1,
105,s,6,,,,,,1,
106,n,1,,,,,,1,
107,s,6,,,,,,1,
108,s,4,,,,,,1,
109,s,5,,,,,,1,
110,s,6,,,,,,1,
111,n,2,,,,,,1,
112,n,3,,,,,,1,
113,s,6,,,,,,1,
114,s,5,,,,,,1,
115,s,5,,,,,,1,
116,n,2,,,,,,1,
117,s,5,,,,,,1,
118,n,2,,,,,,1,
119,s,6,,,,,,1,
120,n,2,,,,,,1,
121,n,2,,,,,,1,
122,n,1,,,,,,1,
123,n,2,,,,,,1,
124,s,6,,,,,,1,
125,s,5,,,,,,1,
126,n,1,,,,,,1,
127,s,6,,,,,,1,
128,s,5,,,,,,1,
129,s,6,,,,,,1,
130,s,5,,,,,,1,
131,n,1,,,,,,1,
132,s,5,,,,,,1,
133,s,6,,,,,,1,
134,s,5,,,,,,1,
135,s,5,,,,,,1,
136,n,1,,,,,,1,
137,s,6,,,,,,1,
138,s,4,,,,,,1,
139,s,6,,,,,,1,
140,n,1,,,,,,1,
141,s,6,,,,,,1,
142,s,6,,,,,,1,
143,n,1,,,,,,1,
144,s,6,,,,,,1,
145,n,1,,,,,,1,
146,s,6,,,,,,1,
147,n,2,,,,,,1,
148,s,5,,,,,,1,
149,n,1,,,,,,1,
150,s,5,,,,,,1,
151,n,2,,,,,,1,
152,s,6,,,,,,1,
153,n,1,,,,,,1,
154,n,2,,,,,,1,
155,s,6,,,,,,1,
156,s,6,,,,,,1,
157,n,1,,,,,,1,
158,s,6,,,,,,1,
159,s,6,,,,,,1,
160,n,2,,,,,,1,
161,s,6,,,,,,1,
162,s,6,,,,,,1,
163,s,6,,,,,,1,
164,n,2,,,,,,1,
165,s,6,,,,,,1,
166,s,6,,,,,,1,
167,s,6,,,,,,1,
168,s,6,,,,,,1,
169,s,5,,,,,,1,
170,s,6,,,,,,1,
171,s,6,,,,,,1,
172,s,5,,,,,,1,
173,s,6,,,,,,1,
174,s,6,,,,,,1,
175,s,6,,,,,,1,
176,s,6,,,,,,1,
177,s,5,,,,,,1,
178,s,6,,,,,,1,
179,s,6,,,,,,1,
180,s,6,,,,,,1,
181,s,6,,,,,,1,
182,s,6,,,,,,1,
