 Estimulo, 
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,4
48,1
49,1
50,1
51,1
52,1
53,1
54,2
55,5
56,1
57,4
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,4
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,6
82,6
83,6
84,6
85,5
86,6
87,6
88,6
89,6
90,6
91,6
92,4
93,5
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,5
103,5
104,4
105,6
106,6
107,5
108,6
109,6
110,5
111,6
112,6
113,6
114,6
115,5
116,6
117,6
118,6
119,6
120,6
121,6
122,5
123,6
124,6
125,6
126,6
127,5
128,6
129,6
130,5
131,3
132,6
133,6
134,5
135,5
136,5
137,6
138,5
139,6
140,5
141,5
142,6
143,6
144,6
145,5
146,5
147,6
148,6
149,6
150,5
151,5
152,4
153,5
154,6
155,6
156,6
157,6
158,6
159,6
160,5
161,6
162,6
163,6
164,6
165,5
166,6
167,6
168,6
169,6
170,6
171,6
172,5
173,6
174,5
175,6
176,6
177,6
178,6
179,6
180,3
181,6
182,6
183,6
184,5
185,5
186,6
187,5
188,6
189,6
190,6
191,6
192,5
193,6
194,5
195,6
196,6
197,6
198,6
199,6
200,5
201,5
202,6
203,6
204,6
205,5
206,6
207,5
208,6
209,6
210,6
211,5
212,5
213,5
214,5
215,5
216,6
217,5
218,5
219,5
220,6
221,6
222,6
223,6
224,5
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,5
234,6
235,6
236,5
237,6
238,6
239,6
240,6
241,1
242,1
243,1
244,1
245,1
246,1
247,4
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,4
260,1
261,1
262,2
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,4
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,4
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,2
368,1
369,1
370,1
371,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,2
380,1
381,1
382,1
383,1
384,2
385,1
386,1
387,1
388,2
389,2
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,2
399,1
400,1
401,5
402,6
403,6
404,6
405,6
406,6
407,6
408,6
409,6
410,6
411,5
412,6
413,5
414,6
415,6
416,6
417,6
418,4
419,6
420,5
421,6
422,6
423,6
424,5
425,6
426,6
427,6
428,6
429,6
430,6
431,5
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,6
440,6
441,5
442,5
443,6
444,4
445,6
446,5
447,6
448,6
449,6
450,6
451,6
452,6
453,5
454,6
455,6
456,6
457,6
458,6
459,5
460,5
461,5
462,6
463,6
464,6
465,6
466,6
467,2
468,6
469,6
470,5
471,6
472,6
473,6
474,5
475,6
476,5
477,1
478,6
479,6
480,6
481,5
482,5
483,5
484,5
485,5
486,5
487,6
488,6
489,5
490,5
491,6
492,6
493,5
494,6
495,2
496,6
497,6
498,6
499,6
500,5
501,5
502,6
503,6
504,6
505,6
506,6
507,5
508,6
509,6
510,5
511,2
512,6
513,6
514,3
515,5
516,6
517,6
518,5
519,4
520,3
521,6
522,6
523,3
524,6
525,6
526,6
527,5
528,5
529,5
530,6
531,3
532,6
533,5
534,6
535,5
536,5
537,5
538,6
539,5
540,6
541,5
542,6
543,3
544,5
545,6
546,2
547,5
548,5
549,2
550,6
551,5
552,5
553,5
554,5
555,6
556,6
557,6
558,5
559,6
560,6
561,1
562,1
563,1
564,1
565,1
566,2
567,1
568,4
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,4
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
