"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"1",1,1,1,1,1,0,173,"4 BS-AN","Left","left","BS",1,3.34015893936,2.33981800079,"Purpura",1,1,1,1,0,0,0,0,NA,"Left","Left"
"2",2,2,2,2,2,1,176,"4 BS-AN","Right","right","BS",1,2.33734202385,1.33613204956,"Naranja",1,2,1,2,0,0,0,0,NA,"Left","Left"
"3",3,3,3,3,3,2,53,"3 BS-BN","Left","left","BS",1,2.33497285843,1.33383893967,"Purpura",1,3,1,3,0,0,0,0,NA,"Right","Right"
"4",4,4,4,4,4,3,244,"6 AN-BN","None","left","BN",1,2.43521094322,1.43406891823,"Verde",NA,3,NA,3,NA,0,NA,0,NA,"Right","Right"
"5",5,5,5,5,5,4,45,"1 AS-AN","Left","right","AN",0,1.93437314034,0.93331193924,"Naranja",0,3,0,3,1,1,1,1,NA,"Left","Left"
"6",6,6,6,6,6,5,10,"1 AS-AN","Right","left","AN",0,1.83683490753,0.836467027664,"Purpura",0,3,0,3,1,2,1,2,NA,"Left","Left"
"7",7,7,7,7,7,6,217,"5 AS-BS","Both","left","AS",1,2.43771600723,1.43666601181,"Verde",NA,3,NA,3,NA,2,NA,2,NA,"Right","Right"
"8",8,8,8,8,8,7,266,"6 AN-BN","None","right","AN",0,2.13458704948,1.13355207443,"Verde",NA,3,NA,3,NA,2,NA,2,NA,"Right","Right"
"9",9,9,9,9,9,8,56,"3 BS-BN","Right","right","BS",1,3.43707895279,2.43606281281,"Naranja",1,4,1,4,0,2,0,2,NA,"Left","Left"
"10",10,10,10,10,10,9,110,"2 AS-BN","Left","left","AS",1,1.83624601364,0.836021184921,"Verde",1,5,1,5,0,2,0,2,NA,"Left","Left"
"11",11,11,11,11,11,10,83,"3 BS-BN","Left","right","BN",0,1.9359369278,0.935687065125,"Purpura",0,5,0,5,1,3,1,3,NA,"Right","Right"
"12",12,12,12,12,12,11,185,"4 BS-AN","Left","left","BS",1,2.23503899574,1.23393893242,"Naranja",1,6,1,6,0,3,0,3,NA,"Right","Right"
"13",13,13,13,13,13,12,113,"2 AS-BN","Left","left","AS",1,1.63545203209,0.635140895844,"Verde",1,7,1,7,0,3,0,3,NA,"Left","Left"
