Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
0,45,n,True,1,0,False,0,True,0,False,0,False,0,
1,33,s,True,2,0,True,1,False,0,False,0,False,0,
2,29,s,True,3,0,True,2,False,0,False,0,False,0,
3,35,s,True,4,0,True,3,False,0,False,0,False,0,
4,45,n,True,5,0,False,3,True,0,False,0,False,0,
5,9,n,True,6,0,False,3,True,0,False,0,False,0,
6,35,s,True,7,0,True,4,False,0,False,0,False,0,
7,20,s,True,8,0,True,5,False,0,False,0,False,0,
8,9,n,True,9,0,False,5,True,0,False,0,False,0,
9,37,n,True,10,0,False,5,True,0,False,0,False,0,
10,16,s,True,11,0,True,6,False,0,False,0,False,0,
11,42,n,True,12,0,False,6,True,0,False,0,False,0,
12,7,n,True,13,0,False,6,True,0,False,0,False,0,
13,41,n,True,14,0,False,6,True,0,False,0,False,0,
14,40,n,True,15,0,False,6,True,0,False,0,False,0,
15,1,n,True,16,0,False,6,True,0,False,0,False,0,
16,44,n,True,17,0,False,6,True,0,False,0,False,0,
17,17,s,True,18,0,True,7,False,0,False,0,False,0,
18,21,s,True,19,0,True,8,False,0,False,0,False,0,
19,47,n,True,20,0,False,8,True,0,False,0,False,0,
20,1,n,True,21,0,False,8,True,0,False,0,False,0,
21,4,n,True,22,0,False,8,True,0,False,0,False,0,
22,32,s,True,23,0,True,9,False,0,False,0,False,0,
23,31,s,True,24,0,True,10,False,0,False,0,False,0,
24,47,n,True,25,0,False,10,True,0,False,0,False,0,
25,32,s,True,26,0,True,11,False,0,False,0,False,0,
26,26,n,False,26,1,False,11,False,0,False,0,True,1,
27,45,n,True,27,1,False,11,True,0,False,0,False,1,
28,3,n,True,28,1,False,11,True,0,False,0,False,1,
29,35,s,True,29,1,True,12,False,0,False,0,False,1,
30,28,s,True,30,1,True,13,False,0,False,0,False,1,
31,48,n,True,31,1,False,13,True,0,False,0,False,1,
32,7,n,True,32,1,False,13,True,0,False,0,False,1,
33,41,n,True,33,1,False,13,True,0,False,0,False,1,
34,1,n,True,34,1,False,13,True,0,False,0,False,1,
35,5,n,True,35,1,False,13,True,0,False,0,False,1,
36,22,s,True,36,1,True,14,False,0,False,0,False,1,
37,34,s,True,37,1,True,15,False,0,False,0,False,1,
38,14,s,True,38,1,True,16,False,0,False,0,False,1,
39,3,n,True,39,1,False,16,True,0,False,0,False,1,
40,36,s,True,40,1,True,17,False,0,False,0,False,1,
41,39,n,True,41,1,False,17,True,0,False,0,False,1,
42,4,n,True,42,1,False,17,True,0,False,0,False,1,
43,4,n,True,43,1,False,17,True,0,False,0,False,1,
44,38,n,True,44,1,False,17,True,0,False,0,False,1,
45,36,s,True,45,1,True,18,False,0,False,0,False,1,
46,29,s,True,46,1,True,19,False,0,False,0,False,1,
47,28,s,True,47,1,True,20,False,0,False,0,False,1,
48,16,s,True,48,1,True,21,False,0,False,0,False,1,
49,11,n,True,49,1,False,21,True,0,False,0,False,1,
50,8,n,True,50,1,False,21,True,0,False,0,False,1,
51,17,s,True,51,1,True,22,False,0,False,0,False,1,
52,7,n,True,52,1,False,22,True,0,False,0,False,1,
53,27,n,False,52,2,False,22,False,0,False,0,True,2,
54,37,n,True,53,2,False,22,True,0,False,0,False,2,
55,14,s,True,54,2,True,23,False,0,False,0,False,2,
56,48,n,True,55,2,False,23,True,0,False,0,False,2,
57,17,s,True,56,2,True,24,False,0,False,0,False,2,
58,32,s,True,57,2,True,25,False,0,False,0,False,2,
59,12,n,True,58,2,False,25,True,0,False,0,False,2,
60,6,n,True,59,2,False,25,True,0,False,0,False,2,
61,6,n,True,60,2,False,25,True,0,False,0,False,2,
62,30,s,True,61,2,True,26,False,0,False,0,False,2,
63,27,n,False,61,3,False,26,False,0,False,0,True,3,
64,29,s,True,62,3,True,27,False,0,False,0,False,3,
65,21,s,True,63,3,True,28,False,0,False,0,False,3,
66,24,s,True,64,3,True,29,False,0,False,0,False,3,
67,33,s,True,65,3,True,30,False,0,False,0,False,3,
68,45,n,True,66,3,False,30,True,0,False,0,False,3,
69,34,s,True,67,3,True,31,False,0,False,0,False,3,
70,18,s,True,68,3,True,32,False,0,False,0,False,3,
71,33,s,True,69,3,True,33,False,0,False,0,False,3,
72,43,n,True,70,3,False,33,True,0,False,0,False,3,
73,42,n,True,71,3,False,33,True,0,False,0,False,3,
74,28,n,False,71,4,False,33,False,0,False,0,True,4,
75,39,n,True,72,4,False,33,True,0,False,0,False,4,
76,41,n,True,73,4,False,33,True,0,False,0,False,4,
77,15,s,True,74,4,True,34,False,0,False,0,False,4,
78,44,n,True,75,4,False,34,True,0,False,0,False,4,
79,5,n,True,76,4,False,34,True,0,False,0,False,4,
80,13,s,True,77,4,True,35,False,0,False,0,False,4,
81,4,n,True,78,4,False,35,True,0,False,0,False,4,
82,27,n,False,78,5,False,35,False,0,False,0,True,5,
83,43,n,True,79,5,False,35,True,0,False,0,False,5,
84,19,s,True,80,5,True,36,False,0,False,0,False,5,
85,24,s,True,81,5,True,37,False,0,False,0,False,5,
86,35,s,True,82,5,True,38,False,0,False,0,False,5,
87,15,s,True,83,5,True,39,False,0,False,0,False,5,
88,43,n,True,84,5,False,39,True,0,False,0,False,5,
89,46,n,True,85,5,False,39,True,0,False,0,False,5,
90,10,s,False,85,6,False,39,False,0,True,1,False,5,
91,3,n,True,86,6,False,39,True,0,False,1,False,5,
92,33,s,True,87,6,True,40,False,0,False,1,False,5,
93,48,n,True,88,6,False,40,True,0,False,1,False,5,
94,21,s,True,89,6,True,41,False,0,False,1,False,5,
95,42,n,True,90,6,False,41,True,0,False,1,False,5,
96,41,n,True,91,6,False,41,True,0,False,1,False,5,
97,26,n,False,91,7,False,41,False,0,False,1,True,6,
98,21,s,True,92,7,True,42,False,0,False,1,False,6,
99,20,n,False,92,8,False,42,False,0,False,1,True,7,
